音韻編碼,字頭,釋義
EAA,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
EAA,菄,東風菜義見上注俗加艹
EAA,鶇,鶇鵍鳥名美形出廣雅亦作𪂝
EAA,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟
EAA,𠍀,儱𠍀儜劣皃出字諟
EAA,倲,儱𠍀儜劣皃出字諟
EAA,𩜍,地理志云東郡館名
EAA,𢘐,古文見道經
EAA,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切
EAA,蝀,螮蝀虹也又音董
EAA,凍,凍凌又都貢切
EAA,鯟,魚名似鯉
EAA,𢔅,行皃
EAA,崠,崠如山名
EAA,埬,上埬地名
EAA,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵
EAA,䰤,醜皃
GAA,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
GAA,仝,古文出道書
GAA,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉
GAA,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
GAA,銅,金之一品
GAA,桐,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷
GAA,峒,崆峒山名
GAA,硐,磨也
GAA,𦨴,𦨴船
GAA,𧱁,獸似豕出泰山
GAA,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒
GAA,瞳,目瞳
GAA,㼧,㼧瓦
GAA,𤭁,㼧瓦
GAA,罿,車上網又音衝
GAA,犝,犝牛無角
GAA,筩,竹筩
GAA,潼,水名出廣漢郡亦關名又通衝二音
GAA,曈,曈曨日欲明也又他孔切
GAA,洞,洪洞縣名在晉州北又徒弄切
GAA,侗,楊子法言云倥侗顓蒙
GAA,橦,木名花可爲布出字書又鍾幢二音
GAA,烔,熱氣烔烔出字林
GAA,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記
GAA,挏,引也漢官名有挏馬又音動
GAA,酮,馬酪又音動
GAA,鮦,爾雅云鰹大鮦又直冢直柳二切
GAA,㼿,井甓一云甃也
GAA,𦏆,無角羊
GAA,𦍻,無角羊
GAA,眮,目眶又徒摠切
GAA,蕫,草名又多動切
GAA,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重
GAA,衕,通街也
GAA,𩍅,靫具飾也
GAA,𢈉,地下應聲
GAA,䆚,通䆚也
GAA,哃,哃𠹔大言
GAA,𢏕,弓飾
GAA,絧,布名
GAA,𨚯,鄉名
GAA,𨝯,地名又姓
GAA,𪔜,鼓聲
GAA,𩦶,黑虎
GAA,𪒿,黑皃
JAQ,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
JAQ,衷,善也正也適也中也又衷衣褻衣也
JAQ,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州
JAQ,𦬕,草名又音沖
LAQ,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七
LAQ,沖,和也深也
LAQ,种,稚也或作沖亦姓後漢司徒河南种暠
LAQ,盅,器虛也又敕中切
LAQ,爞,爾雅云爞爞炎炎熏也
LAQ,𦬕,草名又音中
LAQ,翀,直上飛也
XAQ,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五
XAQ,眾,又之仲切
XAQ,潀,小水入大水又徂紅在冬二切
XAQ,𣧩,歿也
XAQ,螽,螽斯蟲也
XAQ,𧑄,螽斯蟲也
XAQ,鼨,豹文鼠也
XAQ,蔠,蔠葵蘩露也
XAQ,柊,木名又齊人謂椎爲柊楑也
XAQ,𩅧,小雨
XAQ,䶱,字書云龜名也
XAQ,鴤,鳥名
XAQ,䈺,篋䈺戎人呼之
XAQ,泈,水名在襄陽
XAQ,䝦,獸如豹
KAQ,忡,憂也敕中切三
KAQ,浺,浺瀜水平遠之皃又音蟲
KAQ,盅,器虛也又音蟲
UAQ,崇,高也敬也就也聚也又姓鋤弓切四
UAQ,崈,高也敬也就也聚也又姓鋤弓切四
UAQ,㓽,鍤屬
UAQ,𩞉,饞𩞉貪食也出古今字音
QAQ,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
QAQ,崧,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
QAQ,𪀚,似鷹而小能捕雀也
QAQ,娀,有娀氏女簡狄帝嚳次妃吞乙卵生契
QAQ,菘,菜名
QAQ,硹,地名在遼
QAQ,㣝,姓也
QAQ,𧊕,蟲名
QAQ,䯷,細毛
cAQ,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
cAQ,𢦦,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
cAQ,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也
cAQ,㭜,木名
cAQ,駥,馬八尺也
cAQ,𥬪,小竹可爲矢
cAQ,𠈋,𠈋人身有三角也
cAQ,狨,細布
cAQ,絨,細布
dAQ,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六
dAQ,躳,身也親也又姓出姓苑
dAQ,躬,身也親也又姓出姓苑
dAQ,㴦,縣名在酒泉
dAQ,宮,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇
dAQ,匑,謹敬之皃又音穹
lAQ,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四
lAQ,肜,祭名又敕林切
lAQ,瀜,沖瀜大水皃
kAQ,雄,雄雌也亦姓舜友有雄陶羽弓切二
kAQ,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比
DAQ,瞢,目不明莫中切六
DAQ,夢,說文曰不明也又武仲切
DAQ,鄸,邑名在曹郡
DAQ,懜,慙也國語云君使臣懜
DAQ,𦫰,𦫰𦫰醜皃
DAQ,𧲎,獸似豕目在耳出崐崘
eAQ,穹,高也去宮切七
eAQ,𢞏,憂也
eAQ,焪,乾也
eAQ,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
eAQ,𦵡,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
eAQ,匑,謹敬之皃
eAQ,𥳎,𥳎籠也又去龍切
fAQ,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三
fAQ,藭,芎藭
fAQ,𥨪,羿所封國
CAQ,馮,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七
CAQ,堸,蟲室
CAQ,汎,浮也又孚劒切
CAQ,芃,草盛也又音蓬
CAQ,𨝭,姬姓之國
CAQ,渢,弘大聲也
CAQ,梵,木得風皃又防泛切
AAQ,風,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七
AAQ,飌,古文
AAQ,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄
AAQ,猦,猦母狀如猿逢人則叩頭小打便死得風還活出異物志
AAQ,偑,地名
AAQ,檒,檒梵聲也
AAQ,𧆉,竹名出南海
BAQ,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八
BAQ,酆,邑名亦姓左傳有狄相酆舒
BAQ,蘴,蕪菁苗也
BAQ,灃,水名在咸陽
BAQ,寷,大屋
BAQ,麷,煑麥
BAQ,㒥,偓㒥仙人
BAQ,㠦,山名
YAQ,充,美也塞也行也滿也昌終切七
YAQ,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉
YAQ,茺,茺蔚草也
YAQ,㤝,心動
YAQ,䘪,䘪襌衣也
YAQ,𪎽,黃色又音統
YAQ,㳘,水聲
IAQ,隆,盛也豐也大也力中切六
IAQ,癃,病也亦作𤸇
IAQ,𪔳,鼓聲俗作𪔴
IAQ,窿,穹隆天勢俗加穴
IAQ,霳,豐隆雷師俗加雨
IAQ,㚅,多㚅礼天
eAA,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四
eAA,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也
eAA,崆,崆峒
eAA,椌,器物朴也又丘江切
eAA,硿,硿青色石也
eAA,䅝,稻稈
eAA,悾,悾悾信也愨也
eAA,埪,土埪龕也
eAA,倥,倥侗
eAA,涳,涳濛小雨又口江切
eAA,鵼,怪鳥出字統
eAA,𦱇,𦱇心草也
eAA,𢃐,衣袂
eAA,𧌆,蟬脫𧌆皮
dAA,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三
dAA,功,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛
dAA,工,官也又工巧也
dAA,疘,文字集略云脫疘下部病也
dAA,蚣,蜈蚣蟲
dAA,玒,王名又音江
dAA,釭,車釭說文曰車轂中鐵也又古雙切
dAA,魟,䱑魟江蟲形似蟹可食又音烘
dAA,攻,攻擊
dAA,㓚,銍穫也
dAA,愩,憒也
dAA,碽,擊聲
dAA,篢,篢笠方言
DAA,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七
DAA,冡,說文覆也
DAA,濛,涳濛細雨
DAA,𩦺,驢子曰𩦺
DAA,艨,艨艟戰船又武用切
DAA,䑃,大皃
DAA,矇,矇瞽
DAA,饛,盛食滿皃
DAA,䰒,馬垂鬣也
DAA,檬,似槐華黃
DAA,𨢊,麴生衣皃
DAA,䴿,麴生衣皃
DAA,𨣘,亦上同
DAA,鸏,鸏䴀鳥也
DAA,幪,覆也蓋衣也又幪縠
DAA,罞,爾雅曰麋罟謂之罞
DAA,𢄐,說文云蓋衣也又莫弄切
DAA,髳,爾雅釋詁曰覭髳茀離也
DAA,蠓,蠛蠓似蚊又莫孔切
DAA,𦿏,草可爲帚
DAA,雺,天氣下地不應曰雺又莫侯切
DAA,霿,
DAA,霚,並上同
DAA,朦,朦朧月下
DAA,䀄,器滿
DAA,懜,心悶闇也
DAA,靀,小雨
IAA,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七
IAA,豅,大谷
IAA,㰍,說文云房室之疏也亦作櫳
IAA,朧,朦朧
IAA,𡃡,大聲
IAA,龓,馬龓頭
IAA,䪊,馬龓頭
IAA,瀧,瀧涷沾漬說文曰雨瀧瀧也
IAA,聾,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也
IAA,𨏠,軸頭
IAA,礱,磨也
IAA,䆍,禾病
IAA,𪚗,禾病
IAA,嚨,喉嚨
IAA,蘢,蘢古草名又音龍
IAA,櫳,檻也養獸所也
IAA,𤮨,字書云築土𤮨穀
IAA,巃,巃嵸山皃嵸祖紅切又音竉摠
IAA,襱,襱裙
IAA,𧙥,襱裙
IAA,瓏,玲瓏玉聲
IAA,曨,日欲出也
IAA,鸗,鳥名
IAA,𩟭,𩟭餅
IAA,蠪,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉
IAA,㟅,崆㟅山皃
IAA,屸,山形
jAA,洪,大也亦姓共工氏之後本姓共氏後改爲洪氏戶公切二十二
jAA,鉷,弩牙
jAA,訌,潰也詩曰蟊賊內訌
jAA,紅,色也又姓
jAA,虹,螮蝀也又古巷切
jAA,仜,身肥大也
jAA,鴻,詩傳云大曰鴻小曰鴈又姓左傳衛大夫鴻聊魋
jAA,葒,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹
jAA,葓,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹
jAA,谼,大壑又谼谷寺在相州
jAA,䉺,陳赤米也
jAA,烘,字林云燎也又呼紅切
jAA,洚,說文曰水不遵道一曰下也又戶冬下江二切
jAA,渱,潰渱水沸湧也
jAA,𨹁,從𨹁山名在雲南
jAA,魟,魟白魚又音烘
jAA,䧆,坑也
jAA,䪦,大聲
jAA,𦏺,飛聲
jAA,䫹,大風
jAA,𨾊,鳥肥大𨾊唯然
jAA,䂫,石聲
PAA,叢,聚也徂紅切五
PAA,藂,俗
PAA,䕺,草䕺生皃
PAA,潀,水會也
PAA,𥵫,籠𥵫取魚器俗
hAA,翁,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八
hAA,螉,蠮螉蟲名細𦝫𧒒也
hAA,䱵,魚名
hAA,蓊,蓊鬱草木盛皃又烏桶切
hAA,䈵,竹盛皃
hAA,䩺,吳人靴靿曰䩺
hAA,㮬,水㮬子果名出南州
hAA,𩔚,頸毛也
OAA,悤,速也倉紅切十五
OAA,忩,俗
OAA,蔥,葷菜
OAA,樬,尖頭擔也
OAA,䡯,轞車載囚
OAA,聰,聞也明也察也聽也殷仲堪父患耳聰聞牀下蟻動謂之牛鬬出晉書
OAA,𦇎,色青黃又細絹
OAA,璁,石似玉也
OAA,驄,馬青白雜色
OAA,蟌,蜻蜓淮南子曰蝦蟆爲鶉水蠆爲蟌
OAA,囪,竈突
OAA,𨣼,𨣼𨢊濁酒
OAA,鏓,大鑿平木器
OAA,熜,熅也又子孔切
OAA,𢊕,屋階中會又子孔切
FAA,通,達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九
FAA,蓪,蓪草藥名中有小孔通氣
FAA,侗,大也
FAA,恫,痛也
FAA,痌,痛也
FAA,曈,曈曨欲明之皃
FAA,俑,俑偶人又音勇
FAA,𧳆,獸名似豕出泰山又音同
FAA,𨀜,走皃
NAA,葼,木細枝也子紅切二十一
NAA,鬷,釜屬又姓左傳鄭大夫鬷明
NAA,嵕,九嵕山名
NAA,猣,犬生三子
NAA,豵,豕生三子
NAA,鯼,石首魚名
NAA,椶,椶櫚一名蒲葵
NAA,騣,馬鬣
NAA,𩮰,馬鬣
NAA,䗥,螉䗥蟲名
NAA,嵸,巃嵸又作孔切
NAA,艐,書傳云三艐國名說文云船著沙不行也
NAA,蝬,三蝬蛤屬出臨海異物志
NAA,堫,種也
NAA,𥓻,石也
NAA,翪,聳翅上下皃
NAA,緵,縷也又作弄切
NAA,㚇,飛而斂足又子貢切
NAA,㣭,數也
NAA,稯,禾束
NAA,鬉,毛亂
CAA,蓬,草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十
CAA,𥭗,車軬
CAA,篷,織竹夾箬覆舟也
CAA,髼,髼䯳髮亂皃
CAA,蜂,蟲名出蒼頡篇又音峯
CAA,芃,芃芃草盛皃又音馮
CAA,𧚋,爾雅曰困衱𧚋亦作袶又音降
CAA,韸,鼓聲
CAA,䮾,充塞皃又音龍瀧
CAA,𩖛,風皃又步留切
iAA,烘,火皃呼東切又音紅六
iAA,叿,叿叿市人聲
iAA,魟,河魚似鼈
iAA,谾,谷空皃出字林
iAA,𩐠,𩐠䪦大聲
iAA,𩗄,大風
gAA,㟅,崆㟅山皃五東切又魚江切一
QAA,𣞷,小籠蘇公切又先孔切三
QAA,𢤄,惺𢤄了慧人也
QAA,㬝,白皃出聲譜
EBg,冬,四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七
EBg,𠔙,古文
EBg,苳,草名
EBg,鴤,鴤鳥好入水食似鳧形小
EBg,笗,竹名
EBg,𩂓,雨皃
EBg,𧲴,獸如豹有角
GBg,彤,赤也丹飾也亦姓彤伯爲成王宗伯徒冬切二十二
GBg,疼,痛也
GBg,佟,姓也北燕錄有遼東佟萬以文章知名
GBg,炵,火盛皃又他冬切
GBg,䳋,鳥名䳋渠狀如山雞黑身赤足出山海經也
GBg,鼕,鼓聲
GBg,𢥞,𢥞𢥞憂也出楚詞
GBg,𢾮,擊空聲
GBg,爞,旱熱
GBg,㤏,惶也
GBg,痋,動病
GBg,䂈,剌矛
GBg,鉵,大鉏
GBg,𧹝,赤色
GBg,𩦶,黑虎
GBg,浵,水名亦水皃
GBg,䶱,龜名又音終
GBg,𠩁,楚云深屋
GBg,鉖,鈞鉖
GBg,𨜳,古國名
GBg,㠽,戎云幡也
GBg,赨,赤蟲
PBg,賨,戎稅說文曰南蠻賦也藏宗切十一
PBg,琮,說文云琮瑞玉大八寸似車釭周禮曰以黃琮禮地
PBg,悰,慮也一曰樂也
PBg,潀,小水入大水也又徂紅職戎二切
PBg,淙,水聲又士江切
PBg,慒,謀也又似由切
PBg,鬃,高髻又士江切
PBg,㼻,甖屬又士江切
PBg,孮,爲族盛孮鄉
PBg,誴,謀誴樂也
PBg,𢃏,帛𢃏又布名
HBg,農,田農也說文作農耕也亦官名漢書曰治粟內史秦官也景帝更名大司農又姓風俗通云神農之後又羌複姓有蘇農氏奴冬切十二
HBg,䢉,田農也說文作農耕也亦官名漢書曰治粟內史秦官也景帝更名大司農又姓風俗通云神農之後又羌複姓有蘇農氏奴冬切十二
HBg,辳,古文
HBg,𨑋,籀文
HBg,𩟊,䭢𩟊強食䭢女耕切
HBg,噥,多言不中
HBg,𩅽,露多
HBg,憹,㦀憹悅也
HBg,㺜,多毛犬也又乃刀切
HBg,儂,我也
HBg,𧗕,說文曰腫血也
HBg,膿,說文曰腫血也
dBg,攻,治也作也擊也伐也古冬切二
dBg,釭,燈也又音江
jBg,䃔,䃔䃧石落聲戶冬切四
jBg,洚,說文曰水不遵道一曰下也孟子曰洚水警子
jBg,㗢,歌也又胡宋徒送二切
jBg,𩘎,大風
IBg,䃧,力冬切三
IBg,𪔢,鼓聲
IBg,𣫣,聲也
NBg,宗,眾也本也尊也亦官名漢書宗正秦官也掌親屬亦姓周鄉宗伯之後出南陽又漢複姓二氏前漢有宗伯鳳南燕錄有宗正謙善卜相作冬切二
NBg,倧,上古神人
QBg,鬆,髼鬆髮亂皃私宗切三
QBg,䯳,髼鬆髮亂皃私宗切三
FBg,炵,火色他冬切一
XCQ,鍾,當也酒器也又量名左傳曰釜十則鍾亦姓出潁川又漢複姓有鍾離氏世本云與秦同祖其後因封爲姓職容切十八
XCQ,鐘,樂器也呂氏春秋云黃帝命伶倫鑄寸二器世本曰垂作鐘
XCQ,蚣,䘀螽蟲
XCQ,忪,心動皃
XCQ,䇗,長節竹也
XCQ,蹱,躘蹱小兒行皃
XCQ,彸,征彸行皃
XCQ,衳,小褌也
XCQ,伀,志及眾也
XCQ,橦,字㨾云本音同今借爲木橦字
XCQ,籦,籠籦竹名廣志云可爲笛
XCQ,妐,夫之兄也
XCQ,㕬,眾口也
XCQ,𧢸,舉角也
XCQ,炂,熱化也
XCQ,𦬘,草名
XCQ,𨳗,門外開𨳗
XCQ,鈆,鐵鈆
ICQ,龍,通也和也寵也鱗蟲之長也易曰雲從龍又姓舜納言龍之後力鍾切九
ICQ,𪚝,圭爲龍文
ICQ,躘,躘蹱
ICQ,鸗,鳥名
ICQ,驡,野馬
ICQ,𪚠,巫也
ICQ,籠,𥳎籠竹車軬亦籦籠竹又力東力董二切
ICQ,𦪽,小船上安蓋者
ICQ,蘢,蘢古草
aCQ,舂,世本曰雍父作舂呂氏春秋曰赤冀作舂書容切六
aCQ,𧐍,蜙蝑俗呼𧐍𧑓
aCQ,摏,撞也
aCQ,蹖,蹋也
aCQ,𪄻,𪇆𪄻鳥名
aCQ,憃,愚也
RCQ,松,木名玄中記曰松脂淪入地千歲爲茯苓亦州名舜竄三苗於三危河關之西南羌是也後魏末始統其城改置州焉祥容切四
RCQ,㮤,古文
RCQ,凇,凍落皃又先恭切
RCQ,訟,爭獄又徐用切
YCQ,𧘂,當也向也突也說文曰通道也尺容切十一
YCQ,衝,當也向也突也說文曰通道也尺容切十一
YCQ,罿,網也又音童
YCQ,憧,憧憧往來皃
YCQ,䡴,陷陣車
YCQ,艟,艨艟戰船
YCQ,潼,河潼又音同
YCQ,褈,褈褣衣也
YCQ,𠟍,剌也
YCQ,𠝤,同上
YCQ,䂌,短矛也
lCQ,容,盛也儀也受也爾雅曰容謂之防郭璞云形如今牀頭小曲屏風唱䠶者所以自防隱司馬法云軍容不入國國容不入軍是也又州名又姓入凱仲容之後禮記有徐大夫容居餘封切三十五
lCQ,溶,水皃又音勇
lCQ,滽,水名出宜蘇山
lCQ,庸,常也用也功也和也次也易也又姓漢有庸光
lCQ,𦤘,古文
lCQ,𧴄,獸似牛領有肉也
lCQ,㺎,
lCQ,𤛑,並上同
lCQ,墉,城也垣也
lCQ,鎔,鎔鑄
lCQ,鏞,大鐘
lCQ,銿,上同說文與鐘同
lCQ,鄘,國名
lCQ,傭,傭賃又丑凶切
lCQ,𪅟,𪅟𪆫鳥名似鴨雞足也
lCQ,㼸,甖也
lCQ,𤮇,同上
lCQ,鱅,魚名又音慵
lCQ,蓉,芙蓉
lCQ,䗤,𧌁䗤色如黃蛇有羽
lCQ,傛,傛華縣也又漢書婦官有傛華
lCQ,褣,𧝎褣
lCQ,搈,不安
lCQ,瑢,瑽瑢佩玉行也
lCQ,䈶,䈶䇯又矢
lCQ,嵱,山名在容州山下有鬼市
lCQ,頌,形頌又似用切
lCQ,㝐,㝐盛也說文云古文容
lCQ,䡆,車行皃
lCQ,㟾,㟾山在建州
lCQ,𨲟,餝𨲟
lCQ,𪃾,𪃾鸀
lCQ,槦,㮧槦木中箭笴
lCQ,㣑,重影一曰形㣑
lCQ,𢧳,𢧳戣兵器
ACQ,封,大也國也厚也爵也亦姓望出渤海本姜姓炎帝之後封鉅爲黃帝師又望出河南後魏官氏志云是賁氏後改爲封氏府容切五
ACQ,𡉚,古文
ACQ,犎,野牛
ACQ,葑,菜名詩云采葑采菲
ACQ,崶,山名一名龍門山在封州大魚上化爲龍上不得點額流血水謂丹色也
iCQ,胷,膺也亦作匈𦙄許容切十
iCQ,凶,凶禍
iCQ,𣧑,古文
iCQ,銎,懼也又斤斧柄孔又曲恭切
iCQ,洶,水勢也
iCQ,恟,懼也
iCQ,𧧗,訟也
iCQ,兇,惡也
iCQ,訩,眾語
iCQ,匈,匈奴
gCQ,顒,仰也爾雅云顒顒邛邛君之德也說文云大頭也魚容切四
gCQ,𩤛,上同見廣蒼
gCQ,鰅,魚名說文曰皮有文出樂浪又音隅
gCQ,喁,噞喁
hCQ,邕,說文曰四方有水自邕成池者是也於容切十六
hCQ,雍,和也與邕略同又雍奴縣名在幽州水經云四方有水曰雍不流曰奴亦姓左傳有雍糾又於用切
hCQ,噰,鳥聲
hCQ,嗈,鳥聲
hCQ,郺,郺𨑊多皃
hCQ,澭,水名在宋
hCQ,灉,上同爾雅曰水自河出爲灉
hCQ,癰,癰癤
hCQ,罋,汲器
hCQ,廱,辟廱天子教宮
hCQ,饔,熟食
hCQ,壅,塞又音擁
hCQ,雝,爾雅曰䳭鴒雝渠
hCQ,𪄉,爾雅曰䳭鴒雝渠
hCQ,㻾,玉器
hCQ,𧴗,獸似猨也
MCQ,醲,厚酒女容切八
MCQ,𨑊,郺𨑊
MCQ,濃,厚也
MCQ,襛,襛華又衣厚皃又而容切
MCQ,穠,花木厚又而容切
MCQ,檂,木名
MCQ,𪒬,𪒒𪒬
MCQ,𨲳,多也
LCQ,重,複也曡也直容切又直勇直用二切六
LCQ,穜,先種晚熟曰穜
LCQ,緟,說文云增益也
LCQ,褈,複也
LCQ,䳯,䳯𪄹鳥名
LCQ,蝩,蠶晚生者
PCQ,從,就也又姓漢有將軍從公何氏姓苑云今東莞人疾容切又即容七恭秦用三切三
PCQ,从,古文說文曰相聽也
PCQ,𩀰,方言云南楚人謂雞
KCQ,蹱,躘蹱丑凶切七
KCQ,傭,均也直也又音容
KCQ,𦟛,均也直也又音容
KCQ,𨙔,馬不行也
KCQ,䝑,土精如㹠在地下也
KCQ,𨤩,地名又直容切
KCQ,𪒒,深穴中𪒒黑也
CCQ,逢,值也迎也符容切八
CCQ,縫,紩又音俸
CCQ,漨,水名
CCQ,䩼,鼓聲
CCQ,𥎌,𥎌𥎂矛也
CCQ,夆,掣曳也又敷恭切
CCQ,𥛝,大黃負山神能動天地氣昔孔甲遇之
