描述,反切,字頭,解釋
端一東平,德紅,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
端一東平,德紅,菄,東風菜義見上注俗加艹
端一東平,德紅,鶇,鶇鵍鳥名美形出廣雅亦作𪂝
端一東平,德紅,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟
端一東平,德紅,𠍀,儱𠍀儜劣皃出字諟
端一東平,德紅,倲,上同
端一東平,德紅,𩜍,地理志云東郡館名
端一東平,德紅,𢘐,古文見道經
端一東平,德紅,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切
端一東平,德紅,蝀,螮蝀虹也又音董
端一東平,德紅,凍,凍凌又都貢切
端一東平,德紅,鯟,魚名似鯉
端一東平,德紅,𢔅,行皃
端一東平,德紅,崠,崠如山名
端一東平,德紅,埬,上埬地名
端一東平,德紅,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵
端一東平,德紅,䰤,醜皃
定一東平,徒紅,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
定一東平,徒紅,仝,古文出道書
定一東平,徒紅,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉
定一東平,徒紅,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
定一東平,徒紅,銅,金之一品
定一東平,徒紅,桐,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷
定一東平,徒紅,峒,崆峒山名
定一東平,徒紅,硐,磨也
定一東平,徒紅,𦨴,𦨴船
定一東平,徒紅,𧱁,獸似豕出泰山
定一東平,徒紅,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒
定一東平,徒紅,瞳,目瞳
定一東平,徒紅,㼧,㼧瓦
定一東平,徒紅,𤭁,上同
定一東平,徒紅,罿,車上網又音衝
定一東平,徒紅,犝,犝牛無角
定一東平,徒紅,筩,竹筩
定一東平,徒紅,潼,水名出廣漢郡亦關名又通衝二音
定一東平,徒紅,曈,曈曨日欲明也又他孔切
定一東平,徒紅,洞,洪洞縣名在晉州北又徒弄切
定一東平,徒紅,侗,楊子法言云倥侗顓蒙
定一東平,徒紅,橦,木名花可爲布出字書又鍾幢二音
定一東平,徒紅,烔,熱氣烔烔出字林
定一東平,徒紅,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記
定一東平,徒紅,挏,引也漢官名有挏馬又音動
定一東平,徒紅,酮,馬酪又音動
定一東平,徒紅,鮦,爾雅云鰹大鮦又直冢直柳二切
定一東平,徒紅,㼿,井甓一云甃也
定一東平,徒紅,𦏆,無角羊
定一東平,徒紅,𦍻,上同
定一東平,徒紅,眮,目眶又徒摠切
定一東平,徒紅,蕫,草名又多動切
定一東平,徒紅,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重
定一東平,徒紅,衕,通街也
定一東平,徒紅,𩍅,靫具飾也
定一東平,徒紅,𢈉,地下應聲
定一東平,徒紅,䆚,通䆚也
定一東平,徒紅,哃,哃𠹔大言
定一東平,徒紅,𢏕,弓飾
定一東平,徒紅,絧,布名
定一東平,徒紅,𨚯,鄉名
定一東平,徒紅,𨝯,地名又姓
定一東平,徒紅,𪔜,鼓聲
定一東平,徒紅,𩦶,黑虎
定一東平,徒紅,𪒿,黑皃
知三東平,陟弓,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
知三東平,陟弓,衷,善也正也適也中也又衷衣褻衣也
知三東平,陟弓,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州
知三東平,陟弓,𦬕,草名又音沖
澄三東平,直弓,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七
澄三東平,直弓,沖,和也深也
澄三東平,直弓,种,稚也或作沖亦姓後漢司徒河南种暠
澄三東平,直弓,盅,器虛也又敕中切
澄三東平,直弓,爞,爾雅云爞爞炎炎熏也
澄三東平,直弓,𦬕,草名又音中
澄三東平,直弓,翀,直上飛也
章三東平,職戎,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五
章三東平,職戎,眾,又之仲切
章三東平,職戎,潀,小水入大水又徂紅在冬二切
章三東平,職戎,𣧩,歿也
章三東平,職戎,螽,螽斯蟲也
章三東平,職戎,𧑄,上同
章三東平,職戎,鼨,豹文鼠也
章三東平,職戎,蔠,蔠葵蘩露也
章三東平,職戎,柊,木名又齊人謂椎爲柊楑也
章三東平,職戎,𩅧,小雨
章三東平,職戎,䶱,字書云龜名也
章三東平,職戎,鴤,鳥名
章三東平,職戎,䈺,篋䈺戎人呼之
章三東平,職戎,泈,水名在襄陽
章三東平,職戎,䝦,獸如豹
徹三東平,敕中,忡,憂也敕中切三
徹三東平,敕中,浺,浺瀜水平遠之皃又音蟲
徹三東平,敕中,盅,器虛也又音蟲
崇三東平,鋤弓,崇,高也敬也就也聚也又姓鋤弓切四
崇三東平,鋤弓,崈,上同
崇三東平,鋤弓,㓽,鍤屬
崇三東平,鋤弓,𩞉,饞𩞉貪食也出古今字音
心三東平,息弓,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
心三東平,息弓,崧,上同
心三東平,息弓,𪀚,似鷹而小能捕雀也
心三東平,息弓,娀,有娀氏女簡狄帝嚳次妃吞乙卵生契
心三東平,息弓,菘,菜名
心三東平,息弓,硹,地名在遼
心三東平,息弓,㣝,姓也
心三東平,息弓,𧊕,蟲名
心三東平,息弓,䯷,細毛
日三東平,如融,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
日三東平,如融,𢦦,上同
日三東平,如融,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也
日三東平,如融,㭜,木名
日三東平,如融,駥,馬八尺也
日三東平,如融,𥬪,小竹可爲矢
日三東平,如融,𠈋,𠈋人身有三角也
日三東平,如融,狨,細布
日三東平,如融,絨,上同
見三東平,居戎,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六
見三東平,居戎,躳,身也親也又姓出姓苑
見三東平,居戎,躬,上同
見三東平,居戎,㴦,縣名在酒泉
見三東平,居戎,宮,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇
見三東平,居戎,匑,謹敬之皃又音穹
以三東平,以戎,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四
以三東平,以戎,肜,祭名又敕林切
以三東平,以戎,瀜,沖瀜大水皃
云三東平,羽弓,雄,雄雌也亦姓舜友有雄陶羽弓切二
云三東平,羽弓,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比
明三東平,莫中,瞢,目不明莫中切六
明三東平,莫中,夢,說文曰不明也又武仲切
明三東平,莫中,鄸,邑名在曹郡
明三東平,莫中,懜,慙也國語云君使臣懜
明三東平,莫中,𦫰,𦫰𦫰醜皃
明三東平,莫中,𧲎,獸似豕目在耳出崐崘
溪三東平,去宮,穹,高也去宮切七
溪三東平,去宮,𢞏,憂也
溪三東平,去宮,焪,乾也
溪三東平,去宮,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
溪三東平,去宮,𦵡,上同
溪三東平,去宮,匑,謹敬之皃
溪三東平,去宮,𥳎,𥳎籠也又去龍切
羣三東平,渠弓,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三
羣三東平,渠弓,藭,芎藭
羣三東平,渠弓,𥨪,羿所封國
並三東平,房戎,馮,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七
並三東平,房戎,堸,蟲室
並三東平,房戎,汎,浮也又孚劒切
並三東平,房戎,芃,草盛也又音蓬
並三東平,房戎,𨝭,姬姓之國
並三東平,房戎,渢,弘大聲也
並三東平,房戎,梵,木得風皃又防泛切
幫三東平,方戎,風,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七
幫三東平,方戎,飌,古文
幫三東平,方戎,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄
幫三東平,方戎,猦,猦母狀如猿逢人則叩頭小打便死得風還活出異物志
幫三東平,方戎,偑,地名
幫三東平,方戎,檒,檒梵聲也
幫三東平,方戎,𧆉,竹名出南海
滂三東平,敷空,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八
滂三東平,敷空,酆,邑名亦姓左傳有狄相酆舒
滂三東平,敷空,蘴,蕪菁苗也
滂三東平,敷空,灃,水名在咸陽
滂三東平,敷空,寷,大屋
滂三東平,敷空,麷,煑麥
滂三東平,敷空,㒥,偓㒥仙人
滂三東平,敷空,㠦,山名
昌三東平,昌終,充,美也塞也行也滿也昌終切七
昌三東平,昌終,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉
昌三東平,昌終,茺,茺蔚草也
昌三東平,昌終,㤝,心動
昌三東平,昌終,䘪,䘪襌衣也
昌三東平,昌終,𪎽,黃色又音統
昌三東平,昌終,㳘,水聲
來三東平,力中,隆,盛也豐也大也力中切六
來三東平,力中,癃,病也亦作𤸇
來三東平,力中,𪔳,鼓聲俗作𪔴
來三東平,力中,窿,穹隆天勢俗加穴
來三東平,力中,霳,豐隆雷師俗加雨
來三東平,力中,㚅,多㚅礼天
溪一東平,苦紅,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四
溪一東平,苦紅,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也
溪一東平,苦紅,崆,崆峒
溪一東平,苦紅,椌,器物朴也又丘江切
溪一東平,苦紅,硿,硿青色石也
溪一東平,苦紅,䅝,稻稈
溪一東平,苦紅,悾,悾悾信也愨也
溪一東平,苦紅,埪,土埪龕也
溪一東平,苦紅,倥,倥侗
溪一東平,苦紅,涳,涳濛小雨又口江切
溪一東平,苦紅,鵼,怪鳥出字統
溪一東平,苦紅,𦱇,𦱇心草也
溪一東平,苦紅,𢃐,衣袂
溪一東平,苦紅,𧌆,蟬脫𧌆皮
見一東平,古紅,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三
見一東平,古紅,功,功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛
見一東平,古紅,工,官也又工巧也
見一東平,古紅,疘,文字集略云脫疘下部病也
見一東平,古紅,蚣,蜈蚣蟲
見一東平,古紅,玒,王名又音江
見一東平,古紅,釭,車釭說文曰車轂中鐵也又古雙切
見一東平,古紅,魟,䱑魟江蟲形似蟹可食又音烘
見一東平,古紅,攻,攻擊
見一東平,古紅,㓚,銍穫也
見一東平,古紅,愩,憒也
見一東平,古紅,碽,擊聲
見一東平,古紅,篢,篢笠方言
明一東平,莫紅,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十七
明一東平,莫紅,冡,說文覆也
明一東平,莫紅,濛,涳濛細雨
明一東平,莫紅,𩦺,驢子曰𩦺
明一東平,莫紅,艨,艨艟戰船又武用切
明一東平,莫紅,䑃,大皃
明一東平,莫紅,矇,矇瞽
明一東平,莫紅,饛,盛食滿皃
明一東平,莫紅,䰒,馬垂鬣也
明一東平,莫紅,檬,似槐華黃
明一東平,莫紅,𨢊,麴生衣皃
明一東平,莫紅,䴿,上同
明一東平,莫紅,𨣘,亦上同
明一東平,莫紅,鸏,鸏䴀鳥也
明一東平,莫紅,幪,覆也蓋衣也又幪縠
明一東平,莫紅,罞,爾雅曰麋罟謂之罞
明一東平,莫紅,𢄐,說文云蓋衣也又莫弄切
明一東平,莫紅,髳,爾雅釋詁曰覭髳茀離也
明一東平,莫紅,蠓,蠛蠓似蚊又莫孔切
明一東平,莫紅,𦿏,草可爲帚
明一東平,莫紅,雺,天氣下地不應曰雺又莫侯切
明一東平,莫紅,霿,
明一東平,莫紅,霚,並上同
明一東平,莫紅,朦,朦朧月下
明一東平,莫紅,䀄,器滿
明一東平,莫紅,懜,心悶闇也
明一東平,莫紅,靀,小雨
來一東平,盧紅,籠,西京雜記曰漢制天子以象牙爲火籠盧紅切又力董切二十七
來一東平,盧紅,豅,大谷
來一東平,盧紅,㰍,說文云房室之疏也亦作櫳
來一東平,盧紅,朧,朦朧
來一東平,盧紅,𡃡,大聲
來一東平,盧紅,龓,馬龓頭
來一東平,盧紅,䪊,上同
來一東平,盧紅,瀧,瀧涷沾漬說文曰雨瀧瀧也
來一東平,盧紅,聾,耳聾左傳云不聽五聲之和曰聾釋名曰聾籠也如在蒙籠之內不可察也
來一東平,盧紅,𨏠,軸頭
來一東平,盧紅,礱,磨也
來一東平,盧紅,䆍,禾病
來一東平,盧紅,𪚗,上同
來一東平,盧紅,嚨,喉嚨
來一東平,盧紅,蘢,蘢古草名又音龍
來一東平,盧紅,櫳,檻也養獸所也
來一東平,盧紅,𤮨,字書云築土𤮨穀
來一東平,盧紅,巃,巃嵸山皃嵸祖紅切又音竉摠
來一東平,盧紅,襱,襱裙
來一東平,盧紅,𧙥,上同
來一東平,盧紅,瓏,玲瓏玉聲
來一東平,盧紅,曨,日欲出也
來一東平,盧紅,鸗,鳥名
來一東平,盧紅,𩟭,𩟭餅
來一東平,盧紅,蠪,蠪蛭如狐九尾虎爪音如小兒食人一名䗁蠪又爾雅曰蠪朾螘郭璞云赤駁蚍蜉
來一東平,盧紅,㟅,崆㟅山皃
來一東平,盧紅,屸,山形
匣一東平,戶公,洪,大也亦姓共工氏之後本姓共氏後改爲洪氏戶公切二十二
匣一東平,戶公,鉷,弩牙
匣一東平,戶公,訌,潰也詩曰蟊賊內訌
匣一東平,戶公,紅,色也又姓
匣一東平,戶公,虹,螮蝀也又古巷切
匣一東平,戶公,仜,身肥大也
匣一東平,戶公,鴻,詩傳云大曰鴻小曰鴈又姓左傳衛大夫鴻聊魋
匣一東平,戶公,葒,水草一曰蘢古詩云隰有游龍傳曰龍即紅草也字或從艹
匣一東平,戶公,葓,上同
匣一東平,戶公,谼,大壑又谼谷寺在相州
匣一東平,戶公,䉺,陳赤米也
匣一東平,戶公,烘,字林云燎也又呼紅切
匣一東平,戶公,洚,說文曰水不遵道一曰下也又戶冬下江二切
匣一東平,戶公,渱,潰渱水沸湧也
匣一東平,戶公,𨹁,從𨹁山名在雲南
匣一東平,戶公,魟,魟白魚又音烘
匣一東平,戶公,䧆,坑也
匣一東平,戶公,䪦,大聲
匣一東平,戶公,𦏺,飛聲
匣一東平,戶公,䫹,大風
匣一東平,戶公,𨾊,鳥肥大𨾊唯然
從一東平,徂紅,叢,聚也徂紅切五
從一東平,徂紅,藂,俗
從一東平,徂紅,䕺,草䕺生皃
從一東平,徂紅,潀,水會也
從一東平,徂紅,𥵫,籠𥵫取魚器俗
影一東平,烏紅,翁,老稱也亦鳥頸毛又姓漢書貨殖傳有翁伯販脂而傾縣邑烏紅切八
影一東平,烏紅,螉,蠮螉蟲名細𦝫𧒒也
影一東平,烏紅,䱵,魚名
影一東平,烏紅,蓊,蓊鬱草木盛皃又烏桶切
影一東平,烏紅,䈵,竹盛皃
影一東平,烏紅,䩺,吳人靴靿曰䩺
影一東平,烏紅,㮬,水㮬子果名出南州
影一東平,烏紅,𩔚,頸毛也
清一東平,倉紅,悤,速也倉紅切十五
清一東平,倉紅,忩,俗
清一東平,倉紅,蔥,葷菜
清一東平,倉紅,樬,尖頭擔也
清一東平,倉紅,䡯,轞車載囚
清一東平,倉紅,聰,聞也明也察也聽也殷仲堪父患耳聰聞牀下蟻動謂之牛鬬出晉書
清一東平,倉紅,𦇎,色青黃又細絹
清一東平,倉紅,璁,石似玉也
清一東平,倉紅,驄,馬青白雜色
清一東平,倉紅,蟌,蜻蜓淮南子曰蝦蟆爲鶉水蠆爲蟌
清一東平,倉紅,囪,竈突
清一東平,倉紅,𨣼,𨣼𨢊濁酒
清一東平,倉紅,鏓,大鑿平木器
清一東平,倉紅,熜,熅也又子孔切
清一東平,倉紅,𢊕,屋階中會又子孔切
透一東平,他紅,通,達也三禮圖曰通天冠一名高山冠上之所服也亦州名本漢宕渠縣內有地萬餘頃因名爲萬州後魏以萬州居四達之路改爲通州又姓出姓苑他紅切九
透一東平,他紅,蓪,蓪草藥名中有小孔通氣
透一東平,他紅,侗,大也
透一東平,他紅,恫,痛也
透一東平,他紅,痌,上同
透一東平,他紅,曈,曈曨欲明之皃
透一東平,他紅,俑,俑偶人又音勇
透一東平,他紅,𧳆,獸名似豕出泰山又音同
透一東平,他紅,𨀜,走皃
精一東平,子紅,葼,木細枝也子紅切二十一
精一東平,子紅,鬷,釜屬又姓左傳鄭大夫鬷明
精一東平,子紅,嵕,九嵕山名
精一東平,子紅,猣,犬生三子
精一東平,子紅,豵,豕生三子
精一東平,子紅,鯼,石首魚名
精一東平,子紅,椶,椶櫚一名蒲葵
精一東平,子紅,騣,馬鬣
精一東平,子紅,𩮰,上同
精一東平,子紅,䗥,螉䗥蟲名
精一東平,子紅,嵸,巃嵸又作孔切
精一東平,子紅,艐,書傳云三艐國名說文云船著沙不行也
精一東平,子紅,蝬,三蝬蛤屬出臨海異物志
精一東平,子紅,堫,種也
精一東平,子紅,𥓻,石也
精一東平,子紅,翪,聳翅上下皃
精一東平,子紅,緵,縷也又作弄切
精一東平,子紅,㚇,飛而斂足又子貢切
精一東平,子紅,㣭,數也
精一東平,子紅,稯,禾束
精一東平,子紅,鬉,毛亂
並一東平,薄紅,蓬,草名亦州名周割巴州之伏虞郡於此置蓬州因蓬山而名之薄紅切十
並一東平,薄紅,𥭗,車軬
並一東平,薄紅,篷,織竹夾箬覆舟也
並一東平,薄紅,髼,髼䯳髮亂皃
並一東平,薄紅,蜂,蟲名出蒼頡篇又音峯
並一東平,薄紅,芃,芃芃草盛皃又音馮
並一東平,薄紅,𧚋,爾雅曰困衱𧚋亦作袶又音降
並一東平,薄紅,韸,鼓聲
並一東平,薄紅,䮾,充塞皃又音龍瀧
並一東平,薄紅,𩖛,風皃又步留切
曉一東平,呼東,烘,火皃呼東切又音紅六
曉一東平,呼東,叿,叿叿市人聲
曉一東平,呼東,魟,河魚似鼈
曉一東平,呼東,谾,谷空皃出字林
曉一東平,呼東,𩐠,𩐠䪦大聲
曉一東平,呼東,𩗄,大風
疑一東平,五東,㟅,崆㟅山皃五東切又魚江切一
心一東平,蘇公,𣞷,小籠蘇公切又先孔切三
心一東平,蘇公,𢤄,惺𢤄了慧人也
心一東平,蘇公,㬝,白皃出聲譜
端一冬平,都宗,冬,四時之末尸子曰冬爲信北方爲冬冬終也又姓前燕慕容皝左司馬冬壽都宗切七
端一冬平,都宗,𠔙,古文
端一冬平,都宗,苳,草名
端一冬平,都宗,鴤,鴤鳥好入水食似鳧形小
端一冬平,都宗,笗,竹名
端一冬平,都宗,𩂓,雨皃
端一冬平,都宗,𧲴,獸如豹有角
定一冬平,徒冬,彤,赤也丹飾也亦姓彤伯爲成王宗伯徒冬切二十二
定一冬平,徒冬,疼,痛也
定一冬平,徒冬,佟,姓也北燕錄有遼東佟萬以文章知名
定一冬平,徒冬,炵,火盛皃又他冬切
定一冬平,徒冬,䳋,鳥名䳋渠狀如山雞黑身赤足出山海經也
定一冬平,徒冬,鼕,鼓聲
定一冬平,徒冬,𢥞,𢥞𢥞憂也出楚詞
定一冬平,徒冬,𢾮,擊空聲
定一冬平,徒冬,爞,旱熱
定一冬平,徒冬,㤏,惶也
定一冬平,徒冬,痋,動病
定一冬平,徒冬,䂈,剌矛
定一冬平,徒冬,鉵,大鉏
定一冬平,徒冬,𧹝,赤色
定一冬平,徒冬,𩦶,黑虎
定一冬平,徒冬,浵,水名亦水皃
定一冬平,徒冬,䶱,龜名又音終
定一冬平,徒冬,𠩁,楚云深屋
定一冬平,徒冬,鉖,鈞鉖
定一冬平,徒冬,𨜳,古國名
定一冬平,徒冬,㠽,戎云幡也
定一冬平,徒冬,赨,赤蟲
從一冬平,藏宗,賨,戎稅說文曰南蠻賦也藏宗切十一
從一冬平,藏宗,琮,說文云琮瑞玉大八寸似車釭周禮曰以黃琮禮地
從一冬平,藏宗,悰,慮也一曰樂也
從一冬平,藏宗,潀,小水入大水也又徂紅職戎二切
從一冬平,藏宗,淙,水聲又士江切
從一冬平,藏宗,慒,謀也又似由切
從一冬平,藏宗,鬃,高髻又士江切
從一冬平,藏宗,㼻,甖屬又士江切
從一冬平,藏宗,孮,爲族盛孮鄉
從一冬平,藏宗,誴,謀誴樂也
從一冬平,藏宗,𢃏,帛𢃏又布名
泥一冬平,奴冬,農,田農也說文作農耕也亦官名漢書曰治粟內史秦官也景帝更名大司農又姓風俗通云神農之後又羌複姓有蘇農氏奴冬切十二
泥一冬平,奴冬,䢉,上同
泥一冬平,奴冬,辳,古文
泥一冬平,奴冬,𨑋,籀文
泥一冬平,奴冬,𩟊,䭢𩟊強食䭢女耕切
泥一冬平,奴冬,噥,多言不中
泥一冬平,奴冬,𩅽,露多
泥一冬平,奴冬,憹,㦀憹悅也
泥一冬平,奴冬,㺜,多毛犬也又乃刀切
泥一冬平,奴冬,儂,我也
泥一冬平,奴冬,𧗕,說文曰腫血也
泥一冬平,奴冬,膿,上同
見一冬平,古冬,攻,治也作也擊也伐也古冬切二
見一冬平,古冬,釭,燈也又音江
匣一冬平,戶冬,䃔,䃔䃧石落聲戶冬切四
匣一冬平,戶冬,洚,說文曰水不遵道一曰下也孟子曰洚水警子
匣一冬平,戶冬,㗢,歌也又胡宋徒送二切
匣一冬平,戶冬,𩘎,大風
來一冬平,力冬,䃧,力冬切三
來一冬平,力冬,𪔢,鼓聲
來一冬平,力冬,𣫣,聲也
精一冬平,作冬,宗,眾也本也尊也亦官名漢書宗正秦官也掌親屬亦姓周鄉宗伯之後出南陽又漢複姓二氏前漢有宗伯鳳南燕錄有宗正謙善卜相作冬切二
精一冬平,作冬,倧,上古神人
心一冬平,私宗,鬆,髼鬆髮亂皃私宗切三
心一冬平,私宗,䯳,上同
透一冬平,他冬,炵,火色他冬切一
章三鍾平,職容,鍾,當也酒器也又量名左傳曰釜十則鍾亦姓出潁川又漢複姓有鍾離氏世本云與秦同祖其後因封爲姓職容切十八
章三鍾平,職容,鐘,樂器也呂氏春秋云黃帝命伶倫鑄寸二器世本曰垂作鐘
章三鍾平,職容,蚣,䘀螽蟲
章三鍾平,職容,忪,心動皃
章三鍾平,職容,䇗,長節竹也
章三鍾平,職容,蹱,躘蹱小兒行皃
章三鍾平,職容,彸,征彸行皃
章三鍾平,職容,衳,小褌也
章三鍾平,職容,伀,志及眾也
章三鍾平,職容,橦,字㨾云本音同今借爲木橦字
章三鍾平,職容,籦,籠籦竹名廣志云可爲笛
章三鍾平,職容,妐,夫之兄也
章三鍾平,職容,㕬,眾口也
章三鍾平,職容,𧢸,舉角也
章三鍾平,職容,炂,熱化也
章三鍾平,職容,𦬘,草名
章三鍾平,職容,𨳗,門外開𨳗
章三鍾平,職容,鈆,鐵鈆
來三鍾平,力鍾,龍,通也和也寵也鱗蟲之長也易曰雲從龍又姓舜納言龍之後力鍾切九
來三鍾平,力鍾,𪚝,圭爲龍文
來三鍾平,力鍾,躘,躘蹱
來三鍾平,力鍾,鸗,鳥名
來三鍾平,力鍾,驡,野馬
來三鍾平,力鍾,𪚠,巫也
來三鍾平,力鍾,籠,𥳎籠竹車軬亦籦籠竹又力東力董二切
來三鍾平,力鍾,𦪽,小船上安蓋者
來三鍾平,力鍾,蘢,蘢古草
書三鍾平,書容,舂,世本曰雍父作舂呂氏春秋曰赤冀作舂書容切六
書三鍾平,書容,𧐍,蜙蝑俗呼𧐍𧑓
書三鍾平,書容,摏,撞也
書三鍾平,書容,蹖,蹋也
書三鍾平,書容,𪄻,𪇆𪄻鳥名
書三鍾平,書容,憃,愚也
邪三鍾平,祥容,松,木名玄中記曰松脂淪入地千歲爲茯苓亦州名舜竄三苗於三危河關之西南羌是也後魏末始統其城改置州焉祥容切四
邪三鍾平,祥容,㮤,古文
邪三鍾平,祥容,凇,凍落皃又先恭切
