小韻號,母,呼,等,重紐,韻,聲,反切
760,書,開,三,,麻,平,式車
761,以,開,三,,麻,平,以遮
762,章,開,三,,麻,平,正奢
763,精,開,三,,麻,平,子邪
764,船,開,三,,麻,平,食遮
765,匣,合,二,,麻,平,戶花
766,見,合,二,,麻,平,古華
767,曉,合,二,,麻,平,呼瓜
768,溪,合,二,,麻,平,苦瓜
769,孃,開,二,,麻,平,女加
770,見,開,二,,麻,平,古牙
771,匣,開,二,,麻,平,胡加
772,滂,,二,,麻,平,普巴
773,影,開,二,,麻,平,於加
774,幫,,二,,麻,平,伯加
775,初,開,二,,麻,平,初牙
776,生,開,二,,麻,平,所加
777,疑,開,二,,麻,平,五加
778,莊,開,二,,麻,平,側加
779,澄,開,二,,麻,平,宅加
780,邪,開,三,,麻,平,似嗟
781,常,開,三,,麻,平,視遮
782,影,合,二,,麻,平,烏瓜
783,莊,合,二,,麻,平,莊華
784,知,合,二,,麻,平,陟瓜
785,並,,二,,麻,平,蒲巴
786,崇,開,二,,麻,平,鉏加
787,徹,開,二,,麻,平,敕加
788,知,開,二,,麻,平,陟加
789,曉,開,二,,麻,平,許加
790,溪,開,二,,麻,平,苦加
791,從,開,三,,麻,平,才邪
792,日,開,三,,麻,平,人賒
793,心,開,三,,麻,平,寫邪
794,知,開,三,,麻,平,陟邪
795,疑,合,二,,麻,平,五瓜
796,以,開,三,,陽,平,與章
797,邪,開,三,,陽,平,似羊
798,來,開,三,,陽,平,呂張
799,曉,開,三,,陽,平,許良
800,書,開,三,,陽,平,式羊
801,並,,三,,陽,平,符方
802,章,開,三,,陽,平,諸良
803,昌,開,三,,陽,平,尺良
804,溪,開,三,,陽,平,去羊
805,見,開,三,,陽,平,居良
806,澄,開,三,,陽,平,直良
807,知,開,三,,陽,平,陟良
808,日,開,三,,陽,平,汝陽
809,幫,,三,,陽,平,府良
810,心,開,三,,陽,平,息良
811,精,開,三,,陽,平,即良
812,初,開,三,,陽,平,初良
813,明,,三,,陽,平,武方
814,孃,開,三,,陽,平,女良
815,崇,開,三,,陽,平,士莊
816,莊,開,三,,陽,平,側羊
817,常,開,三,,陽,平,市羊
818,生,開,三,,陽,平,色莊
819,從,開,三,,陽,平,在良
820,清,開,三,,陽,平,七羊
821,溪,合,三,,陽,平,去王
822,云,合,三,,陽,平,雨方
823,影,開,三,,陽,平,於良
824,羣,開,三,,陽,平,巨良
825,徹,開,三,,陽,平,褚羊
826,滂,,三,,陽,平,敷方
827,羣,合,三,,陽,平,巨王
828,定,開,一,,唐,平,徒郎
829,來,開,一,,唐,平,魯當
830,端,開,一,,唐,平,都郎
831,清,開,一,,唐,平,七岡
832,見,開,一,,唐,平,古郎
833,心,開,一,,唐,平,息郎
834,溪,開,一,,唐,平,苦岡
835,曉,合,一,,唐,平,呼光
836,匣,合,一,,唐,平,胡光
837,見,合,一,,唐,平,古黃
838,透,開,一,,唐,平,吐郎
839,滂,,一,,唐,平,普郎
840,影,合,一,,唐,平,烏光
841,影,開,一,,唐,平,烏郎
842,曉,開,一,,唐,平,呼郎
843,匣,開,一,,唐,平,胡郎
844,明,,一,,唐,平,莫郎
845,精,開,一,,唐,平,則郎
846,泥,開,一,,唐,平,奴當
847,並,,一,,唐,平,步光
848,疑,開,一,,唐,平,五剛
849,從,開,一,,唐,平,昨郎
850,溪,合,一,,唐,平,苦光
851,幫,,一,,唐,平,博旁
852,見,開,二,,庚,平,古行
853,溪,開,二,,庚,平,客庚
854,明,,二,,庚,平,武庚
855,匣,合,二,,庚,平,戶盲
856,幫,,二,,庚,平,甫盲
857,曉,合,二,,庚,平,虎橫
858,見,合,二,,庚,平,古橫
859,並,,二,,庚,平,薄庚
860,曉,開,二,,庚,平,許庚
861,徹,開,二,,庚,平,丑庚
862,初,開,二,,庚,平,楚庚
863,崇,開,二,,庚,平,助庚
864,影,開,三,,庚,平,於驚
865,滂,,二,,庚,平,撫庚
866,並,,三,,庚,平,符兵
867,見,開,三,,庚,平,舉卿
868,明,,三,,庚,平,武兵
869,澄,開,二,,庚,平,直庚
870,知,開,二,,庚,平,竹盲
871,云,合,三,,庚,平,永兵
872,幫,,三,,庚,平,甫明
873,曉,合,三,,庚,平,許榮
874,溪,開,三,,庚,平,去京
875,生,開,二,,庚,平,所庚
876,羣,開,三,,庚,平,渠京
877,疑,開,三,,庚,平,語京
878,匣,開,二,,庚,平,戶庚
879,孃,開,二,,庚,平,乃庚
880,見,開,二,,耕,平,古莖
881,溪,開,二,,耕,平,口莖
882,明,,二,,耕,平,莫耕
883,幫,,二,,耕,平,布耕
884,匣,合,二,,耕,平,戶萌
885,匣,開,二,,耕,平,戶耕
886,知,開,二,,耕,平,中莖
887,影,開,二,,耕,平,烏莖
888,崇,開,二,,耕,平,士耕
889,初,開,二,,耕,平,楚耕
890,孃,開,二,,耕,平,女耕
891,滂,,二,,耕,平,普耕
892,曉,合,二,,耕,平,呼宏
893,澄,開,二,,耕,平,宅耕
894,影,合,二,,耕,平,烏宏
895,並,,二,,耕,平,薄萌
896,疑,開,二,,耕,平,五莖
897,莊,開,二,,耕,平,側莖
898,清,開,三,,清,平,七情
899,從,開,三,,清,平,疾盈
900,精,開,三,,清,平,子盈
901,以,開,三,A,清,平,以成
902,以,合,三,A,清,平,余傾
903,影,開,三,A,清,平,於盈
904,知,開,三,,清,平,陟盈
905,徹,開,三,,清,平,丑貞
906,常,開,三,,清,平,是征
907,澄,開,三,,清,平,直貞
908,書,開,三,,清,平,書盈
909,章,開,三,,清,平,諸盈
910,溪,開,三,A,清,平,去盈
911,明,,三,A,清,平,武并
912,來,開,三,,清,平,呂貞
913,幫,,三,A,清,平,府盈
914,溪,合,三,A,清,平,去營
915,邪,開,三,,清,平,徐盈
916,影,合,三,A,清,平,於營
917,羣,合,三,A,清,平,渠營
918,心,合,三,,清,平,息營
919,羣,開,三,A,清,平,巨成
920,曉,合,三,A,清,平,火營
921,清,開,四,,青,平,倉經
922,見,開,四,,青,平,古靈
923,匣,開,四,,青,平,戶經
924,定,開,四,,青,平,特丁
925,端,開,四,,青,平,當經
926,曉,開,四,,青,平,呼刑
927,心,開,四,,青,平,桑經
928,滂,,四,,青,平,普丁
929,來,開,四,,青,平,郎丁
930,泥,開,四,,青,平,奴丁
931,透,開,四,,青,平,他丁
932,明,,四,,青,平,莫經
933,並,,四,,青,平,薄經
934,匣,合,四,,青,平,戶扃
935,見,合,四,,青,平,古螢
936,章,開,三,,蒸,平,煑仍
937,常,開,三,,蒸,平,署陵
938,澄,開,三,,蒸,平,直陵
939,來,開,三,,蒸,平,力膺
940,影,開,三,,蒸,平,於陵
941,並,,三,,蒸,平,扶冰
942,幫,,三,,蒸,平,筆陵
943,以,開,三,,蒸,平,余陵
944,船,開,三,,蒸,平,食陵
945,書,開,三,,蒸,平,識蒸
946,日,開,三,,蒸,平,如乘
947,見,開,三,,蒸,平,居陵
948,知,開,三,,蒸,平,陟陵
949,從,開,三,,蒸,平,疾陵
950,疑,開,三,,蒸,平,魚陵
951,曉,開,三,,蒸,平,虛陵
952,昌,開,三,,蒸,平,處陵
953,羣,開,三,,蒸,平,其矜
954,生,開,三,,蒸,平,山矜
955,溪,開,三,,蒸,平,綺兢
956,徹,開,三,,蒸,平,丑升
957,崇,開,三,,蒸,平,仕兢
958,滂,,三,,蒸,平,披冰
959,端,開,一,,登,平,都滕
960,來,開,一,,登,平,魯登
961,心,開,一,,登,平,蘇增
962,幫,,一,,登,平,北滕
963,精,開,一,,登,平,作滕
964,明,,一,,登,平,武登
965,從,開,一,,登,平,昨棱
966,並,,一,,登,平,步崩
967,匣,合,一,,登,平,胡肱
968,見,合,一,,登,平,古弘
969,曉,合,一,,登,平,呼肱
970,泥,開,一,,登,平,奴登
971,定,開,一,,登,平,徒登
972,匣,開,一,,登,平,胡登
973,見,開,一,,登,平,古恆
974,透,開,一,,登,平,他登
975,滂,,一,,登,平,普朋
976,云,開,三,,尤,平,羽求
977,影,開,三,,尤,平,於求
978,來,開,三,,尤,平,力求
979,清,開,三,,尤,平,七由
980,以,開,三,,尤,平,以周
981,疑,開,三,,尤,平,語求
982,精,開,三,,尤,平,即由
983,從,開,三,,尤,平,自秋
984,心,開,三,,尤,平,息流
985,徹,開,三,,尤,平,丑鳩
986,溪,開,三,,尤,平,去秋
987,昌,開,三,,尤,平,赤周
988,章,開,三,,尤,平,職流
989,常,開,三,,尤,平,市流
990,日,開,三,,尤,平,耳由
991,書,開,三,,尤,平,式州
992,滂,,三,,尤,平,匹尤
993,見,開,三,,尤,平,居求
994,幫,,三,,尤,平,甫鳩
995,生,開,三,,尤,平,所鳩
996,初,開,三,,尤,平,楚鳩
997,莊,開,三,,尤,平,側鳩
998,崇,開,三,,尤,平,士尤
999,曉,開,三,,尤,平,許尤
1000,邪,開,三,,尤,平,似由
1001,澄,開,三,,尤,平,直由
1002,知,開,三,,尤,平,張流
1003,羣,開,三,,尤,平,巨鳩
1004,並,,三,,尤,平,縛謀
1005,明,,三,,尤,平,莫浮
1006,匣,開,一,,侯,平,戶鉤
1007,影,開,一,,侯,平,烏侯
1008,泥,開,一,,侯,平,奴鉤
1009,來,開,一,,侯,平,落侯
1010,心,開,一,,侯,平,速侯
1011,溪,開,一,,侯,平,恪侯
1012,曉,開,一,,侯,平,呼侯
1013,精,開,一,,侯,平,子侯
1014,透,開,一,,侯,平,託侯
1015,定,開,一,,侯,平,度侯
1016,疑,開,一,,侯,平,五婁
1017,見,開,一,,侯,平,古侯
1018,端,開,一,,侯,平,當侯
1019,從,開,一,,侯,平,徂鉤
1020,並,,一,,侯,平,薄侯
1021,清,開,一,,侯,平,千侯
1022,明,,一,,侯,平,亡侯
1023,影,開,三,,幽,平,於虯
1024,羣,開,三,,幽,平,渠幽
1025,幫,,三,,幽,平,甫烋
1026,來,開,三,,幽,平,力幽
1027,見,開,三,,幽,平,居虯
1028,並,,三,,幽,平,皮彪
1029,精,開,三,,幽,平,子幽
1030,生,開,三,,幽,平,山幽
1031,疑,開,三,,幽,平,語虯
1032,曉,開,三,,幽,平,香幽
1033,明,,三,,幽,平,武彪
1034,清,開,三,,侵,平,七林
1035,邪,開,三,,侵,平,徐林
1036,來,開,三,,侵,平,力尋
1037,徹,開,三,,侵,平,丑林
1038,章,開,三,,侵,平,職深
1039,澄,開,三,,侵,平,直深
1040,知,開,三,,侵,平,知林
1041,常,開,三,,侵,平,氏任
1042,日,開,三,,侵,平,如林
1043,書,開,三,,侵,平,式針
1044,以,開,三,A,侵,平,餘針
1045,心,開,三,,侵,平,息林
1046,影,開,三,A,侵,平,挹淫
1047,精,開,三,,侵,平,子心
1048,從,開,三,,侵,平,昨淫
1049,孃,開,三,,侵,平,女心
1050,羣,開,三,B,侵,平,巨金
1051,溪,開,三,B,侵,平,去金
1052,疑,開,三,B,侵,平,魚金
1053,曉,開,三,B,侵,平,許金
1054,見,開,三,B,侵,平,居吟
1055,影,開,三,B,侵,平,於金
1056,生,開,三,,侵,平,所今
1057,崇,開,三,,侵,平,鋤針
1058,莊,開,三,,侵,平,側吟
1059,初,開,三,,侵,平,楚簪
1060,昌,開,三,,侵,平,充針
1061,定,開,一,,覃,平,徒含
1062,清,開,一,,覃,平,倉含
1063,泥,開,一,,覃,平,那含
1064,影,開,一,,覃,平,烏含
1065,匣,開,一,,覃,平,胡男
1066,來,開,一,,覃,平,盧含
1067,從,開,一,,覃,平,昨含
1068,精,開,一,,覃,平,作含
1069,透,開,一,,覃,平,他含
1070,端,開,一,,覃,平,丁含
1071,溪,開,一,,覃,平,口含
1072,曉,開,一,,覃,平,火含
1073,心,開,一,,覃,平,蘇含
1074,見,開,一,,覃,平,古南
1075,疑,開,一,,覃,平,五含
1076,定,開,一,,談,平,徒甘
1077,見,開,一,,談,平,古三
1078,端,開,一,,談,平,都甘
1079,心,開,一,,談,平,蘇甘
1080,來,開,一,,談,平,魯甘
1081,溪,開,一,,談,平,苦甘
1082,透,開,一,,談,平,他酣
1083,從,開,一,,談,平,昨甘
1084,匣,開,一,,談,平,胡甘
1085,明,,一,,談,平,武酣
1086,精,開,一,,談,平,作三
1087,曉,開,一,,談,平,呼談
1088,以,開,三,A,鹽,平,余廉
1089,來,開,三,,鹽,平,力鹽
1090,幫,,三,B,鹽,平,府廉
1091,心,開,三,,鹽,平,息廉
1092,清,開,三,,鹽,平,七廉
1093,章,開,三,,鹽,平,職廉
1094,常,開,三,,鹽,平,視占
1095,書,開,三,,鹽,平,失廉
1096,昌,開,三,,鹽,平,處占
1097,日,開,三,,鹽,平,汝鹽
1098,孃,開,三,,鹽,平,女廉
1099,云,開,三,B,鹽,平,于廉
1100,知,開,三,,鹽,平,張廉
1101,徹,開,三,,鹽,平,丑廉
1102,影,開,三,B,鹽,平,央炎
1103,溪,開,三,B,鹽,平,丘廉
1104,疑,開,三,B,鹽,平,語廉
1105,精,開,三,,鹽,平,子廉
1106,從,開,三,,鹽,平,昨鹽
1107,羣,開,三,B,鹽,平,巨淹
1108,影,開,三,A,鹽,平,一鹽
1109,邪,開,三,,鹽,平,徐鹽
1110,生,開,三,,鹽,平,史炎
1111,澄,開,三,,鹽,平,直廉
1112,羣,開,三,A,鹽,平,巨鹽
1113,透,開,四,,添,平,他兼
1114,端,開,四,,添,平,丁兼
1115,定,開,四,,添,平,徒兼
1116,來,開,四,,添,平,勒兼
1117,溪,開,四,,添,平,苦兼
1118,見,開,四,,添,平,古甜
1119,匣,開,四,,添,平,戶兼
1120,泥,開,四,,添,平,奴兼
1121,曉,開,四,,添,平,許兼
1122,匣,開,二,,咸,平,胡讒
1123,見,開,二,,咸,平,古咸
1124,生,開,二,,咸,平,所咸
1125,影,開,二,,咸,平,乙咸
1126,疑,開,二,,咸,平,五咸
1127,曉,開,二,,咸,平,許咸
1128,知,開,二,,咸,平,竹咸
1129,孃,開,二,,咸,平,女咸
1130,崇,開,二,,咸,平,士咸
1131,溪,開,二,,咸,平,苦咸
1132,匣,開,二,,銜,平,戶監
1133,崇,開,二,,銜,平,鋤銜
1134,疑,開,二,,銜,平,五銜
1135,初,開,二,,銜,平,楚銜
1136,生,開,二,,銜,平,所銜
1137,見,開,二,,銜,平,古銜
1138,並,,二,,銜,平,白銜
1139,溪,開,二,,銜,平,口銜
1140,疑,開,三,,嚴,平,語𩏩
1141,曉,開,三,,嚴,平,虛嚴
1142,影,開,三,,嚴,平,於嚴
1143,溪,開,三,,嚴,平,丘嚴
1144,並,,三,,凡,平,符䒦
1145,滂,,三,,凡,平,匹凡
1146,端,開,一,,東,上,多動
1147,明,,一,,東,上,莫孔
1148,溪,開,一,,東,上,康董
1149,心,開,一,,東,上,先孔
1150,透,開,一,,東,上,他孔
1151,精,開,一,,東,上,作孔
1152,匣,開,一,,東,上,胡孔
1153,影,開,一,,東,上,烏孔
1154,泥,開,一,,東,上,奴動
1155,幫,,一,,東,上,邊孔
1156,來,開,一,,東,上,力董
1157,曉,開,一,,東,上,呼孔
1158,定,開,一,,東,上,徒摠
1159,並,,一,,東,上,蒲蠓
1160,章,開,三,,鍾,上,之隴
1161,徹,開,三,,鍾,上,丑隴
1162,來,開,三,,鍾,上,力踵
1163,影,開,三,,鍾,上,於隴
1164,日,開,三,,鍾,上,而隴
1165,澄,開,三,,鍾,上,直隴
1166,知,開,三,,鍾,上,知隴
1167,並,,三,,鍾,上,扶隴
1168,滂,,三,,鍾,上,敷奉
1169,以,開,三,,鍾,上,余隴
1170,溪,開,三,,鍾,上,丘隴
1171,常,開,三,,鍾,上,時宂
1172,見,開,三,,鍾,上,居悚
1173,心,開,三,,鍾,上,息拱
1174,曉,開,三,,鍾,上,許拱
1175,幫,,三,,鍾,上,方勇
1176,端,合,一,,冬,上,都𪁪
1177,明,,一,,冬,上,莫湩
1178,羣,開,三,,鍾,上,渠隴
1179,昌,開,三,,鍾,上,充隴
1180,精,開,三,,鍾,上,子冢
1181,見,開,二,,江,上,古項
1182,並,,二,,江,上,步項
1183,影,開,二,,江,上,烏項
1184,明,,二,,江,上,武項
1185,匣,開,二,,江,上,胡講
1186,幫,,二,,江,上,巴講
1187,曉,開,二,,江,上,虛慃
1188,章,開,三,,支,上,諸氏
1189,常,開,三,,支,上,承紙
1190,明,,三,B,支,上,文彼
1191,幫,,三,B,支,上,甫委
1192,並,,三,B,支,上,皮彼
1193,曉,合,三,B,支,上,許委
1194,影,合,三,B,支,上,於詭
1195,溪,合,三,B,支,上,去委
1196,見,合,三,B,支,上,過委
1197,心,合,三,,支,上,息委
1198,來,合,三,,支,上,力委
1199,羣,開,三,B,支,上,渠綺
1200,影,開,三,B,支,上,於綺
1201,見,開,三,B,支,上,居綺
1202,溪,開,三,B,支,上,墟彼
1203,疑,開,三,B,支,上,魚倚
1204,云,合,三,B,支,上,韋委
1205,精,合,三,,支,上,即委
1206,日,合,三,,支,上,如累
1207,清,開,三,,支,上,雌氏
1208,澄,開,三,,支,上,池爾
1209,心,開,三,,支,上,斯氏
1210,以,開,三,A,支,上,移爾
1211,來,開,三,,支,上,力紙
1212,生,開,三,,支,上,所綺
1213,幫,,三,A,支,上,并弭
1214,日,開,三,,支,上,兒氏
1215,明,,三,A,支,上,綿婢
1216,並,,三,A,支,上,便俾
1217,昌,開,三,,支,上,尺氏
1218,書,開,三,,支,上,施是
1219,精,開,三,,支,上,將此
1220,章,合,三,,支,上,之累
1221,初,合,三,,支,上,初委
1222,邪,合,三,,支,上,隨婢
1223,船,開,三,,支,上,神帋
1224,莊,開,三,,支,上,側氏
1225,滂,,三,B,支,上,匹靡
1226,滂,,三,A,支,上,匹婢
1227,以,合,三,A,支,上,羊捶
1228,從,合,三,,支,上,才捶
1229,溪,合,三,A,支,上,丘弭
1230,孃,開,三,,支,上,女氏
1231,疑,合,三,B,支,上,魚毀
1232,羣,合,三,B,支,上,渠委
1233,徹,開,三,,支,上,敕豸
1234,知,開,三,,支,上,陟侈
1235,曉,開,三,B,支,上,興倚
1236,溪,開,三,A,支,上,丘弭
1237,常,合,三,,支,上,時髓
1238,見,開,三,A,支,上,居帋
1239,章,開,三,,脂,上,職雉
1240,常,開,三,,脂,上,承矢
1241,明,,三,B,脂,上,無鄙
1242,幫,,三,B,脂,上,方美
1243,邪,開,三,,脂,上,徐姊
1244,見,開,三,B,脂,上,居履
1245,精,開,三,,脂,上,將几
1246,幫,,三,A,脂,上,卑履
1247,見,合,三,B,脂,上,居洧
1248,云,合,三,B,脂,上,榮美
1249,書,開,三,,脂,上,式視
1250,澄,開,三,,脂,上,直几
1251,心,開,三,,脂,上,息姊
1252,並,,三,A,脂,上,扶履
1253,來,開,三,,脂,上,力几
1254,書,合,三,,脂,上,式軌
1255,來,合,三,,脂,上,力軌
1256,羣,合,三,A,脂,上,求癸
1257,清,合,三,,脂,上,千水
1258,孃,開,三,,脂,上,女履
1259,見,合,三,A,脂,上,居誄
1260,並,,三,B,脂,上,符鄙
1261,從,合,三,,脂,上,徂累
1262,滂,,三,B,脂,上,匹鄙
1263,日,合,三,,脂,上,如壘
1264,以,合,三,A,脂,上,以水
1265,影,開,三,B,脂,上,於几
1266,精,合,三,,脂,上,遵誄
1267,知,開,三,,脂,上,豬几
1268,徹,開,三,,脂,上,楮几
1269,曉,合,三,A,脂,上,火癸
1270,羣,合,三,B,脂,上,暨軌
1271,羣,開,三,B,脂,上,暨几
1272,溪,合,三,B,脂,上,丘軌
1273,章,開,三,,之,上,諸市
1274,常,開,三,,之,上,時止
1275,知,開,三,,之,上,陟里
1276,曉,開,三,,之,上,虛里
1277,見,開,三,,之,上,居理
1278,以,開,三,,之,上,羊己
1279,邪,開,三,,之,上,詳里
1280,生,開,三,,之,上,疎士
1281,日,開,三,,之,上,而止
1282,來,開,三,,之,上,良士
1283,心,開,三,,之,上,胥里
1284,書,開,三,,之,上,詩止
1285,澄,開,三,,之,上,直里
1286,溪,開,三,,之,上,墟里
1287,崇,開,三,,之,上,鉏里
1288,俟,開,三,,之,上,牀史
1289,精,開,三,,之,上,即里
1290,云,開,三,,之,上,于紀
1291,疑,開,三,,之,上,魚紀
1292,昌,開,三,,之,上,昌里
1293,徹,開,三,,之,上,敕里
1294,初,開,三,,之,上,初紀
1295,莊,開,三,,之,上,阻史
1296,影,開,三,,之,上,於擬
1297,孃,開,三,,之,上,乃里
1298,明,,三,,微,上,無匪
1299,影,開,三,,微,上,於豈
1300,溪,開,三,,微,上,袪豨
1301,見,開,三,,微,上,居豨
1302,滂,,三,,微,上,敷尾
1303,幫,,三,,微,上,府尾
1304,云,合,三,,微,上,于鬼
1305,見,合,三,,微,上,居偉
1306,曉,合,三,,微,上,許偉
1307,疑,開,三,,微,上,魚豈
1308,曉,開,三,,微,上,虛豈
1309,影,合,三,,微,上,於鬼
1310,並,,三,,微,上,浮鬼
1311,疑,開,三,,魚,上,魚巨
1312,來,開,三,,魚,上,力舉
1313,澄,開,三,,魚,上,直呂
1314,以,開,三,,魚,上,余呂
1315,章,開,三,,魚,上,章与
1316,日,開,三,,魚,上,人渚
1317,書,開,三,,魚,上,舒呂
1318,昌,開,三,,魚,上,昌與
1319,知,開,三,,魚,上,丁呂
1320,心,開,三,,魚,上,私呂
1321,徹,開,三,,魚,上,丑呂
1322,孃,開,三,,魚,上,尼呂
1323,曉,開,三,,魚,上,虛呂
1324,羣,開,三,,魚,上,其呂
1325,生,開,三,,魚,上,疎舉
1326,初,開,三,,魚,上,創舉
1327,莊,開,三,,魚,上,側呂
1328,崇,開,三,,魚,上,牀呂
1329,從,開,三,,魚,上,慈呂
1330,影,開,三,,魚,上,於許
1331,見,開,三,,魚,上,居許
1332,邪,開,三,,魚,上,徐呂
1333,溪,開,三,,魚,上,羌舉
1334,船,開,三,,魚,上,神與
1335,常,開,三,,魚,上,承與
1336,清,開,三,,魚,上,七與
1337,精,開,三,,魚,上,子與
1338,疑,合,三,,虞,上,虞矩
1339,云,合,三,,虞,上,王矩
1340,從,合,三,,虞,上,慈庾
1341,幫,,三,,虞,上,方矩
1342,明,,三,,虞,上,文甫
1343,並,,三,,虞,上,扶雨
1344,滂,,三,,虞,上,芳武
1345,澄,合,三,,虞,上,直主
1346,曉,合,三,,虞,上,況羽
1347,常,合,三,,虞,上,臣庾
1348,以,合,三,,虞,上,以主
1349,章,合,三,,虞,上,之庾
1350,影,合,三,,虞,上,於武
1351,溪,合,三,,虞,上,驅雨
1352,知,合,三,,虞,上,知庾
1353,日,合,三,,虞,上,而主
1354,羣,合,三,,虞,上,其矩
1355,生,合,三,,虞,上,所矩
1356,見,合,三,,虞,上,俱雨
1357,清,合,三,,虞,上,七庾
1358,來,合,三,,虞,上,力主
1359,心,合,三,,虞,上,相庾
1360,崇,合,三,,虞,上,鶵禹
1361,明,,一,,模,上,莫補
1362,透,,一,,模,上,他魯
1363,定,,一,,模,上,徒古
1364,來,,一,,模,上,郎古
1365,清,,一,,模,上,采古
1366,端,,一,,模,上,當古
1367,見,,一,,模,上,公戶
1368,疑,,一,,模,上,疑古
1369,並,,一,,模,上,裴古
1370,從,,一,,模,上,徂古
1371,精,,一,,模,上,則古
1372,曉,,一,,模,上,呼古
1373,影,,一,,模,上,安古
1374,溪,,一,,模,上,康杜
1375,泥,,一,,模,上,奴古
1376,匣,,一,,模,上,侯古
1377,滂,,一,,模,上,滂古
1378,幫,,一,,模,上,博古
1379,從,開,四,,齊,上,徂禮
1380,來,開,四,,齊,上,盧啓
1381,透,開,四,,齊,上,他禮
1382,滂,,四,,齊,上,匹米
1383,精,開,四,,齊,上,子禮
1384,端,開,四,,齊,上,都禮
1385,定,開,四,,齊,上,徒禮
1386,泥,開,四,,齊,上,奴禮
1387,心,開,四,,齊,上,先禮
1388,清,開,四,,齊,上,千禮
1389,溪,開,四,,齊,上,康禮
1390,匣,開,四,,齊,上,胡禮
1391,明,,四,,齊,上,莫禮
1392,並,,四,,齊,上,傍禮
1393,影,開,四,,齊,上,烏弟
1394,疑,開,四,,齊,上,研啓
1395,幫,,四,,齊,上,補米
1396,匣,開,二,,佳,上,胡買
1397,明,,二,,佳,上,莫蟹
1398,溪,開,二,,佳,上,苦蟹
1399,澄,開,二,,佳,上,宅買
1400,孃,開,二,,佳,上,奴蟹
1401,並,,二,,佳,上,薄蟹
1402,影,開,二,,佳,上,烏蟹
1403,幫,,二,,佳,上,北買
1404,見,開,二,,佳,上,佳買
1405,生,開,二,,佳,上,所蟹
1406,見,合,二,,佳,上,乖買
1407,澄,合,二,,佳,上,丈夥
1408,匣,合,二,,佳,上,懷𠁥
1409,曉,合,二,,佳,上,花夥
1410,羣,開,二,,佳,上,求蟹
1411,匣,開,二,,皆,上,侯楷
1412,溪,開,二,,皆,上,苦駭
1413,疑,開,二,,皆,上,五駭
1414,影,開,二,,皆,上,於駭
1415,曉,合,一,,灰,上,呼罪
1416,影,合,一,,灰,上,烏賄
1417,來,合,一,,灰,上,落猥
1418,定,合,一,,灰,上,徒猥
1419,從,合,一,,灰,上,徂賄
1420,明,,一,,灰,上,武罪
1421,透,合,一,,灰,上,吐猥
1422,匣,合,一,,灰,上,胡罪
1423,溪,合,一,,灰,上,口猥
1424,端,合,一,,灰,上,都罪
1425,泥,合,一,,灰,上,奴罪
1426,疑,合,一,,灰,上,五罪
1427,清,合,一,,灰,上,七罪
1428,並,,一,,灰,上,蒲罪
1429,精,合,一,,灰,上,子罪
1430,曉,開,一,,咍,上,呼改
1431,溪,開,一,,咍,上,苦亥
1432,精,開,一,,咍,上,作亥
1433,定,開,一,,咍,上,徒亥
1434,泥,開,一,,咍,上,奴亥
1435,見,開,一,,咍,上,古亥
1436,匣,開,一,,咍,上,胡改
1437,滂,,一,,灰,上,匹愷
1438,清,開,一,,咍,上,倉宰
1439,昌,開,三,,咍,上,昌紿
1440,端,開,一,,咍,上,多改
1441,從,開,一,,咍,上,昨宰
1442,影,開,一,,咍,上,於改
1443,以,開,三,,咍,上,夷在
1444,透,開,一,,咍,上,他亥
1445,日,開,三,,咍,上,如亥
1446,來,開,一,,咍,上,來改
1447,章,開,三,,眞,上,章忍
1448,徹,開,三,,眞,上,丑忍
1449,常,開,三,,眞,上,時忍
1450,日,開,三,,眞,上,而軫
1451,書,開,三,,眞,上,式忍
1452,來,開,三,,眞,上,良忍
1453,澄,開,三,,眞,上,直引
1454,見,開,三,A,眞,上,居忍
1455,從,開,三,,眞,上,慈忍
1456,精,開,三,,眞,上,即忍
1457,並,,三,A,眞,上,毗忍
1458,疑,開,三,B,眞,上,宜引
1459,清,開,三,,眞,上,七忍
1460,羣,合,三,B,眞,上,渠殞
1461,以,開,三,A,眞,上,余忍
1462,明,,三,B,眞,上,眉殞
1463,明,,三,A,眞,上,武盡
1464,云,合,三,B,眞,上,于敏
1465,章,合,三,,眞,上,之尹
1466,以,合,三,A,眞,上,余準
1467,心,合,三,,眞,上,思尹
1468,日,合,三,,眞,上,而允
1469,昌,合,三,,眞,上,尺尹
1470,船,合,三,,眞,上,食尹
1471,徹,合,三,,眞,上,癡準
1472,來,合,三,,眞,上,力準
1473,溪,合,三,B,眞,上,丘尹
1474,溪,開,三,A,眞,上,弃忍
1475,書,合,三,,眞,上,式允
1476,曉,開,三,B,眞,上,興腎
1477,崇,開,三,,眞,上,鉏紖
1478,知,開,三,,眞,上,珍忍
1479,明,,三,,文,上,武粉
1480,幫,,三,,文,上,方吻
1481,並,,三,,文,上,房吻
1482,滂,,三,,文,上,敷粉
1483,影,合,三,,文,上,於粉
1484,疑,合,三,,文,上,魚吻
1485,云,合,三,,文,上,云粉
1486,溪,合,三,,文,上,丘粉
1487,影,開,三,,欣,上,於謹
1488,見,開,三,,欣,上,居隱
1489,莊,開,三,,欣,上,仄謹
1490,溪,開,三,,欣,上,丘謹
1491,羣,開,三,,欣,上,其謹
1492,初,開,三,,欣,上,初謹
