小韻號,母,呼,等,重紐,韻,聲,反切
177,昌,合,三,,脂,平,尺隹
178,知,開,三,,脂,平,丁尼
179,滂,,三,A,脂,平,匹夷
180,精,合,三,,脂,平,醉綏
181,溪,合,三,B,脂,平,丘追
182,疑,開,三,B,脂,平,牛肌
183,曉,開,三,A,脂,平,喜夷
184,章,開,三,,之,平,止而
185,以,開,三,,之,平,與之
186,常,開,三,,之,平,市之
187,疑,開,三,,之,平,語其
188,心,開,三,,之,平,息兹
189,初,開,三,,之,平,楚持
190,羣,開,三,,之,平,渠之
191,書,開,三,,之,平,書之
192,日,開,三,,之,平,如之
193,溪,開,三,,之,平,去其
194,見,開,三,,之,平,居之
195,邪,開,三,,之,平,似兹
196,來,開,三,,之,平,里之
197,莊,開,三,,之,平,側持
198,曉,開,三,,之,平,許其
199,影,開,三,,之,平,於其
200,徹,開,三,,之,平,丑之
201,澄,開,三,,之,平,直之
202,昌,開,三,,之,平,赤之
203,從,開,三,,之,平,疾之
204,精,開,三,,之,平,子之
205,崇,開,三,,之,平,士之
206,俟,開,三,,之,平,俟甾
207,明,,三,,微,平,無非
208,曉,合,三,,微,平,許歸
209,云,合,三,,微,平,雨非
210,滂,,三,,微,平,芳非
211,幫,,三,,微,平,甫微
212,並,,三,,微,平,符非
213,影,合,三,,微,平,於非
214,羣,開,三,,微,平,渠希
215,見,開,三,,微,平,居依
216,曉,開,三,,微,平,香衣
217,影,開,三,,微,平,於希
218,疑,開,三,,微,平,魚衣
219,疑,合,三,,微,平,語韋
220,見,合,三,,微,平,舉韋
221,溪,合,三,,微,平,丘韋
222,疑,開,三,,魚,平,語居
223,初,開,三,,魚,平,楚居
224,書,開,三,,魚,平,傷魚
225,見,開,三,,魚,平,九魚
226,羣,開,三,,魚,平,強魚
227,以,開,三,,魚,平,以諸
228,心,開,三,,魚,平,相居
229,清,開,三,,魚,平,七余
230,崇,開,三,,魚,平,士魚
231,徹,開,三,,魚,平,丑居
232,生,開,三,,魚,平,所葅
233,曉,開,三,,魚,平,朽居
234,邪,開,三,,魚,平,似魚
235,影,開,三,,魚,平,央居
236,知,開,三,,魚,平,陟魚
237,來,開,三,,魚,平,力居
238,章,開,三,,魚,平,章魚
239,澄,開,三,,魚,平,直魚
240,日,開,三,,魚,平,人諸
241,精,開,三,,魚,平,子魚
242,溪,開,三,,魚,平,去魚
243,莊,開,三,,魚,平,側魚
244,常,開,三,,魚,平,署魚
245,孃,開,三,,魚,平,女余
246,疑,合,三,,虞,平,遇俱
247,初,合,三,,虞,平,測隅
248,明,,三,,虞,平,武夫
249,云,合,三,,虞,平,羽俱
250,曉,合,三,,虞,平,況于
251,羣,合,三,,虞,平,其俱
252,日,合,三,,虞,平,人朱
253,心,合,三,,虞,平,相俞
254,知,合,三,,虞,平,陟輸
255,徹,合,三,,虞,平,敕俱
256,常,合,三,,虞,平,市朱
257,以,合,三,,虞,平,羊朱
258,溪,合,三,,虞,平,豈俱
259,章,合,三,,虞,平,章俱
260,清,合,三,,虞,平,七逾
261,來,合,三,,虞,平,力朱
262,並,,三,,虞,平,防無
263,崇,合,三,,虞,平,仕于
264,莊,合,三,,虞,平,莊俱
265,滂,,三,,虞,平,芳無
266,精,合,三,,虞,平,子于
267,幫,,三,,虞,平,甫無
268,影,合,三,,虞,平,憶俱
269,書,合,三,,虞,平,式朱
270,昌,合,三,,虞,平,昌朱
271,澄,合,三,,虞,平,直誅
272,見,合,三,,虞,平,舉朱
273,生,合,三,,虞,平,山芻
274,明,,一,,模,平,莫胡
275,並,,一,,模,平,薄胡
276,匣,,一,,模,平,戶吳
277,見,,一,,模,平,古胡
278,定,,一,,模,平,同都
279,泥,,一,,模,平,乃都
280,曉,,一,,模,平,荒烏
281,疑,,一,,模,平,五乎
282,精,,一,,模,平,則吾
283,來,,一,,模,平,落胡
284,心,,一,,模,平,素姑
285,從,,一,,模,平,昨胡
286,影,,一,,模,平,哀都
287,幫,,一,,模,平,博孤
288,溪,,一,,模,平,苦胡
289,清,,一,,模,平,倉胡
290,透,,一,,模,平,他胡
291,端,,一,,模,平,當孤
292,滂,,一,,模,平,普胡
293,從,開,四,,齊,平,徂奚
294,來,開,四,,齊,平,郎奚
295,清,開,四,,齊,平,七稽
296,端,開,四,,齊,平,都奚
297,定,開,四,,齊,平,杜奚
298,幫,,四,,齊,平,邊兮
299,見,開,四,,齊,平,古奚
300,匣,開,四,,齊,平,胡雞
301,影,開,四,,齊,平,烏奚
302,疑,開,四,,齊,平,五稽
303,曉,開,四,,齊,平,呼雞
304,心,開,四,,齊,平,先稽
305,透,開,四,,齊,平,土雞
306,並,,四,,齊,平,部迷
307,滂,,四,,齊,平,匹迷
308,精,開,四,,齊,平,祖稽
309,明,,四,,齊,平,莫兮
310,泥,開,四,,齊,平,奴低
311,溪,開,四,,齊,平,苦奚
312,見,合,四,,齊,平,古攜
313,溪,合,四,,齊,平,苦圭
314,匣,合,四,,齊,平,戶圭
315,日,開,三,,齊,平,人兮
316,常,開,三,,齊,平,成臡
317,影,合,四,,齊,平,烏攜
318,曉,合,四,,齊,平,呼攜
319,見,開,二,,佳,平,古膎
320,匣,開,二,,佳,平,戶佳
321,並,,二,,佳,平,薄佳
322,見,合,二,,佳,平,古蛙
323,影,合,二,,佳,平,烏媧
324,溪,合,二,,佳,平,苦緺
325,崇,開,二,,佳,平,士佳
326,初,開,二,,佳,平,楚佳
327,曉,合,二,,佳,平,火媧
328,孃,開,二,,佳,平,㚷佳
329,疑,開,二,,佳,平,五佳
330,影,開,二,,佳,平,於佳
331,生,開,二,,佳,平,山佳
332,曉,開,二,,佳,平,火佳
333,徹,開,二,,佳,平,丑佳
334,明,,二,,佳,平,莫佳
335,匣,合,二,,佳,平,戶媧
336,見,開,二,,皆,平,古諧
337,影,開,二,,皆,平,乙諧
338,匣,開,二,,皆,平,戶皆
339,並,,二,,皆,平,步皆
340,見,合,二,,皆,平,古懷
341,匣,合,二,,皆,平,戶乖
342,溪,合,二,,皆,平,苦淮
343,崇,開,二,,皆,平,士皆
344,初,開,二,,皆,平,楚皆
345,曉,合,二,,皆,平,呼懷
346,澄,合,二,,皆,平,杜懷
347,明,,二,,皆,平,莫皆
348,莊,開,二,,皆,平,側皆
349,影,合,二,,皆,平,乙乖
350,知,開,二,,皆,平,卓皆
351,來,開,二,,皆,平,賴諧
352,溪,開,二,,皆,平,口皆
353,孃,開,二,,皆,平,諾皆
354,生,開,二,,皆,平,山皆
355,疑,開,二,,皆,平,擬皆
356,徹,開,二,,皆,平,丑皆
357,曉,開,二,,皆,平,喜皆
358,來,合,二,,皆,平,力懷
359,崇,合,二,,皆,平,仕懷
360,曉,合,一,,灰,平,呼恢
361,溪,合,一,,灰,平,苦回
362,影,合,一,,灰,平,烏恢
363,匣,合,一,,灰,平,戶恢
364,明,,一,,灰,平,莫杯
365,見,合,一,,灰,平,公回
366,來,合,一,,灰,平,魯回
367,定,合,一,,灰,平,杜回
368,清,合,一,,灰,平,倉回
369,端,合,一,,灰,平,都回
370,心,合,一,,灰,平,素回
371,從,合,一,,灰,平,昨回
372,並,,一,,灰,平,薄回
373,幫,,一,,灰,平,布回
374,滂,,一,,灰,平,芳杯
375,疑,合,一,,灰,平,五灰
376,透,合,一,,灰,平,他回
377,泥,合,一,,灰,平,乃回
378,精,合,一,,灰,平,臧回
379,曉,開,一,,咍,平,呼來
380,溪,開,一,,咍,平,苦哀
381,影,開,一,,咍,平,烏開
382,定,開,一,,咍,平,徒哀
383,見,開,一,,咍,平,古哀
384,從,開,一,,咍,平,昨哉
385,來,開,一,,咍,平,落哀
386,精,開,一,,咍,平,祖才
387,清,開,一,,咍,平,倉才
388,透,開,一,,咍,平,土來
389,匣,開,一,,咍,平,戶來
390,心,開,一,,咍,平,蘇來
391,疑,開,一,,咍,平,五來
392,泥,開,一,,咍,平,奴來
393,端,開,一,,咍,平,丁來
394,昌,開,三,,咍,平,昌來
395,章,開,三,,眞,平,職鄰
396,徹,開,三,,眞,平,丑人
397,影,開,三,A,眞,平,於真
398,心,開,三,,眞,平,息鄰
399,常,開,三,,眞,平,植鄰
400,日,開,三,,眞,平,如鄰
401,船,開,三,,眞,平,食鄰
402,清,開,三,,眞,平,七人
403,云,開,三,A,眞,平,下珍
404,書,開,三,,眞,平,失人
405,幫,,三,A,眞,平,必鄰
406,來,開,三,,眞,平,力珍
407,羣,開,三,B,眞,平,巨巾
408,知,開,三,,眞,平,陟鄰
409,澄,開,三,,眞,平,直珍
410,精,開,三,,眞,平,將鄰
411,昌,開,三,,眞,平,昌真
412,從,開,三,,眞,平,匠鄰
413,以,開,三,A,眞,平,翼真
414,孃,開,三,,眞,平,女鄰
415,滂,,三,A,眞,平,匹賓
416,並,,三,A,眞,平,符真
417,疑,開,三,B,眞,平,語巾
418,見,開,三,B,眞,平,居銀
419,見,合,三,B,眞,平,居筠
420,云,合,三,B,眞,平,爲贇
421,溪,合,三,B,眞,平,去倫
422,明,,三,B,眞,平,武巾
423,並,,三,B,眞,平,符巾
424,影,開,三,B,眞,平,於巾
425,影,合,三,B,眞,平,於倫
426,幫,,三,B,眞,平,府巾
427,明,,三,A,眞,平,彌鄰
428,章,合,三,,眞,平,章倫
