字頭,轉號,上位,右位
換,24,9,20
亂,24,9,22
襻,24,10,2
慢,24,10,4
奻,24,10,8
慣,24,10,9
䟒,24,10,11
薍,24,10,12
篡,24,10,14
饌,24,10,15
㝈,24,10,16
綰,24,10,18
患,24,10,20
變,24,11,1
卞,24,11,3
囀,24,11,5
猭,24,11,6
傳,24,11,7
眷,24,11,9
䄐,24,11,10
倦,24,11,11
剸,24,11,13
釧,24,11,14
𢮨,24,11,17
縣,24,11,20
瑗,24,11,21
戀,24,11,22
𤲬,24,11,23
睊,24,12,9
䬼,24,12,18
絢,24,12,19
撥,24,13,1
潑,24,13,2
跋,24,13,3
末,24,13,4
掇,24,13,5
侻,24,13,6
奪,24,13,7
括,24,13,9
闊,24,13,10
枂,24,13,12
繓,24,13,13
撮,24,13,14
柮,24,13,15
𠞯,24,13,16
斡,24,13,18
豁,24,13,19
活,24,13,20
捋,24,13,22
八,24,14,1
汃,24,14,2
拔,24,14,3
㑻,24,14,4
窡,24,14,5
豽,24,14,8
劀,24,14,9
䯇,24,14,10
𦤙,24,14,12
茁,24,14,13
刷,24,14,16
𠋚,24,14,19
滑,24,14,20
輟,24,15,5
𤿫,24,15,6
吶,24,15,8
蹶,24,15,9
拙,24,15,13
歠,24,15,14
說,24,15,16
噦,24,15,18
劣,24,15,22
𬋖,24,15,23
玦,24,16,9
闋,24,16,10
抉,24,16,18
血,24,16,19
穴,24,16,20
襃,25,1,1
㯱,25,1,2
袍,25,1,3
毛,25,1,4
刀,25,1,5
饕,25,1,6
陶,25,1,7
猱,25,1,8
高,25,1,9
尻,25,1,10
敖,25,1,12
糟,25,1,13
操,25,1,14
曹,25,1,15
騷,25,1,16
䥝,25,1,18
蒿,25,1,19
豪,25,1,20
勞,25,1,22
包,25,2,1
胞,25,2,2
庖,25,2,3
茅,25,2,4
啁,25,2,5
䫸,25,2,6
䄻,25,2,7
鐃,25,2,8
交,25,2,9
敲,25,2,10
聱,25,2,12
𦗔,25,2,13
䜈,25,2,14
巢,25,2,15
梢,25,2,16
䫜,25,2,18
虓,25,2,19
肴,25,2,20
顟,25,2,22
鑣,25,3,1
藨,25,3,2
苗,25,3,4
朝,25,3,5
超,25,3,6
晁,25,3,7
驕,25,3,9
蹻,25,3,10
喬,25,3,11
堯,25,3,12
昭,25,3,13
弨,25,3,14
燒,25,3,16
韶,25,3,17
妖,25,3,18
囂,25,3,19
鴞,25,3,21
僚,25,3,22
饒,25,3,23
貂,25,4,5
挑,25,4,6
迢,25,4,7
驍,25,4,9
鄡,25,4,10
嶢,25,4,12
蕭,25,4,16
幺,25,4,18
膮,25,4,19
聊,25,4,22
寶,25,5,1
犥,25,5,2
抱,25,5,3
蓩,25,5,4
倒,25,5,5
討,25,5,6
道,25,5,7
腦,25,5,8
暠,25,5,9
考,25,5,10
𦽀,25,5,12
早,25,5,13
草,25,5,14
皁,25,5,15
㛮,25,5,16
襖,25,5,18
好,25,5,19
晧,25,5,20
老,25,5,22
飽,25,6,1
鮑,25,6,3
卯,25,6,4
䝤,25,6,5
㺒,25,6,8
絞,25,6,9
巧,25,6,10
齩,25,6,12
爪,25,6,13
煼,25,6,14
䰫,25,6,15
拗,25,6,18
澩,25,6,20
表,25,7,1
麃,25,7,2
藨,25,7,3
巐,25,7,6
趙,25,7,7
矯,25,7,9
𩯘,25,7,11
沼,25,7,13
𪍑,25,7,14
少,25,7,16
紹,25,7,17
殀,25,7,18
繚,25,7,22
擾,25,7,23
鳥,25,8,5
朓,25,8,6
窕,25,8,7
嬲,25,8,8
皎,25,8,9
磽,25,8,10
湫,25,8,13
篠,25,8,16
杳,25,8,18
曉,25,8,19
皛,25,8,20
了,25,8,22
報,25,9,1
暴,25,9,3
帽,25,9,4
到,25,9,5
導,25,9,7
腝,25,9,8
誥,25,9,9
𩝝,25,9,10
傲,25,9,12
竈,25,9,13
操,25,9,14
漕,25,9,15
喿,25,9,16
奧,25,9,18
秏,25,9,19
號,25,9,20
嫪,25,9,22
豹,25,10,1
奅,25,10,2
𦫗,25,10,3
𧳖,25,10,4
罩,25,10,5
趠,25,10,6
棹,25,10,7
橈,25,10,8
教,25,10,9
敲,25,10,10
樂,25,10,12
抓,25,10,13
抄,25,10,14
巢,25,10,15
稍,25,10,16
孝,25,10,19
效,25,10,20
廟,25,11,4
脁,25,11,6
召,25,11,7
驕,25,11,9
嶠,25,11,11
照,25,11,13
少,25,11,16
邵,25,11,17
療,25,11,22
饒,25,11,23
弔,25,12,5
糶,25,12,6
藋,25,12,7
尿,25,12,8
呌,25,12,9
竅,25,12,10
顤,25,12,12
嘯,25,12,16
窔,25,12,18
㱇,25,12,19
𩕐,25,12,22
飆,26,4,1
漂,26,4,2
瓢,26,4,3
蜱,26,4,4
蹻,26,4,10
翹,26,4,11
焦,26,4,13
鍫,26,4,14
樵,26,4,15
霄,26,4,16
葽,26,4,18
遙,26,4,21
褾,26,8,1
縹,26,8,2
摽,26,8,3
眇,26,8,4
𥃧,26,8,9
剿,26,8,13
悄,26,8,14
𤃭,26,8,15
小,26,8,16
闄,26,8,18
鷕,26,8,21
剽,26,12,2
驃,26,12,3
妙,26,12,4
𧇠,26,12,10
翹,26,12,11
趬,26,12,12
醮,26,12,13
陗,26,12,14
噍,26,12,15
𥬇,26,12,16
要,26,12,18
燿,26,12,21
多,27,1,5
他,27,1,6
駝,27,1,7
那,27,1,8
歌,27,1,9
珂,27,1,10
莪,27,1,12
蹉,27,1,14
醝,27,1,15
娑,27,1,16
阿,27,1,18
訶,27,1,19
何,27,1,20
羅,27,1,22
癉,27,5,5
爹,27,5,7
橠,27,5,8
哿,27,5,9
可,27,5,10
我,27,5,12
左,27,5,13
瑳,27,5,14
縒,27,5,16
𨵌,27,5,18
㰤,27,5,19
荷,27,5,20
砢,27,5,22
跢,27,9,5
拖,27,9,6
馱,27,9,7
奈,27,9,8
箇,27,9,9
坷,27,9,10
餓,27,9,12
佐,27,9,13
磋,27,9,14
些,27,9,16
呵,27,9,19
賀,27,9,20
邏,27,9,22
波,28,1,1
頗,28,1,2
婆,28,1,3
摩,28,1,4
𨹃,28,1,5
詑,28,1,6
㸰,28,1,7
捼,28,1,8
戈,28,1,9
科,28,1,10
訛,28,1,12
侳,28,1,13
遳,28,1,14
矬,28,1,15
莎,28,1,16
倭,28,1,18
和,28,1,20
𩼊,28,1,22
𩩆,28,3,10
瘸,28,3,11
𦚢,28,3,18
靴,28,3,19
跛,28,5,1
叵,28,5,2
爸,28,5,3
麼,28,5,4
朶,28,5,5
妥,28,5,6
㛂,28,5,8
果,28,5,9
顆,28,5,10
𡜮,28,5,12
硰,28,5,13
脞,28,5,14
坐,28,5,15
鎖,28,5,16
婐,28,5,18
火,28,5,19
禍,28,5,20
躶,28,5,22
播,28,9,1
破,28,9,2
縛,28,9,3
磨,28,9,4
桗,28,9,5
唾,28,9,6
惰,28,9,7
愞,28,9,8
過,28,9,9
課,28,9,10
臥,28,9,12
挫,28,9,13
剉,28,9,14
座,28,9,15
䐝,28,9,16
涴,28,9,18
貨,28,9,19
和,28,9,20
𡰠,28,9,22
巴,29,2,1
葩,29,2,2
爬,29,2,3
麻,29,2,4
奓,29,2,5
侘,29,2,6
茶,29,2,7
拏,29,2,8
嘉,29,2,9
䶗,29,2,10
牙,29,2,12
樝,29,2,13
叉,29,2,14
楂,29,2,15
鯊,29,2,16
鵶,29,2,18
煆,29,2,19
遐,29,2,20
遮,29,3,13
車,29,3,14
蛇,29,3,15
奢,29,3,16
闍,29,3,17
儸,29,3,22
若,29,3,23
爹,29,4,5
嗟,29,4,13
㚗,29,4,15
些,29,4,16
邪,29,4,17
耶,29,4,21
把,29,6,1
跁,29,6,3
馬,29,6,4
觰,29,6,5
奼,29,6,6
䋈,29,6,8
賈,29,6,9
跒,29,6,10
雅,29,6,12
鮓,29,6,13
槎,29,6,15
灑,29,6,16
啞,29,6,18
㗿,29,6,19
下,29,6,20
䖃,29,6,22
者,29,7,13
捨,29,7,16
社,29,7,17
若,29,7,23
姐,29,8,13
且,29,8,14
抯,29,8,15
寫,29,8,16
灺,29,8,17
野,29,8,21
霸,29,10,1
怕,29,10,2
𥝧,29,10,3
禡,29,10,4
吒,29,10,5
詫,29,10,6
䖳,29,10,7
䏧,29,10,8
駕,29,10,9
髂,29,10,10
迓,29,10,12
詐,29,10,13
乍,29,10,15
嗄,29,10,16
亞,29,10,18
嚇,29,10,19
暇,29,10,20
柘,29,11,13
䞣,29,11,14
射,29,11,15
舍,29,11,16
偌,29,11,23
㰤,29,12,10
唶,29,12,13
笡,29,12,14
褯,29,12,15
蝑,29,12,16
謝,29,12,17
夜,29,12,21
檛,30,2,5
瓜,30,2,9
誇,30,2,10
𣢉,30,2,12
髽,30,2,13
窊,30,2,18
花,30,2,19
華,30,2,20
觰,30,6,5
寡,30,6,9
髁,30,6,10
瓦,30,6,12
𡎬,30,6,13
䂳,30,6,14
葰,30,6,15
搲,30,6,18
踝,30,6,20
坬,30,10,9
跨,30,10,10
瓦,30,10,12
誜,30,10,16
攨,30,10,18
化,30,10,19
㕦,30,10,20
幫,31,1,1
滂,31,1,2
傍,31,1,3
茫,31,1,4
當,31,1,5
湯,31,1,6
唐,31,1,7
囊,31,1,8
剛,31,1,9
穅,31,1,10
卬,31,1,12
臧,31,1,13
倉,31,1,14
藏,31,1,15
桑,31,1,16
鴦,31,1,18
忼,31,1,19
航,31,1,20
郎,31,1,22
莊,31,2,13
瘡,31,2,14
牀,31,2,15
霜,31,2,16
方,31,3,1
芳,31,3,2
房,31,3,3
亡,31,3,4
張,31,3,5
倀,31,3,6
長,31,3,7
孃,31,3,8
薑,31,3,9
羌,31,3,10
強,31,3,11
章,31,3,13
昌,31,3,14
啇,31,3,16
常,31,3,17
央,31,3,18
香,31,3,19
羊,31,3,21
良,31,3,22
穰,31,3,23
將,31,4,13
鏘,31,4,14
牆,31,4,15
相,31,4,16
詳,31,4,17
陽,31,4,21
榜,31,5,1
髈,31,5,2
莽,31,5,4
黨,31,5,5
儻,31,5,6
蕩,31,5,7
曩,31,5,8
䴚,31,5,9
慷,31,5,10
䭹,31,5,12
駔,31,5,13
蒼,31,5,14
顙,31,5,16
坱,31,5,18
汻,31,5,19
沆,31,5,20
朗,31,5,22
磢,31,6,14
𤕤,31,6,16
昉,31,7,1
髣,31,7,2
罔,31,7,4
長,31,7,5
昶,31,7,6
丈,31,7,7
繈,31,7,9
勥,31,7,11
仰,31,7,12
掌,31,7,13
敞,31,7,14
賞,31,7,16
上,31,7,17
鞅,31,7,18
響,31,7,19
兩,31,7,22
壤,31,7,23
獎,31,8,13
搶,31,8,14
想,31,8,16
像,31,8,17
養,31,8,21
螃,31,9,1
傍,31,9,3
漭,31,9,4
譡,31,9,5
儻,31,9,6
宕,31,9,7
儾,31,9,8
鋼,31,9,9
抗,31,9,10
枊,31,9,12
葬,31,9,13
䅮,31,9,14
藏,31,9,15
䘮,31,9,16
盎,31,9,18
吭,31,9,20
浪,31,9,22
壯,31,10,13
刱,31,10,14
狀,31,10,15
放,31,11,1
訪,31,11,2
防,31,11,3
妄,31,11,4
帳,31,11,5
暢,31,11,6
仗,31,11,7
釀,31,11,8
殭,31,11,9
唴,31,11,10
強,31,11,11
𨋕,31,11,12
障,31,11,13
唱,31,11,14
餉,31,11,16
尚,31,11,17
怏,31,11,18
向,31,11,19
亮,31,11,22
讓,31,11,23
醬,31,12,13
蹡,31,12,14
匠,31,12,15
相,31,12,16
漾,31,12,21
博,31,13,1
𩔈,31,13,2
泊,31,13,3
莫,31,13,4
託,31,13,6
鐸,31,13,7
諾,31,13,8
各,31,13,9
恪,31,13,10
愕,31,13,12
作,31,13,13
錯,31,13,14
昨,31,13,15
索,31,13,16
惡,31,13,18
臛,31,13,19
涸,31,13,20
落,31,13,22
斮,31,14,13
𩌏,31,15,1
𩅿,31,15,2
縛,31,15,3
芍,31,15,5
辵,31,15,6
著,31,15,7
逽,31,15,8
腳,31,15,9
卻,31,15,10
噱,31,15,11
虐,31,15,12
灼,31,15,13
綽,31,15,14
鑠,31,15,16
杓,31,15,17
約,31,15,18
謔,31,15,19
略,31,15,22
弱,31,15,23
爵,31,16,13
鵲,31,16,14
嚼,31,16,15
削,31,16,16
藥,31,16,21
光,32,1,9
䯑,32,1,10
汪,32,1,18
荒,32,1,19
黃,32,1,20
匡,32,3,10
狂,32,3,11
王,32,3,21
廣,32,5,9
懬,32,5,10
㳹,32,5,18
慌,32,5,19
晃,32,5,20
俇,32,6,11
枉,32,7,18
怳,32,7,19
往,32,7,21
桄,32,9,9
曠,32,9,10
汪,32,9,18
荒,32,9,19
潢,32,9,20
誑,32,11,11
況,32,11,19
旺,32,11,21
郭,32,13,9
廓,32,13,10
瓁,32,13,12
艧,32,13,18
霍,32,13,19
檴,32,13,20
玃,32,15,9
躩,32,15,10
戄,32,15,11
嬳,32,15,18
䂄,32,15,19
籰,32,15,21
閍,33,2,1
磅,33,2,2
彭,33,2,3
盲,33,2,4
趟,33,2,5
瞠,33,2,6
棖,33,2,7
儜,33,2,8
庚,33,2,9
坑,33,2,10
鎗,33,2,14
傖,33,2,15
生,33,2,16
亨,33,2,19
行,33,2,20
兵,33,3,1
平,33,3,3
明,33,3,4
京,33,3,9
𡖥,33,3,10
擎,33,3,11
英,33,3,18
并,33,4,1
名,33,4,4
輕,33,4,10
頸,33,4,11
迎,33,4,12
精,33,4,13
清,33,4,14
情,33,4,15
騂,33,4,16
𩛿,33,4,17
嬰,33,4,18
盈,33,4,21
浜,33,6,1
鮩,33,6,3
猛,33,6,4
盯,33,6,5
瑒,33,6,7
檸,33,6,8
梗,33,6,9
省,33,6,16
䁝,33,6,18
杏,33,6,20
冷,33,6,22
丙,33,7,1
皿,33,7,4
警,33,7,9
影,33,7,18
餅,33,8,1
眳,33,8,4
頸,33,8,9
井,33,8,13
請,33,8,14
靜,33,8,15
省,33,8,16
癭,33,8,18
榜,33,10,1
烹,33,10,2
膨,33,10,3
孟,33,10,4
倀,33,10,5
牚,33,10,6
鋥,33,10,7
更,33,10,9
硬,33,10,12
行,33,10,20
柄,33,11,1
病,33,11,3
命,33,11,4
敬,33,11,9
慶,33,11,10
競,33,11,11
迎,33,11,12
映,33,11,18
拼,33,12,1
聘,33,12,2
偋,33,12,3
詺,33,12,4
勁,33,12,9
精,33,12,13
倩,33,12,14
淨,33,12,15
性,33,12,16
伯,33,14,1
拍,33,14,2
白,33,14,3
陌,33,14,4
磔,33,14,5
坼,33,14,6
宅,33,14,7
蹃,33,14,8
格,33,14,9
客,33,14,10
額,33,14,12
迮,33,14,13
柵,33,14,14
齚,33,14,15
索,33,14,16
啞,33,14,18
赫,33,14,19
垎,33,14,20
礐,33,14,22
欂,33,15,3
𪐏,33,15,5
戟,33,15,9
隙,33,15,10
劇,33,15,11
逆,33,15,12
辟,33,16,1
僻,33,16,2
擗,33,16,3
剔,33,16,6
積,33,16,13
剌,33,16,14
籍,33,16,15
昔,33,16,16
席,33,16,17
益,33,16,18
繹,33,16,21
觥,34,2,9
諻,34,2,19
橫,34,2,20
兄,34,3,19
營,34,3,21
傾,34,4,10
瓊,34,4,11
觪,34,4,16
縈,34,4,18
𧵣,34,4,19
榮,34,4,21
礦,34,6,9
𥉁,34,6,10
卝,34,6,20
璟,34,7,9
憬,34,7,10
𦬺,34,7,19
永,34,7,21
頃,34,8,10
潁,34,8,21
𥥈,34,10,18
蝗,34,10,20
詠,34,11,21
敻,34,12,19
虢,34,14,9
擭,34,14,18
砉,34,14,19
嚄,34,14,20
䪝,34,15,18
鶪,34,16,9
䠐,34,16,10
𦳮,34,16,13
𥄎,34,16,14
瞁,34,16,19
役,34,16,21
絣,35,2,1
怦,35,2,2
棚,35,2,3
甍,35,2,4
朾,35,2,5
撑,35,2,6
橙,35,2,7
儜,35,2,8
耕,35,2,9
鏗,35,2,10
娙,35,2,12
爭,35,2,13
琤,35,2,14
崢,35,2,15
罌,35,2,18
莖,35,2,20
征,35,3,13
聲,35,3,16
成,35,3,17
跉,35,3,22
竮,35,4,2
瓶,35,4,3
冥,35,4,4
丁,35,4,5
汀,35,4,6
庭,35,4,7
寧,35,4,8
經,35,4,9
輕,35,4,10
菁,35,4,13
青,35,4,14
星,35,4,16
馨,35,4,19
刑,35,4,20
靈,35,4,22
皏,35,6,2
𠊧,35,6,3
䁅,35,6,4
耿,35,6,9
幸,35,6,20
逞,35,7,6
頸,35,7,9
痙,35,7,11
整,35,7,13
領,35,7,22
鞞,35,8,1
頩,35,8,2
並,35,8,3
茗,35,8,4
頂,35,8,5
侹,35,8,6
挺,35,8,7
𩕳,35,8,8
剄,35,8,9
䀴,35,8,12
汫,35,8,15
醒,35,8,16
巊,35,8,18
婞,35,8,20
笭,35,8,22
迸,35,10,1
𠊧,35,10,3
硬,35,10,12
諍,35,10,13
䙬,35,10,18
遉,35,11,6
鄭,35,11,7
政,35,11,13
聖,35,11,16
盛,35,11,17
令,35,11,22
跰,35,12,1
䒌,35,12,4
矴,35,12,5
聽,35,12,6
定,35,12,7
甯,35,12,8
俓,35,12,9
罄,35,12,10
靘,35,12,14
腥,35,12,16
脛,35,12,20
零,35,12,22
檗,35,14,1
𢶉,35,14,2
䌟,35,14,3
麥,35,14,4
摘,35,14,5
隔,35,14,9
礊,35,14,10
虉,35,14,12
責,35,14,13
策,35,14,14
賾,35,14,15
栜,35,14,16
戹,35,14,18
覈,35,14,20
碧,35,15,1
𪐏,35,15,5
擲,35,15,7
隻,35,15,13
尺,35,15,14
射,35,15,15
釋,35,15,16
石,35,15,17
㔏,35,15,22
璧,35,16,1
劈,35,16,2
甓,35,16,3
覓,35,16,4
的,35,16,5
逖,35,16,6
狄,35,16,7
惄,35,16,8
激,35,16,9
燩,35,16,10
鷁,35,16,12
績,35,16,13
戚,35,16,14
寂,35,16,15
錫,35,16,16
赥,35,16,19
檄,35,16,20
靂,35,16,22
繃,36,2,1
泓,36,2,18
轟,36,2,19
宏,36,2,20
扃,36,4,9
熒,36,4,20
熲,36,8,9
褧,36,8,10
濙,36,8,18
詗,36,8,19
迥,36,8,20
𥥈,36,10,18
轟,36,10,19
鎣,36,12,18
詗,36,12,19
蟈,36,14,9
𥕏,36,14,10
䟒,36,14,11
㩇,36,14,13
䞰,36,14,15
𢷾,36,14,16
劃,36,14,19
獲,36,14,20
礰,36,14,22
𣤩,36,16,6
郹,36,16,9
闃,36,16,10
殈,36,16,19
裒,37,1,3
呣,37,1,4
𫥢,37,1,5
偷,37,1,6
頭,37,1,7
羺,37,1,8
鉤,37,1,9
彄,37,1,10
齵,37,1,12
𣠏,37,1,13
䜅,37,1,14
㔌,37,1,15
涑,37,1,16
謳,37,1,18
齁,37,1,19
侯,37,1,20
樓,37,1,22
鄒,37,2,13
搊,37,2,14
愁,37,2,15
搜,37,2,16
不,37,3,1
浮,37,3,3
謀,37,3,4
輈,37,3,5
抽,37,3,6
儔,37,3,7
鳩,37,3,9
丘,37,3,10
求,37,3,11
牛,37,3,12
周,37,3,13
犫,37,3,14
收,37,3,16
讎,37,3,17
優,37,3,18
休,37,3,19
尤,37,3,21
劉,37,3,22
柔,37,3,23
彪,37,4,1
䬌,37,4,2
滮,37,4,3
繆,37,4,4
樛,37,4,9
恘,37,4,10
聱,37,4,12
啾,37,4,13
秋,37,4,14
遒,37,4,15
脩,37,4,16
囚,37,4,17
幽,37,4,18
飍,37,4,19
由,37,4,21
鏐,37,4,22
掊,37,5,1
剖,37,5,2
部,37,5,3
母,37,5,4
斗,37,5,5
黈,37,5,6
䕆,37,5,7
㝅,37,5,8
苟,37,5,9
口,37,5,10
藕,37,5,12
走,37,5,13
趣,37,5,14
鯫,37,5,15
叟,37,5,16
歐,37,5,18
吼,37,5,19
厚,37,5,20
塿,37,5,22
掫,37,6,13
𩋄,37,6,14
𥣙,37,6,15
湊,37,6,16
缶,37,7,1
紑,37,7,2
婦,37,7,3
肘,37,7,5
丑,37,7,6
紂,37,7,7
狃,37,7,8
久,37,7,9
糗,37,7,10
臼,37,7,11
帚,37,7,13
醜,37,7,14
壽,37,7,15
首,37,7,16
受,37,7,17
䬀,37,7,18
朽,37,7,19
有,37,7,21
柳,37,7,22
蹂,37,7,23
糾,37,8,9
蟉,37,8,11
酒,37,8,13
湫,37,8,15
滫,37,8,16
黝,37,8,18
酉,37,8,21
仆,37,9,2
䏽,37,9,3
茂,37,9,4
鬭,37,9,5
透,37,9,6
豆,37,9,7
耨,37,9,8
遘,37,9,9
寇,37,9,10
偶,37,9,12
奏,37,9,13
輳,37,9,14
㔌,37,9,15
瘶,37,9,16
漚,37,9,18
詬,37,9,19
候,37,9,20
陋,37,9,22
皺,37,10,13
簉,37,10,14
驟,37,10,15
瘦,37,10,16
富,37,11,1
副,37,11,2
復,37,11,3
莓,37,11,4
晝,37,11,5
胄,37,11,7
糅,37,11,8
救,37,11,9
𪖛,37,11,10
𪖐,37,11,12
咒,37,11,13
臭,37,11,14
狩,37,11,16
授,37,11,17
齅,37,11,19
宥,37,11,21
溜,37,11,22
輮,37,11,23
謬,37,12,4
䠗,37,12,10
𧾻,37,12,11
僦,37,12,13
䞭,37,12,14
就,37,12,15
秀,37,12,16
岫,37,12,17
幼,37,12,18
狖,37,12,21
簪,38,2,13
嵾,38,2,14
岑,38,2,15
森,38,2,16
碪,38,3,5
琛,38,3,6
沈,38,3,7
䛘,38,3,8
金,38,3,9
欽,38,3,10
琴,38,3,11
吟,38,3,12
斟,38,3,13
𧡪,38,3,14
忱,38,3,15
深,38,3,16
諶,38,3,17
音,38,3,18
歆,38,3,19
林,38,3,22
任,38,3,23
舚,38,4,6
祲,38,4,13
侵,38,4,14
𩷒,38,4,15
心,38,4,16
尋,38,4,17
愔,38,4,18
淫,38,4,21
䫬,38,6,13
墋,38,6,14
𩒣,38,6,15
㾕,38,6,16
稟,38,7,1
品,38,7,2
戡,38,7,5
踸,38,7,6
朕,38,7,7
拰,38,7,8
錦,38,7,9
坅,38,7,10
噤,38,7,11
僸,38,7,12
枕,38,7,13
瀋,38,7,14
葚,38,7,15
沈,38,7,16
甚,38,7,17
飲,38,7,18
廞,38,7,19
廩,38,7,22
荏,38,7,23
𩖄,38,8,10
䤐,38,8,13
寢,38,8,14
蕈,38,8,15
罧,38,8,16
譖,38,10,13
讖,38,10,14
滲,38,10,16
揕,38,11,5
闖,38,11,6
鴆,38,11,7
賃,38,11,8
禁,38,11,9
𦧈,38,11,11
吟,38,11,12
枕,38,11,13
深,38,11,16
甚,38,11,17
蔭,38,11,18
䫴,38,11,21
臨,38,11,22
絍,38,11,23
浸,38,12,13
沁,38,12,14
戢,38,14,13
㞚,38,14,14
霵,38,14,15
澀,38,14,16
鵖,38,15,1
𩾳,38,15,3
縶,38,15,5
湁,38,15,6
蟄,38,15,7
孨,38,15,8
急,38,15,9
泣,38,15,10
及,38,15,11
岌,38,15,12
執,38,15,13
斟,38,15,14
褶,38,15,15
溼,38,15,16
十,38,15,17
邑,38,15,18
吸,38,15,19
煜,38,15,21
立,38,15,22
入,38,15,23
㗱,38,16,13
緝,38,16,14
集,38,16,15
𩎕,38,16,16
習,38,16,17
揖,38,16,18
熠,38,16,21
耽,39,1,5
探,39,1,6
覃,39,1,7
南,39,1,8
弇,39,1,9
龕,39,1,10
䜙,39,1,12
簪,39,1,13
參,39,1,14
蠶,39,1,15
毿,39,1,16
諳,39,1,18
㟏,39,1,19
含,39,1,20
婪,39,1,22
詀,39,2,5
諵,39,2,8
緘,39,2,9
鵮,39,2,10
嵒,39,2,12
讒,39,2,15
攕,39,2,16
𤟟,39,2,18
㰹,39,2,19
咸,39,2,20
砭,39,3,1
霑,39,3,5
覘,39,3,6
㶣,39,3,7
黏,39,3,8
廉,39,3,9
𪙊,39,3,12
詹,39,3,13
䄡,39,3,14
苫,39,3,16
棎,39,3,17
淹,39,3,18
𡝫,39,3,19
炎,39,3,21
廉,39,3,22
髯,39,3,23
𩬑,39,4,5
添,39,4,6
甜,39,4,7
鮎,39,4,8
謙,39,4,10
鉗,39,4,11
尖,39,4,13
馦,39,4,19
嫌,39,4,20
鬑,39,4,22
黕,39,5,5
襑,39,5,6
禫,39,5,7
腩,39,5,8
感,39,5,9
坎,39,5,10
頷,39,5,12
寁,39,5,13
慘,39,5,14
歜,39,5,15
糂,39,5,16
晻,39,5,18
䫲,39,5,19
頷,39,5,20
𡒄,39,5,22
𠐩,39,6,6
湛,39,6,7
𦊔,39,6,8
鹼,39,6,9
㦿,39,6,10
䫡,39,6,12
斬,39,6,13
䑎,39,6,14
瀺,39,6,15
摻,39,6,16
黯,39,6,18
喊,39,6,19
豏,39,6,20
臉,39,6,22
貶,39,7,1
諂,39,7,6
檢,39,7,9
𩑳,39,7,10
儉,39,7,11
顩,39,7,12
颭,39,7,13
陝,39,7,16
剡,39,7,17
奄,39,7,18
險,39,7,19
鼸,39,7,20
斂,39,7,22
冉,39,7,23
𡕢,39,8,4
點,39,8,5
忝,39,8,6
簟,39,8,7
淰,39,8,8
孂,39,8,9
歉,39,8,10
憯,39,8,14
稴,39,8,22
苒,39,8,23
馾,39,9,5
僋,39,9,6
醰,39,9,7
妠,39,9,8
紺,39,9,9
勘,39,9,10
儑,39,9,12
篸,39,9,13
謲,39,9,14
㨻,39,9,15
俕,39,9,16
暗,39,9,18
䫲,39,9,19
憾,39,9,20
顲,39,9,22
𪉜,39,10,5
𧸖,39,10,7
諵,39,10,8
𪉦,39,10,9
歉,39,10,10
顑,39,10,12
蘸,39,10,13
闞,39,10,19
陷,39,10,20
窆,39,11,1
覘,39,11,6
驗,39,11,12
占,39,11,13
䠨,39,11,14
閃,39,11,16
贍,39,11,17
𢜰,39,11,18
殮,39,11,22
染,39,11,23
店,39,12,5
㮇,39,12,6
磹,39,12,7
念,39,12,8
趝,39,12,9
傔,39,12,10
僭,39,12,13
䁮,39,12,15
䃸,39,12,16
酓,39,12,18
稴,39,12,22
答,39,13,5
錔,39,13,6
沓,39,13,7
納,39,13,8
閤,39,13,9
溘,39,13,10
𣊡,39,13,12
帀,39,13,13
䟃,39,13,14
雜,39,13,15
趿,39,13,16
姶,39,13,18
欱,39,13,19
合,39,13,20
拉,39,13,22
劄,39,14,5
𥃐,39,14,6
㘝,39,14,8
夾,39,14,9
恰,39,14,10
䀴,39,14,12
貶,39,14,13
插,39,14,14
𨖷,39,14,15
霎,39,14,16
𨂁,39,14,18
䶎,39,14,19
洽,39,14,20
輒,39,15,5
鍤,39,15,6
䐑,39,15,7
聶,39,15,8
𦀖,39,15,9
㾜,39,15,10
笈,39,15,11
讋,39,15,13
謵,39,15,14
攝,39,15,16
涉,39,15,17
𢽱,39,15,18
偞,39,15,19
瞱,39,15,21
獵,39,15,22
讘,39,15,23
聑,39,16,5
怗,39,16,6
牒,39,16,7
捻,39,16,8
頰,39,16,9
愜,39,16,10
浹,39,16,13
妾,39,16,14
䕹,39,16,15
燮,39,16,16
㛍,39,16,19
協,39,16,20
姏,40,1,4
擔,40,1,5
舑,40,1,6
談,40,1,7
甘,40,1,9
坩,40,1,10
慙,40,1,15
三,40,1,16
黯,40,1,18
蚶,40,1,19
酣,40,1,20
藍,40,1,22
𨂝,40,2,3
監,40,2,9
嵌,40,2,10
巖,40,2,12
攙,40,2,14
巉,40,2,15
衫,40,2,16
銜,40,2,20
㪁,40,3,10
黔,40,3,11
嚴,40,3,12
𥰨,40,3,17
醃,40,3,18
𩏩,40,3,19
䇝,40,4,13
籤,40,4,14
潛,40,4,15
銛,40,4,16
燖,40,4,17
懕,40,4,18
鹽,40,4,21
㛧,40,5,4
膽,40,5,5
菼,40,5,6
噉,40,5,7
敢,40,5,9
𠪚,40,5,10
䭕,40,5,13
黲,40,5,14
槧,40,5,15
埯,40,5,18
喊,40,5,19
覽,40,5,22
