小韻號,鈴木ID,鈴木小韻號,頁號,行號,字號,韻目原貌,首字,反切,地位,切韻拼音,小韻內字序,字頭,釋義
1,3,10101,2,11,1,東,東,德紅反,端一東平,toung,1,東,徳紅反。木方。二。
1,4,10101,2,11,2,東,東,德紅反,端一東平,toung,2,凍,凌水。從冫，音冰。
2,42,10102,2,11,3,東,同,徒紅反,定一東平,doung,1,同,徒紅反。二十二。
2,43,10102,2,11,4,東,同,徒紅反,定一東平,doung,2,童,古作僕，今為童子，非。
2,44,10102,2,11,5,東,同,徒紅反,定一東平,doung,3,僮,古作童子，今為僕，失。
2,45,10102,2,11,6,東,同,徒紅反,定一東平,doung,4,銅,赤金。
2,46,10102,2,11,7,東,同,徒紅反,定一東平,doung,5,桐,榮木。
2,47,10102,2,11,8,東,同,徒紅反,定一東平,doung,6,峒,崆〻〈峒〉。
2,48,10102,2,11,9,東,同,徒紅反,定一東平,doung,7,𧱁,獸名，似豕，出秦山。或從豸作𧳆。
2,49,10102,2,11,10,東,同,徒紅反,定一東平,doung,8,硐,磨。
2,50,10102,2,11,11,東,同,徒紅反,定一東平,doung,9,筒,竹名。
2,51,10102,2,11,12,東,同,徒紅反,定一東平,doung,10,𦨴,舩。
2,52,10102,2,12,1,東,同,徒紅反,定一東平,doung,11,瞳,目〻〈瞳〉。
2,53,10102,2,12,2,東,同,徒紅反,定一東平,doung,12,㼧,瓦。
2,54,10102,2,12,3,東,同,徒紅反,定一東平,doung,13,罿,車上䋄。又尺容反。從网。
2,55,10102,2,12,4,東,同,徒紅反,定一東平,doung,14,潼,水名。𨶚名。又他紅、昌容二反。
2,56,10102,2,12,5,東,同,徒紅反,定一東平,doung,15,筩,竹〻〈筩〉。
2,57,10102,2,12,6,東,同,徒紅反,定一東平,doung,16,犝,牛。
2,58,10102,2,12,7,東,同,徒紅反,定一東平,doung,17,橦,木名，花可為布。又卓江反。
2,59,10102,2,12,8,東,同,徒紅反,定一東平,doung,18,曈,〻〈曈〉曨，日欲明。又他孔反。
2,60,10102,2,12,9,東,同,徒紅反,定一東平,doung,19,衕,通街。
2,61,10102,2,12,10,東,同,徒紅反,定一東平,doung,20,烔,〻〈烔〉旱氣皃。
2,62,10102,2,12,11,東,同,徒紅反,定一東平,doung,21,𩍅,被具飾。
3,146,10103,2,13,1,東,中,陟隆反,知三東平,trung,1,中,陟隆反。景正。又陟仲反。四。
3,147,10103,2,13,2,東,中,陟隆反,知三東平,trung,2,衷,裏。
3,148,10103,2,13,3,東,中,陟隆反,知三東平,trung,3,忠,讜言。
3,149,10103,2,13,4,東,中,陟隆反,知三東平,trung,4,𦬕,草。
4,163,10104,2,13,5,東,蟲,直隆反,澄三東平,drung,1,蟲,直隆反。蜫類。五。
4,164,10104,2,13,6,東,蟲,直隆反,澄三東平,drung,2,沖,和。
4,165,10104,2,13,7,東,蟲,直隆反,澄三東平,drung,3,种,稚。
4,166,10104,2,13,8,東,蟲,直隆反,澄三東平,drung,4,盅,器虚。又𠡠中反。
4,167,10104,2,13,9,東,蟲,直隆反,澄三東平,drung,5,爞,旱氣。又徒冬反。
5,192,10105,2,13,10,東,終,職隆反,章三東平,tjung,1,終,職隆反。畢。十一。
5,193,10105,2,13,11,東,終,職隆反,章三東平,tjung,2,衆,多。又之仲反。
5,194,10105,2,13,12,東,終,職隆反,章三東平,tjung,3,泈,水名，在襄陽。
5,195,10105,2,14,1,東,終,職隆反,章三東平,tjung,4,潨,小水入大水。又在冬反。
5,196,10105,2,14,2,東,終,職隆反,章三東平,tjung,5,𣧩,〻〈𣧩〉殁。
5,197,10105,2,14,3,東,終,職隆反,章三東平,tjung,6,螽,秋蟲。亦作𧑄。
5,198,10105,2,14,4,東,終,職隆反,章三東平,tjung,7,𩅉,小雨。
5,199,10105,2,14,5,東,終,職隆反,章三東平,tjung,8,鼨,豹文鼠。
5,200,10105,2,14,6,東,終,職隆反,章三東平,tjung,9,蔠,〻〈蔠〉葵，蘩露。
5,201,10105,2,14,7,東,終,職隆反,章三東平,tjung,10,柊,木名。
5,202,10105,2,14,8,東,終,職隆反,章三東平,tjung,11,䶱,龜。又徒冬反。
6,243,10106,2,14,9,東,忡,勅中反,徹三東平,trhung,1,忡,𠡠中反。忡〻〈忡〉之憂。二。
6,244,10106,2,14,10,東,忡,勅中反,徹三東平,trhung,2,盅,器虚。
7,252,10107,2,14,11,東,崇,鋤隆反,崇三東平,dzrung,1,崇,鋤隆反。敬。亦作崈。二。
7,253,10107,2,14,12,東,崇,鋤隆反,崇三東平,dzrung,2,㓽,錘屬。
8,262,10108,2,15,1,東,嵩,息隆反,心三東平,sung,1,嵩,息隆反。中嶽。亦作崧。通俗作嵩。三。
8,263,10108,2,15,2,東,嵩,息隆反,心三東平,sung,2,娀,有娀，𢍆母。
8,264,10108,2,15,3,東,嵩,息隆反,心三東平,sung,3,菘,菜【〻】。
9,281,10109,2,15,4,東,戎,如隆反,日三東平,njung,1,戎,如隆反。西夷。四。
9,282,10109,2,15,5,東,戎,如隆反,日三東平,njung,2,茙,〻〈茙〉葵。
9,283,10109,2,15,6,東,戎,如隆反,日三東平,njung,3,㭜,木名。
9,284,10109,2,15,7,東,戎,如隆反,日三東平,njung,4,駥,八尺馬。
10,297,10110,2,15,8,東,弓,居隆反,見三東平,kung,1,弓,居隆反。射具。四。
10,298,10110,2,15,9,東,弓,居隆反,見三東平,kung,2,躬,身。亦作躳。
10,299,10110,2,15,10,東,弓,居隆反,見三東平,kung,3,宫,室。
10,300,10110,2,15,11,東,弓,居隆反,見三東平,kung,4,㴦,縣名，在酒泉。
11,313,10111,2,15,12,東,融,餘隆反,以三東平,jung,1,融,餘隆反。明。通俗作融。二。
11,314,10111,2,16,1,東,融,餘隆反,以三東平,jung,2,䑣,祭名。又𠡠林反。從舟，音職由反。
12,323,10112,2,16,2,東,雄,羽隆反,云三東平,ung,1,雄,羽隆反。壯。二。
12,324,10112,2,16,3,東,雄,羽隆反,云三東平,ung,2,熊,獸，似羆而小。
13,334,10113,2,16,4,東,瞢,莫中反,明三東平,mung,1,瞢,莫中反。目不明。三。
13,335,10113,2,16,5,東,瞢,莫中反,明三東平,mung,2,夢,草澤。又武仲反。
13,336,10113,2,16,6,東,瞢,莫中反,明三東平,mung,3,𨞯,邑名，在曹。
14,352,10114,2,16,7,東,穹,去隆反,溪三東平,khung,1,穹,去隆反。四。
14,353,10114,2,16,8,東,穹,去隆反,溪三東平,khung,2,芎,〻〈芎〉藭。亦作𦵡。
14,354,10114,2,16,9,東,穹,去隆反,溪三東平,khung,3,𢞏,憂。
14,355,10114,2,16,10,東,穹,去隆反,溪三東平,khung,4,𥳎,〻〈𥳎〉籠。又去龍反。
15,370,10115,2,17,1,東,窮,渠隆反,羣三東平,gung,1,窮,渠隆反。三。
15,371,10115,2,17,2,東,窮,渠隆反,羣三東平,gung,2,藭,芎〻〈藭〉。
15,372,10115,2,17,3,東,窮,渠隆反,羣三東平,gung,3,𥨪,邑，羿所封。
16,385,10116,2,17,4,東,馮,扶隆反,並三東平,bung,1,馮,扶隆反。人姓。從冫，音冰。五。
16,386,10116,2,17,5,東,馮,扶隆反,並三東平,bung,2,汎,浮。又孚劒反。亦作渢。
16,387,10116,2,17,6,東,馮,扶隆反,並三東平,bung,3,芃,草皃。
16,388,10116,2,17,7,東,馮,扶隆反,並三東平,bung,4,𨝭,姬姓之國。
16,389,10116,2,17,8,東,馮,扶隆反,並三東平,bung,5,梵,木得風。又防欠反。
17,431,10118,2,17,9,東,豊,敷隆反,滂三東平,phung,1,豊,敷隆反。多。正作豐。六。
17,432,10118,2,17,10,東,豊,敷隆反,滂三東平,phung,2,鄷,邑名。
17,433,10118,2,18,1,東,豊,敷隆反,滂三東平,phung,3,蘴,無菁。
17,434,10118,2,18,2,東,豊,敷隆反,滂三東平,phung,4,澧,水名，在咸陽。
17,435,10118,2,18,3,東,豊,敷隆反,滂三東平,phung,5,𡫋,大屋。
17,436,10118,2,18,4,東,豊,敷隆反,滂三東平,phung,6,䵄,煑夌。芳風反。
18,408,10117,2,18,5,東,風,方隆反,幫三東平,pung,1,風,方隆反。氣。二。
18,409,10117,2,18,6,東,風,方隆反,幫三東平,pung,2,楓,木。亦作檒。
19,457,10119,2,18,7,東,兖〈充〉,處隆反,昌三東平,tjhung,1,兖,處隆反。滿。五。
19,458,10119,2,18,8,東,兖〈充〉,處隆反,昌三東平,tjhung,2,珫,〻〈珫〉耳。
19,459,10119,2,18,9,東,兖〈充〉,處隆反,昌三東平,tjhung,3,茺,〻〈茺〉蔚，草。
19,460,10119,2,18,10,東,兖〈充〉,處隆反,昌三東平,tjhung,4,𪎽,黄色。
19,461,10119,2,18,11,東,兖〈充〉,處隆反,昌三東平,tjhung,5,㤝,心動。
20,476,10120,2,18,12,東,隆,力中反,來三東平,lung,1,隆,力中反。髙。三。
20,477,10120,2,19,1,東,隆,力中反,來三東平,lung,2,𤸇,病。亦作癃。
20,478,10120,2,19,2,東,隆,力中反,來三東平,lung,3,𪔴,鼓聲。
21,501,10121,2,19,3,東,空,苦紅反,溪一東平,khoung,1,空,苦紅反。虚。七。
21,502,10121,2,19,4,東,空,苦紅反,溪一東平,khoung,2,箜,〻〈箜〉篌。
21,503,10121,2,19,5,東,空,苦紅反,溪一東平,khoung,3,崆,〻〈崆〉峒，山名。
21,504,10121,2,19,6,東,空,苦紅反,溪一東平,khoung,4,硿,〻〈硿〉青，色。
21,505,10121,2,19,7,東,空,苦紅反,溪一東平,khoung,5,䅝,【〻】稈。
21,506,10121,2,19,8,東,空,苦紅反,溪一東平,khoung,6,涳,〻〈涳〉濛。
21,507,10121,2,19,9,東,空,苦紅反,溪一東平,khoung,7,埪,土〻〈埪〉。
22,539,10122,2,19,10,東,公,古紅反,見一東平,koung,1,公,古紅反。九。
22,540,10122,2,19,11,東,公,古紅反,見一東平,koung,2,㓛,勲力。
22,541,10122,2,19,12,東,公,古紅反,見一東平,koung,3,工,〻〈工〉巧。
22,542,10122,2,19,13,東,公,古紅反,見一東平,koung,4,疘,下病。
22,543,10122,2,19,14,東,公,古紅反,見一東平,koung,5,蚣,蜈〻〈蚣〉，虫名。
22,544,10122,2,19,15,東,公,古紅反,見一東平,koung,6,玒,玉名。
22,545,10122,2,20,1,東,公,古紅反,見一東平,koung,7,釭,車釭。又古雙反。
22,546,10122,2,20,2,東,公,古紅反,見一東平,koung,8,愩,憤【〻】。
22,547,10122,2,20,3,東,公,古紅反,見一東平,koung,9,攻,擊。又古冬反。又作⿰工攴。
23,590,10123,2,20,4,東,蒙,莫紅反,明一東平,moung,1,蒙,𦱤紅反。草密。又覆。十七。
23,591,10123,2,20,5,東,蒙,莫紅反,明一東平,moung,2,濛,小雨。
23,592,10123,2,20,6,東,蒙,莫紅反,明一東平,moung,3,䑃,大皃。
23,593,10123,2,20,7,東,蒙,莫紅反,明一東平,moung,4,矇,〻〈矇〉瞽。
23,594,10123,2,20,8,東,蒙,莫紅反,明一東平,moung,5,艨,〻〈艨〉艟，戰舩。又武用。
23,595,10123,2,20,9,東,蒙,莫紅反,明一東平,moung,6,饛,盛食滿皃。
23,596,10123,2,20,10,東,蒙,莫紅反,明一東平,moung,7,䰒,［］
23,597,10123,2,20,10.1,東,蒙,莫紅反,明一東平,moung,7.1,［𩦺］,驢子。
23,598,10123,2,20,11,東,蒙,莫紅反,明一東平,moung,8,檬,似槐，黄色。
23,599,10123,2,21,1,東,蒙,莫紅反,明一東平,moung,9,䤓,麴生衣皃。亦作䵆。
23,600,10123,2,21,2,東,蒙,莫紅反,明一東平,moung,10,冡,覆。或作冡。
23,601,10123,2,21,3,東,蒙,莫紅反,明一東平,moung,11,𨣘,酒濁。
23,602,10123,2,21,4,東,蒙,莫紅反,明一東平,moung,12,𢄐,巾【〻】。
23,603,10123,2,21,5,東,蒙,莫紅反,明一東平,moung,13,鸏,鳩。
23,604,10123,2,21,6,東,蒙,莫紅反,明一東平,moung,14,䀄,器。
23,605,10123,2,21,7,東,蒙,莫紅反,明一東平,moung,15,靀,零雨。
24,698,10124,2,21,8,東,籠,盧紅反,來一東平,loung,1,籠,盧紅反。篝。通俗作籠。十八。
24,699,10124,2,21,9,東,籠,盧紅反,來一東平,loung,2,豅,大谷。
24,700,10124,2,21,10,東,籠,盧紅反,來一東平,loung,3,櫳,房。
24,701,10124,2,21,10.1,東,籠,盧紅反,來一東平,loung,3.1,［朧］,［］
24,702,10124,2,21,11,東,籠,盧紅反,來一東平,loung,4,𡃡,大聲。
24,703,10124,2,21,12,東,籠,盧紅反,來一東平,loung,5,巃,〻〈巃〉嵸，山髙皃。又力董反。
24,704,10124,2,22,1,東,籠,盧紅反,來一東平,loung,6,瓏,玲〻〈瓏〉。
24,705,10124,2,22,2,東,籠,盧紅反,來一東平,loung,7,龓,馬頭。
24,706,10124,2,22,3,東,籠,盧紅反,來一東平,loung,8,瀧,〻〈瀧〉凍，沾漬。
24,707,10124,2,22,4,東,籠,盧紅反,來一東平,loung,9,聾,耳閇。
24,708,10124,2,22,5,東,籠,盧紅反,來一東平,loung,10,𨏠,軸頭。
24,709,10124,2,22,6,東,籠,盧紅反,來一東平,loung,11,礱,斲。
24,710,10124,2,22,7,東,籠,盧紅反,來一東平,loung,12,嚨,喉〻〈嚨〉。
24,711,10124,2,22,8,東,籠,盧紅反,來一東平,loung,13,䆍,黍。
24,712,10124,2,22,9,東,籠,盧紅反,來一東平,loung,14,蘢,草名。
24,713,10124,2,22,10,東,籠,盧紅反,來一東平,loung,15,𤮨,瓦礰。
24,714,10124,2,22,11,東,籠,盧紅反,來一東平,loung,16,襱,袴。又力董反、直隴反。亦作𧙥字。
24,715,10124,2,22,12,東,籠,盧紅反,來一東平,loung,17,蠪,〻〈蠪〉蛭。
25,795,10125,2,23,1,東,洪,胡籠反,匣一東平,ghoung,1,洪,胡籠反。大。十四。
25,796,10125,2,23,2,東,洪,胡籠反,匣一東平,ghoung,2,訌,諠潰。
25,797,10125,2,23,3,東,洪,胡籠反,匣一東平,ghoung,3,鉷,弩牙。
25,798,10125,2,23,4,東,洪,胡籠反,匣一東平,ghoung,4,紅,色。
25,799,10125,2,23,5,東,洪,胡籠反,匣一東平,ghoung,5,虹,螮蝀。又古巷反。
25,800,10125,2,23,6,東,洪,胡籠反,匣一東平,ghoung,6,鴻,陽鳥。
25,801,10125,2,23,7,東,洪,胡籠反,匣一東平,ghoung,7,葓,水草。
25,802,10125,2,23,8,東,洪,胡籠反,匣一東平,ghoung,8,谼,大壑。
25,803,10125,2,23,9,東,洪,胡籠反,匣一東平,ghoung,9,䉺,赤米。
25,804,10125,2,23,10,東,洪,胡籠反,匣一東平,ghoung,10,葒,草名。
25,805,10125,2,23,11,東,洪,胡籠反,匣一東平,ghoung,11,肛,身肥大皃。
25,806,10125,2,23,12,東,洪,胡籠反,匣一東平,ghoung,12,䧆,𤬪。
25,807,10125,2,23,13,東,洪,胡籠反,匣一東平,ghoung,13,𦏺,飛聲。
25,808,10125,2,23,14,東,洪,胡籠反,匣一東平,ghoung,14,洚,水不遵其道，一曰洚下。又江反。
26,845,10126,2,24,1,東,叢,徂紅反,從一東平,dzoung,1,叢,徂紅反。或作藂。草木聚生。一。
27,860,10127,2,24,2,東,翁,烏紅反,影一東平,qoung,1,翁,烏紅反。老父。五。
27,861,10127,2,24,3,東,翁,烏紅反,影一東平,qoung,2,螉,蠮〻〈螉〉。
27,862,10127,2,24,4,東,翁,烏紅反,影一東平,qoung,3,䱵,魚【〻】。
27,863,10127,2,24,5,東,翁,烏紅反,影一東平,qoung,4,蓊,〻〈蓊〉鬱。又烏孔反：多。
27,864,10127,2,24,6,東,翁,烏紅反,影一東平,qoung,5,𩔚,頸下毛。
28,893,10128,2,24,7,東,怱,倉紅反,清一東平,tshoung,1,忩,倉紅反。古作怱。速。十二。
28,894,10128,2,24,8,東,怱,倉紅反,清一東平,tshoung,2,䓗,辛菜。
28,895,10128,2,24,9,東,怱,倉紅反,清一東平,tshoung,3,棇,檐【〻】。
28,896,10128,2,24,10,東,怱,倉紅反,清一東平,tshoung,4,𨌪,檻車，載冈。
28,897,10128,2,24,11,東,怱,倉紅反,清一東平,tshoung,5,聡,睿。正作聦。
28,898,10128,2,25,1,東,怱,倉紅反,清一東平,tshoung,6,総,色青黄。又細絹。
28,899,10128,2,25,2,東,怱,倉紅反,清一東平,tshoung,7,𤥼,石，似玉。
28,900,10128,2,25,3,東,怱,倉紅反,清一東平,tshoung,8,𩣭,馬色。
28,901,10128,2,25,4,東,怱,倉紅反,清一東平,tshoung,9,𨨟,大鑿，中木。
28,902,10128,2,25,5,東,怱,倉紅反,清一東平,tshoung,10,㷓,煴。又子孔反。
28,903,10128,2,25,6,東,怱,倉紅反,清一東平,tshoung,11,𢉛,屋中㑹。又子孔反。
28,904,10128,2,25,7,東,怱,倉紅反,清一東平,tshoung,12,䗓,青蛉。
29,949,10129,2,25,8,東,通,他紅反,透一東平,thoung,1,通,他紅反。徹。四四。
29,950,10129,2,25,9,東,通,他紅反,透一東平,thoung,2,蓪,〻〈蓪〉草，藥名。
29,951,10129,2,25,10,東,通,他紅反,透一東平,thoung,3,侗,大。
29,952,10129,2,25,11,東,通,他紅反,透一東平,thoung,4,恫,痛。
30,995,10130,2,25,12,東,葼,子紅反,精一東平,tsoung,1,葼,子紅反。木細枝。十九。
30,996,10130,2,25,13,東,葼,子紅反,精一東平,tsoung,2,椶,栟櫚。
30,997,10130,2,26,1,東,葼,子紅反,精一東平,tsoung,3,緵,縷【〻】。
30,998,10130,2,26,2,東,葼,子紅反,精一東平,tsoung,4,𩭤,馬鬣。
30,999,10130,2,26,3,東,葼,子紅反,精一東平,tsoung,5,鬷,釜屬。
30,1000,10130,2,26,4,東,葼,子紅反,精一東平,tsoung,6,嵕,九嵕，山名。
30,1001,10130,2,26,5,東,葼,子紅反,精一東平,tsoung,7,猣,犬生三子。
30,1002,10130,2,26,6,東,葼,子紅反,精一東平,tsoung,8,𤡆,豕生三子。
30,1003,10130,2,26,7,東,葼,子紅反,精一東平,tsoung,9,鯼,石首魚。
30,1004,10130,2,26,8,東,葼,子紅反,精一東平,tsoung,10,椶,〻〈椶〉㓕。
30,1005,10130,2,26,9,東,葼,子紅反,精一東平,tsoung,11,㚇,飛而斂足。又則貢反，呉人音。
30,1006,10130,2,26,10,東,葼,子紅反,精一東平,tsoung,12,鬉,毛。
30,1007,10130,2,26,11,東,葼,子紅反,精一東平,tsoung,13,堫,種。又楚江、楚絳二反。
30,1008,10130,2,26,12,東,葼,子紅反,精一東平,tsoung,14,嵸,巃嵸。作孔反。
30,1009,10130,2,27,1,東,葼,子紅反,精一東平,tsoung,15,㣭,𢿙。
30,1010,10130,2,27,2,東,葼,子紅反,精一東平,tsoung,16,艐,舩著沙不行。
30,1011,10130,2,27,3,東,葼,子紅反,精一東平,tsoung,17,翪,竦翅上下。
30,1012,10130,2,27,4,東,葼,子紅反,精一東平,tsoung,18,䗥,螉〻〈䗥〉。
30,1013,10130,2,27,5,東,葼,子紅反,精一東平,tsoung,19,稯,十莒。
31,1077,10131,2,27,6,東,蓬,薄紅反,並一東平,boung,1,蓬,薄紅反。草反。。
31,1078,10131,2,27,7,東,蓬,薄紅反,並一東平,boung,2,竼,舩〻〈竼〉，□盖舩。
31,1079,10131,2,27,8,東,蓬,薄紅反,並一東平,boung,3,髼,髮亂。
31,1080,10131,2,27,9,東,蓬,薄紅反,並一東平,boung,4,韸,［］
31,1081,10131,2,27,9.1,東,蓬,薄紅反,並一東平,boung,4.1,［篷］,舩車帳。亦作芃。
31,1082,10131,2,27,10,東,蓬,薄紅反,並一東平,boung,5,𥭗,車〻〈𥭗〉，在上。□□□
32,1117,10132,2,27,11,東,烘,呼紅反,曉一東平,houng,1,烘,呼紅反。二。
32,1118,10132,2,28,1,東,烘,呼紅反,曉一東平,houng,2,魟,河魚，似鼈。
33,1130,10134,2,28,2,東,檧,蘇公反,心一東平,soung,1,𣚜,蘇公反。小籠。又先孔反。一。
34,1138,10201,2,28,3,冬,冬,都宗反,端一冬平,tong,1,冬,都宗反。時。二。
34,1139,10201,2,28,4,冬,冬,都宗反,端一冬平,tong,2,苳,草名。
35,1166,10202,2,28,5,冬,彤,徒冬反,定一冬平,dong,1,彤,徒冬反。亦從丹，音。十五。
35,1167,10202,2,28,6,冬,彤,徒冬反,定一冬平,dong,2,疼,痛。
35,1168,10202,2,28,7,冬,彤,徒冬反,定一冬平,dong,3,佟,姓。
35,1169,10202,2,28,8,冬,彤,徒冬反,定一冬平,dong,4,炵,火盛皃。又他冬反。
35,1170,10202,2,28,9,冬,彤,徒冬反,定一冬平,dong,5,䳋,鳥名，出《山海經》。
35,1171,10202,2,28,10,冬,彤,徒冬反,定一冬平,dong,6,鼕,鼓聲。
35,1172,10202,2,29,1,冬,彤,徒冬反,定一冬平,dong,7,𢥞,憂。
35,1173,10202,2,29,2,冬,彤,徒冬反,定一冬平,dong,8,㤏,惶。
35,1174,10202,2,29,3,冬,彤,徒冬反,定一冬平,dong,9,痋,動病。
35,1175,10202,2,29,4,冬,彤,徒冬反,定一冬平,dong,10,䂈,㓨矛。
35,1176,10202,2,29,5,冬,彤,徒冬反,定一冬平,dong,11,𣪯,擊宫聲。
35,1177,10202,2,29,6,冬,彤,徒冬反,定一冬平,dong,12,鉵,大鉏。
35,1178,10202,2,29,7,冬,彤,徒冬反,定一冬平,dong,13,爞,旱熱。又除中反。
35,1179,10202,2,29,8,冬,彤,徒冬反,定一冬平,dong,14,𧹝,。又作𧋒。
35,1180,10202,2,29,9,冬,彤,徒冬反,定一冬平,dong,15,䶱,龜。又之戎反。
36,1258,10203,2,29,10,冬,賨,在宗反,從一冬平,dzong,1,賨,在宗反。西戎。七。
36,1259,10203,2,29,11,冬,賨,在宗反,從一冬平,dzong,2,琮,玉名。
36,1260,10203,2,29,12,冬,賨,在宗反,從一冬平,dzong,3,悰,慮。一曰樂。
36,1261,10203,2,29,13,冬,賨,在宗反,從一冬平,dzong,4,潨,小水入大水。又職隆反。
36,1262,10203,2,30,1,冬,賨,在宗反,從一冬平,dzong,5,淙,水聲。
36,1263,10203,2,30,2,冬,賨,在宗反,從一冬平,dzong,6,慒,謀。又似冬反。
36,1264,10203,2,30,3,冬,賨,在宗反,從一冬平,dzong,7,鬃,髻髙皃。
37,1308,10204,2,30,4,冬,農,奴冬反,泥一冬平,nong,1,農,奴冬反。業田。正作䢉。亦作欁。四。
37,1309,10204,2,30,4.1,冬,農,奴冬反,泥一冬平,nong,1.1,［膿］,［］
37,1310,10204,2,30,5,冬,農,奴冬反,泥一冬平,nong,2,儂,我，乃公。漢髙祖猶有𬼘稱。
37,1311,10204,2,30,6,冬,農,奴冬反,泥一冬平,nong,3,𩅽,亦濃【〻】。多露。
38,2008,10321,2,30,7,冬,恭,駒冬反,見三鍾平,kuong,1,恭,駒冬反。恪。六。
38,2009,10321,2,30,8,冬,恭,駒冬反,見三鍾平,kuong,2,龔,姓。
38,2010,10321,2,30,9,冬,恭,駒冬反,見三鍾平,kuong,3,供,祗命。
38,2011,10321,2,31,1,冬,恭,駒冬反,見三鍾平,kuong,4,珙,璧。又居勇反。
38,2012,10321,2,31,2,冬,恭,駒冬反,見三鍾平,kuong,5,𤱨,㽤。
38,2013,10321,2,31,3,冬,恭,駒冬反,見三鍾平,kuong,6,廾,竦手。又渠龍反。
39,2045,10322,2,31,4,冬,蜙,先恭反,心三鍾平,suong,1,蜙,先恭反。蜙蝑，蟲。亦作蚣。四。
39,2046,10322,2,31,5,冬,蜙,先恭反,心三鍾平,suong,2,淞,水名，出吳郡。
39,2047,10322,2,31,6,冬,蜙,先恭反,心三鍾平,suong,3,凇,凍落。又詳容反。
39,2048,10322,2,31,7,冬,蜙,先恭反,心三鍾平,suong,4,倯,轉語。
40,2074,10323,2,31,8,冬,樅,七容反,清三鍾平,tshuong,1,樅,七容反。木名，松𦯧栢身曰【〻】樅。四。
40,2075,10323,2,31,9,冬,樅,七容反,清三鍾平,tshuong,2,鏦,短矛。亦作𨥨。
40,2076,10323,2,31,10,冬,樅,七容反,清三鍾平,tshuong,3,𢔩,〻〈𢔩〉容。緩步皃。
40,2077,10323,2,32,1,冬,樅,七容反,清三鍾平,tshuong,4,鬆,亂髮。
41,1341,10205,2,32,2,冬,攻,古冬反,見一冬平,kong,1,攻,古冬反。伐。二。
41,1342,10205,2,32,3,冬,攻,古冬反,見一冬平,kong,2,釭,燈。又古雙反。
42,1348,10206,2,32,4,冬,䃔,戶冬反,匣一冬平,ghong,1,䃔,户冬反。在，石聲。。
42,1349,10206,2,32,5,冬,䃔,戶冬反,匣一冬平,ghong,2,㗢,哥。又胡宋反。
43,1368,10207,2,32,6,冬,䃧,力宗反,來一冬平,long,1,䃧,。
43,1369,10207,2,32,7,冬,䃧,力宗反,來一冬平,long,2,䥢,鼓聲。
44,1376,10208,2,32,8,冬,宗,作琮反,精一冬平,tsong,1,宗,作琮反。尊。一。
45,1401,10301,2,33,1,鍾,鍾,職容反,章三鍾平,tjuong,1,鍾,職容反。酒器。十。
45,1402,10301,2,33,2,鍾,鍾,職容反,章三鍾平,tjuong,2,鐘,樂器。
45,1403,10301,2,33,3,鍾,鍾,職容反,章三鍾平,tjuong,3,蚣,虫動。
45,1404,10301,2,33,4,鍾,鍾,職容反,章三鍾平,tjuong,4,忪,心動。
45,1405,10301,2,33,5,鍾,鍾,職容反,章三鍾平,tjuong,5,䇗,長節竹。
45,1406,10301,2,33,6,鍾,鍾,職容反,章三鍾平,tjuong,6,妐,夫兄。
45,1407,10301,2,33,7,鍾,鍾,職容反,章三鍾平,tjuong,7,衳,。
45,1408,10301,2,33,8,鍾,鍾,職容反,章三鍾平,tjuong,8,彸,征。
45,1409,10301,2,33,9,鍾,鍾,職容反,章三鍾平,tjuong,9,,。
45,1410,10301,2,33,10,鍾,鍾,職容反,章三鍾平,tjuong,10,伀,志及眾。
46,1465,10302,2,33,11,鍾,龍,力鍾反,來三鍾平,luong,1,龍,力鍾反。靇。通俗作龍。四。
46,1466,10302,2,33,12,鍾,龍,力鍾反,來三鍾平,luong,2,瓏,圭為龍文。
46,1467,10302,2,33,13,鍾,龍,力鍾反,來三鍾平,luong,3,躘,〻〈躘〉蹱，小行皃。
46,1468,10302,2,34,1,鍾,龍,力鍾反,來三鍾平,luong,4,鸗,鳥名。
47,1491,10303,2,34,2,鍾,舂,書容反,書三鍾平,sjuong,1,舂,書容反。杵擣。
47,1492,10303,2,34,3,鍾,舂,書容反,書三鍾平,sjuong,2,摏,撞。
47,1493,10303,2,34,4,鍾,舂,書容反,書三鍾平,sjuong,3,蹖,蹋。
47,1494,10303,2,34,5,鍾,舂,書容反,書三鍾平,sjuong,4,𪄻,𪇆〻〈𪄻〉，鳥名。
47,1495,10303,2,34,6,鍾,舂,書容反,書三鍾平,sjuong,5,,。
47,1496,10303,2,34,7,鍾,舂,書容反,書三鍾平,sjuong,6,憃,愚。丑江反。
48,1514,10304,2,34,8,鍾,松,詳容反,邪三鍾平,zuong,1,松,詳容反。梓道。亦作榕。三。
48,1515,10304,2,34,9,鍾,松,詳容反,邪三鍾平,zuong,2,訟,爭獄。又徐用反。
48,1516,10304,2,34,10,鍾,松,詳容反,邪三鍾平,zuong,3,凇,凍落。又先容反。
49,1532,10305,2,34,11,鍾,𧘂,尺容反,昌三鍾平,tjhuong,1,𧘂,尺容反。觸。八。
49,1533,10305,2,35,1,鍾,𧘂,尺容反,昌三鍾平,tjhuong,2,罿,䋄。
49,1534,10305,2,35,2,鍾,𧘂,尺容反,昌三鍾平,tjhuong,3,憧,〻〈憧〉，往來皃。
49,1535,10305,2,35,3,鍾,𧘂,尺容反,昌三鍾平,tjhuong,4,䡴,陷陣車。
