小韻號,韻目原貌,最簡描述,反切覈校前,反切,字頭覈校前,字頭,釋義,釋義補充,圖片id
2,支,從開支平,,疾移,,疵,疾移反。病。…,,3
2,支,從開支平,,疾移,,飺,…,,3
