原書小韻號,小韻字號,字,poem_小韻內字序,poem_字,sbgy_id,sbgy_字,ytenx_小韻內字序,ytenx_流水序,ytenx_字
1,1,東,1,東,w107b0601,東,1,1,東
1,2,菄,2,菄,w107b1001,菄,2,2,菄
1,3,鶇,3,鶇,w107b1002,鶇,3,3,鶇
1,4,䍶,4,䍶,w107b1003,䍶,4,4,䍶
1,5,𠍀,5,𠍀,w108a0101,𠍀,5,5,𠍀
1,6,倲,6,倲,w108a0102,倲,6,6,倲
1,7,𩜍,7,𩜍,w108a0103,𩜍,7,7,𩜍
1,8,𢘐,8,𢘐,w108a0201,𢘐,8,8,𢘐
1,9,涷,9,涷,w108a0202,涷,9,9,涷
1,10,蝀,10,蝀,w108a0203,蝀,10,10,蝀
1,11,凍,11,凍,w108a0204,凍,11,11,凍
1,12,鯟,12,鯟,w108a0301,鯟,12,12,鯟
1,13,𢔅,13,𢔅,w108a0302,𢔅,13,13,𢔅
1,14,崠,14,崠,w108a0303,崠,14,14,崠
1,15,埬,15,埬,w108a0304,埬,15,15,埬
1,16,𧓕,16,𧓕,w108a0305,𧓕,16,16,𧓕
1,17,䰤,17,䰤,w108a0401,䰤,17,17,䰤
2,1,同,1,同,w108a0402,同,1,18,同
2,2,仝,2,仝,w108a0501,仝,2,19,仝
2,3,童,3,童,w108a0502,童,3,20,童
2,4,僮,4,僮,w108a0601,僮,4,21,僮
2,5,銅,5,銅,w108a0602,銅,5,22,銅
2,6,桐,6,桐,w108a0701,桐,6,23,桐
2,7,峒,7,峒,w108a0702,峒,7,24,峒
2,8,硐,8,硐,w108a0703,硐,8,25,硐
2,9,𦨴,9,𦨴,w108a0704,𦨴,9,26,𦨴
2,10,𧱁,10,𧱁,w108a0705,𧱁,10,27,𧱁
2,11,筒,11,筒,w108a0801,筒,11,28,筒
2,12,瞳,12,瞳,w108a0802,瞳,12,29,瞳
2,13,㼧,13,㼧,w108a0803,㼧,13,30,㼧
2,14,𤭁,14,𤭁,w108a0804,𤭁,14,31,𤭁
2,15,罿,15,罿,w108a0805,罿,15,32,罿
2,16,犝,16,犝,w108a0806,犝,16,33,犝
2,17,筩,17,筩,w108a0901,筩,17,34,筩
2,18,潼,18,潼,w108a0902,潼,18,35,潼
2,19,曈,19,曈,w108a0903,曈,19,36,曈
2,20,洞,20,洞,w108a0904,洞,20,37,洞
2,21,侗,21,侗,w108a1001,侗,21,38,侗
2,22,橦,22,橦,w108a1002,橦,22,39,橦
2,23,烔,23,烔,w108a1003,烔,23,40,烔
2,24,䴀,24,䴀,w108a1004,䴀,24,41,䴀
2,25,挏,25,挏,w108b0101,挏,25,42,挏
2,26,酮,26,酮,w108b0102,酮,26,43,酮
2,27,鮦,27,鮦,w108b0103,鮦,27,44,鮦
2,28,㼿,28,㼿,w108b0201,㼿,28,45,㼿
2,29,𦏆,29,𦏆,w108b0202,𦏆,29,46,𦏆
2,30,𦍻,30,𦍻,w108b0203,𦍻,30,47,𦍻
2,31,眮,31,眮,w108b0204,眮,31,48,眮
2,32,蕫,32,蕫,w108b0205,蕫,32,49,蕫
2,33,穜,33,穜,w108b0206,穜,33,50,穜
2,34,衕,34,衕,w108b0301,衕,34,51,衕
2,35,𩍅,35,𩍅,w108b0302,𩍅,35,52,𩍅
2,36,𢈉,36,𢈉,w108b0303,𢈉,36,53,𢈉
2,37,䆚,37,䆚,w108b0304,䆚,37,54,䆚
2,38,哃,38,哃,w108b0305,哃,38,55,哃
2,39,𢏕,39,𢏕,w108b0306,𢏕,39,56,𢏕
2,40,絧,40,絧,w108b0401,絧,40,57,絧
2,41,𨚯,41,𨚯,w108b0402,𨚯,41,58,𨚯
2,42,𨝯,42,𨝯,w108b0403,𨝯,42,59,𨝯
2,43,𪔝〈𪔜〉,43,𪔝〈𪔜〉,w108b0404,𪔝〈𪔜〉,43,60,𪔝
2,44,𩦶,44,𩦶,w108b0405,𩦶,44,61,𩦶
2,45,𪒿,45,𪒿,w108b0406,𪒿,45,62,𪒿
3,1,中,1,中,w108b0407,中,1,63,中
3,2,衷,2,衷,w108b0701,衷,2,64,衷
3,3,忠,3,忠,w108b0702,忠,3,65,忠
3,4,𦬕,4,𦬕,w108b0703,𦬕,4,66,𦬕
4,1,蟲,1,蟲,w108b0801,蟲,1,67,蟲
4,2,沖,2,沖,w108b0802,沖,2,68,沖
4,3,种,3,种,w108b0803,种,3,69,种
4,4,盅,4,盅,w108b0901,盅,4,70,盅
4,5,爞,5,爞,w108b0902,爞,5,71,爞
4,6,𦬕,6,𦬕,w108b0903,𦬕,6,72,𦬕
4,7,翀,7,翀,w108b0904,翀,7,73,翀
5,1,終,1,終,w108b0905,終,1,74,終
5,2,眾,2,眾,w109a0101,衆,2,75,衆
5,3,潀,3,潀,w109a0102,潨,3,76,潨
5,4,𣧩,4,𣧩,w109a0103,𣧩,4,77,𣧩
5,5,螽,5,螽,w109a0104,螽,5,78,螽
5,6,𧑄,6,𧑄,w109a0105,𧑄,6,79,𧑄
5,7,鼨,7,鼨,w109a0106,鼨,7,80,鼨
5,8,蔠,8,蔠,w109a0107,蔠,8,81,蔠
5,9,柊,9,柊,w109a0201,柊,9,82,柊
5,10,𩅧,10,𩅧,w109a0202,𩅧,10,83,𩅧
5,11,䶱,11,䶱,w109a0203,䶱,11,84,䶱
5,12,鴤,12,鴤,w109a0204,鴤,12,85,鴤
5,13,䈺,13,䈺,w109a0205,䈺,13,86,䈺
5,14,泈,14,泈,w109a0206,泈,14,87,泈
5,15,䝦,15,䝦,w109a0301,䝦,15,88,䝦
6,1,忡,1,忡,w109a0302,忡,1,89,忡
6,2,浺,2,浺,w109a0303,浺,2,90,浺
6,3,盅,3,盅,w109a0304,盅,3,91,盅
7,1,崇,1,崇,w109a0305,崇,1,92,崇
7,2,崈,2,崈,w109a0401,崈,2,93,崈
7,3,㓽,3,㓽,w109a0402,㓽,3,94,㓽
7,4,𩞉,4,𩞉,w109a0403,𩞉,4,95,𩞉
8,1,嵩,1,嵩,w109a0404,嵩,1,96,嵩
8,2,崧,2,崧,w109a0405,崧,2,97,崧
8,3,𪀚,3,𪀚,w109a0501,𪀚,3,98,𪀚
8,4,娀,4,娀,w109a0502,娀,4,99,娀
8,5,菘,5,菘,w109a0503,菘,5,100,菘
8,6,硹,6,硹,w109a0504,硹,6,101,硹
8,7,㣝,7,㣝,w109a0505,㣝,7,102,㣝
8,8,𧊕,8,𧊕,w109a0506,𧊕,8,103,𧊕
8,9,䯷,9,䯷,w109a0601,䯷,9,104,𨱿
9,1,戎,1,戎,w109a0602,戎,1,105,戎
9,2,𢦦,2,𢦦,w109a0603,𢦦,2,106,𢦦
9,3,茙,3,茙,w109a0604,茙,3,107,茙
9,4,㭜,4,㭜,w109a0701,㭜,4,108,㭜
9,5,駥,5,駥,w109a0702,駥,5,109,駥
9,6,𥬪,6,𥬪,w109a0703,𥬪,6,110,𥬪
9,7,𠈋,7,𠈋,w109a0704,𠈋,7,111,𠈋
9,8,狨,8,狨,w109a0705,狨,8,112,狨
9,9,絨,9,絨,w109a0801,絨,9,113,絨
10,1,弓,1,弓,w109a0802,弓,1,114,弓
10,2,躳,2,躳,w109a0901,躳,2,115,躳
10,3,躬,3,躬,w109a1001,躬,3,116,躬
10,4,㴦,4,㴦,w109a1002,㴦,4,117,㴦
10,5,宮,5,宮,w109a1003,宫,5,118,宮
10,6,匑,6,匑,w109b0101,匑,6,119,匑
11,1,融,1,融,w109b0102,融,1,120,融
11,2,融,,,w109b0201,融,,,
11,3,肜,2,肜,w109b0202,肜,2,121,肜
11,4,瀜,3,瀜,w109b0203,瀜,3,122,瀜
12,1,雄,1,雄,w109b0204,雄,1,123,雄
12,2,熊,2,熊,w109b0301,熊,2,124,熊
13,1,瞢,1,瞢,w109b0302,瞢,1,125,瞢
13,2,夢,2,夢,w109b0303,夢,2,126,夢
13,3,鄸,3,鄸,w109b0401,𨞯,3,127,𨞯
13,4,懜,4,懜,w109b0402,懜,4,128,懜
13,5,𦫰,5,𦫰,w109b0403,𦫰,5,129,𦫰
13,6,𧲎,6,𧲎,w109b0404,𧲎,6,130,𧲎
14,1,穹,1,穹,w109b0501,穹,1,131,穹
14,2,𢞏,2,𢞏,w109b0502,𢞏,2,132,𢞏
14,3,焪,3,焪,w109b0503,焪,3,133,焪
14,4,芎,4,芎,w109b0504,芎,4,134,芎
14,5,𦵡,5,𦵡,w109b0505,𦵡,5,135,𦵡
14,6,匑,6,匑,w109b0506,匑,6,136,匑
14,7,𥳎,7,𥳎,w109b0601,𥳎,7,137,𥳎
15,1,窮,1,窮,w109b0602,窮,1,138,窮
15,2,藭,2,藭,w109b0603,藭,2,139,藭
15,3,𥨪,3,𥨪,w109b0604,𥨪,3,140,𥨪
16,1,馮,1,馮,w109b0605,馮,1,141,馮
16,2,堸,2,堸,w109b0701,堸,2,142,堸
16,3,汎,3,汎,w109b0702,汎,3,143,汎
16,4,芃,4,芃,w109b0703,芃,4,144,芃
16,5,𨝭,5,𨝭,w109b0704,𨝭,5,145,𨝭
16,6,渢,6,渢,w109b0801,渢,6,146,渢
16,7,梵,7,梵,w109b0802,梵,7,147,梵
17,1,風,1,風,w109b0803,風,1,148,風
17,2,飌,2,飌,w109b0901,飌,2,149,飌
17,3,楓,3,楓,w109b0902,楓,3,150,楓
17,4,猦,4,猦,w109b1001,猦,4,151,猦
17,5,偑,5,偑,w110a0101,偑,5,152,偑
17,6,檒,6,檒,w110a0102,檒,6,153,檒
17,7,𧆉,7,𧆉,w110a0103,𧆉,7,154,𧆉
18,1,豐,1,豐,w110a0104,豐,1,155,豐
18,2,酆,2,酆,w110a0201,酆,2,156,酆
18,3,蘴,3,蘴,w110a0202,蘴,3,157,蘴
18,4,灃,4,灃,w110a0203,灃,4,158,灃
18,5,寷,5,寷,w110a0204,寷,5,159,寷
18,6,麷,6,麷,w110a0205,麷,6,160,麷
18,7,㒥,7,㒥,w110a0206,㒥,7,161,㒥
18,8,㠦,8,㠦,w110a0301,㠦,8,162,㠦
19,1,充,1,充,w110a0302,充,1,163,充
19,2,珫,2,珫,w110a0303,珫,2,164,珫
19,3,茺,3,茺,w110a0304,茺,3,165,茺
19,4,㤝,4,㤝,w110a0305,㤝,4,166,㤝
19,5,䘪,5,䘪,w110a0401,䘪,5,167,䘪
19,6,𪎽,6,𪎽,w110a0402,𪎽,6,168,𪎽
19,7,㳘,7,㳘,w110a0403,㳘,7,169,㳘
20,1,隆,1,隆,w110a0404,隆,1,170,隆
20,2,癃,2,癃,w110a0405,癃,2,171,癃
20,3,𪔳,3,𪔳,w110a0406,𪔳,3,172,𪔳
20,4,窿,4,窿,w110a0501,窿,4,173,窿
20,5,霳,5,霳,w110a0502,霳,5,174,霳
20,6,㚅,6,㚅,w110a0503,㚅,6,175,㚅
21,1,空,1,空,w110a0504,空,1,176,空
21,2,箜,2,箜,w110a0601,箜,2,177,箜
21,3,崆,3,崆,w110a0602,崆,3,178,崆
21,4,椌,4,椌,w110a0603,椌,4,179,椌
21,5,硿,5,硿,w110a0701,硿,5,180,硿
21,6,䅝,6,䅝,w110a0702,䅝,6,181,䅝
21,7,悾,7,悾,w110a0703,悾,7,182,悾
21,8,埪,8,埪,w110a0704,埪,8,183,埪
21,9,倥,9,倥,w110a0705,倥,9,184,倥
21,10,涳,10,涳,w110a0706,涳,10,185,涳
21,11,鵼,11,鵼,w110a0801,鵼,11,186,鵼
21,12,𦱇,12,𦱇,w110a0802,𦱇,12,187,𦱇
21,13,𢃐,13,𢃐,w110a0803,𢃐,13,188,𢃐
21,14,𧌆,14,𧌆,w110a0804,𧌆,14,189,𧌆
22,1,公,1,公,w110a0805,公,1,190,公
22,2,功,2,功,w111a0401,功,2,191,功
22,3,工,3,工,w111a0501,工,3,192,工
22,4,疘,4,疘,w111a0502,疘,4,193,疘
22,5,蚣,5,蚣,w111a0503,蚣,5,194,蚣
22,6,玒,6,玒,w111a0601,玒,6,195,玒
22,7,釭,7,釭,w111a0602,釭,7,196,釭
22,8,魟,8,魟,w111a0603,魟,8,197,魟
22,9,攻,9,攻,w111a0604,攻,9,198,攻
22,10,㓚,10,㓚,w111a0605,㓚,10,199,㓚
22,11,愩,11,愩,w111a0701,愩,11,200,愩
22,12,碽,12,碽,w111a0702,碽,12,201,碽
22,13,篢,13,篢,w111a0703,篢,13,202,篢
23,1,蒙,1,蒙,w111a0704,蒙,1,203,蒙
23,2,冡,2,冡,w111a0705,冡,2,204,冡
23,3,濛,3,濛,w111a0706,濛,3,205,濛
23,4,𩦺,4,𩦺,w111a0801,𩦺,4,206,𩦺
23,5,艨,5,艨,w111a0802,艨,5,207,艨
23,6,䑃,6,䑃,w111a0803,䑃,6,208,䑃
23,7,矇,7,矇,w111a0804,矇,7,209,矇
23,8,饛,8,饛,w111a0805,饛,8,210,饛
23,9,䰒,9,䰒,w111a0806,䰒,9,211,䰒
23,10,檬,10,檬,w111a0807,檬,10,212,檬
23,11,𨢊,11,𨢊,w111a0901,𨢊,11,213,𨢊
23,12,䴿,12,䴿,w111a0902,䴿,12,214,䴿
23,13,𨣘,13,𨣘,w111a0903,𨣘,13,215,𨣘
23,14,鸏,14,鸏,w111a0904,鸏,14,216,鸏
23,15,幪,15,幪,w111a0905,幪,15,217,幪
23,16,罞,16,罞,w111a0906,罞,16,218,罞
23,17,𢄐,17,𢄐,w111a0907,𢄐,17,219,𢄐
23,18,髳,18,髳,w111a1001,髳,18,220,髳
23,19,蠓,19,蠓,w111a1002,蠓,19,221,蠓
23,20,𦿏,20,𦿏,w111a1003,𦿏,20,222,𦿏
23,21,雺,21,雺,w111a1004,雺,21,223,雺
23,22,霿,22,霿,w111b0101,霿,22,224,霿
23,23,霚,23,霚,w111b0102,霚,23,225,霚
23,24,朦,24,朦,w111b0103,朦,24,226,朦
23,25,䀄,25,䀄,w111b0104,䀄,25,227,䀄
23,26,懜,26,懜,w111b0105,懜,26,228,懜
23,27,靀,27,靀,w111b0106,靀,27,229,霥
24,1,籠,1,籠,w111b0107,籠,1,230,籠
24,2,豅,2,豅,w111b0201,豅,2,231,豅
24,3,㰍,3,㰍,w111b0202,㰍,3,232,㰍
24,4,朧,4,朧,w111b0203,朧,4,233,朧
24,5,𡃡,5,𡃡,w111b0204,𡃡,5,234,𡃡
24,6,龓,6,龓,w111b0205,龓,6,235,龓
24,7,䪊,7,䪊,w111b0206,䪊,7,236,䪊
24,8,瀧,8,瀧,w111b0207,瀧,8,237,瀧
24,9,聾,9,聾,w111b0301,聾,9,238,聾
24,10,𨏠,10,𨏠,w111b0302,𨏠,10,239,𨏠
24,11,礱,11,礱,w111b0303,礱,11,240,礱
24,12,䆍,12,䆍,w111b0401,䆍,12,241,䆍
24,13,𪚗,13,𪚗,w111b0402,𪚗,13,242,𪚗
24,14,嚨,14,嚨,w111b0403,嚨,14,243,嚨
24,15,蘢,15,蘢,w111b0404,蘢,15,244,蘢
24,16,櫳,16,櫳,w111b0405,櫳,16,245,櫳
24,17,𤮨,17,𤮨,w111b0406,𤮨,17,246,𤮨
24,18,巃,18,巃,w111b0407,巃,18,247,巃
24,19,襱,19,襱,w111b0501,襱,19,248,襱
24,20,𧙥,20,𧙥,w111b0502,𧙥,20,249,𧙥
24,21,瓏,21,瓏,w111b0503,瓏,21,250,瓏
24,22,曨,22,曨,w111b0504,曨,22,251,曨
24,23,鸗,23,鸗,w111b0505,鸗,23,252,鸗
24,24,𩟭,24,𩟭,w111b0506,𩟭,24,253,𩟭
24,25,蠪,25,蠪,w111b0507,蠪,25,254,蠪
24,26,㟅,26,㟅,w111b0601,㟅,26,255,㟅
24,27,屸,27,屸,w111b0602,屸,27,256,屸
25,1,洪,1,洪,w111b0603,洪,1,257,洪
25,2,鉷,2,鉷,w111b0701,鉷,2,258,鉷
25,3,訌,3,訌,w111b0702,訌,3,259,訌
25,4,紅,4,紅,w111b0703,紅,4,260,紅
25,5,虹,5,虹,w111b0704,虹,5,261,虹
25,6,仜,6,仜,w111b0705,仜,6,262,仜
25,7,鴻,7,鴻,w111b0706,鴻,7,263,鴻
25,8,葒,8,葒,w111b0801,葒,8,264,葒
25,9,葓,9,葓,w111b0802,葓,9,265,葓
25,10,谼,10,谼,w111b0803,谼,10,266,谼
25,11,䉺,11,䉺,w111b0901,䉺,11,267,䉺
25,12,烘,12,烘,w111b0902,烘,12,268,烘
25,13,洚,13,洚,w111b0903,洚,13,269,洚
25,14,渱,14,渱,w111b0904,渱,14,270,渱
25,15,𨹁,15,𨹁,w111b1001,𨹁,15,271,𨹁
25,16,魟,16,魟,w111b1002,魟,16,272,魟
25,17,䧆,17,䧆,w111b1003,䧆,17,273,䧆
25,18,䪦,18,䪦,w111b1004,䪦,18,274,䪦
25,19,𦏺,19,𦏺,w111b1005,𦏺,19,275,𦏺
25,20,䫹,20,䫹,w111b1006,䫹,20,276,䫹
25,21,䂫,20.5,䂫,w111b1007,䂫,21,277,䂫
25,22,𨾊,21,𨾊,w111b1008,𨾊,22,278,𨾊
26,1,叢,1,叢,w112a0101,叢,1,279,叢
26,2,藂,2,藂,w112a0102,藂,2,280,藂
26,3,䕺,3,䕺,w112a0103,䕺,3,281,䕺
26,4,潀,4,潀,w112a0104,潨,4,282,潨
26,5,𥵫,5,𥵫,w112a0105,𥵫,5,283,𥵫
27,1,翁,1,翁,w112a0106,翁,1,284,翁
27,2,螉,2,螉,w112a0201,螉,2,285,螉
27,3,䱵,3,䱵,w112a0202,䱵,3,286,䱵
27,4,蓊,4,蓊,w112a0203,蓊,4,287,蓊
27,5,䈵,5,䈵,w112a0301,䈵,5,288,䈵
27,6,䩺,6,䩺,w112a0302,䩺,6,289,䩺
27,7,㮬,7,㮬,w112a0303,㮬,7,290,㮬
27,8,𩔚,8,𩔚,w112a0304,𩔚,8,291,𩔚
28,1,悤,1,悤,w112a0305,怱,1,292,怱
28,2,忩,2,忩,w112a0306,忩,2,293,忩
28,3,蔥,3,蔥,w112a0401,葱,3,294,葱
28,4,樬,4,樬,w112a0402,楤,4,295,楤
28,5,䡯,5,䡯,w112a0403,𨍉,5,296,𨍉
28,6,聰,6,聰,w112a0404,聦,6,297,聦
28,7,𦇎,7,𦇎,w112a0405,繱,7,298,繱
28,8,璁,8,璁,w112a0501,𤧚,8,299,𤧚
28,9,驄,9,驄,w112a0502,騘,9,300,騘
28,10,蟌,10,蟌,w112a0503,䗓,10,301,䗓
28,11,囪,11,囪,w112a0504,囱,11,302,囪
28,12,𨣼,12,𨣼,w112a0505,𨣭,12,303,𨣭
28,13,鏓,13,鏓,w112a0601,鍯,13,304,鍯
28,14,熜,14,熜,w112a0602,㷓,14,305,㷓
28,15,𢊕,15,𢊕,w112a0603,𢉛,15,306,𢉛
29,1,通,1,通,w112a0604,通,1,307,通
29,2,蓪,2,蓪,w112a0701,蓪,2,308,蓪
29,3,侗,3,侗,w112a0801,侗,3,309,侗
29,4,恫,4,恫,w112a0802,恫,4,310,恫
29,5,痌,5,痌,w112a0803,痌,5,311,痌
29,6,曈,6,曈,w112a0804,曈,6,312,曈
29,7,俑,7,俑,w112a0805,俑,7,313,俑
29,8,𧳆,8,𧳆,w112a0806,𧳆,8,314,𧳆
29,9,𨀜,9,𨀜,w112a0807,𨀜,9,315,𨀜
30,1,葼,1,葼,w112a0901,葼,1,316,葼
30,2,鬷,2,鬷,w112a0902,鬷,2,317,鬷
30,3,嵕,3,嵕,w112a0903,嵕,3,318,嵕
30,4,猣,4,猣,w112a0904,猣,4,319,猣
30,5,豵,5,豵,w112a0905,豵,5,320,豵
30,6,鯼,6,鯼,w112a0906,鯼,6,321,鯼
30,7,椶,7,椶,w112a1001,椶,7,322,椶
30,8,騣,8,騣,w112a1002,騣,8,323,騣
30,9,𩮰,9,𩮰,w112a1003,𩮀,9,324,𩮀
30,10,䗥,10,䗥,w112a1004,䗥,10,325,䗥
30,11,嵸,11,嵸,w112a1005,嵸,11,326,嵸
30,12,艐,12,艐,w112a1006,艐,12,327,艐
30,13,蝬,13,蝬,w112b0101,蝬,13,328,蝬
30,14,堫,14,堫,w112b0102,堫,14,329,堫
30,15,𥓻,15,𥓻,w112b0103,𥓻,15,330,𥓻
30,16,翪,16,翪,w112b0104,翪,16,331,翪
30,17,緵,17,緵,w112b0105,緵,17,332,緵
30,18,㚇,18,㚇,w112b0106,㚇,18,333,㚇
30,19,㣭,19,㣭,w112b0201,㣭,19,334,㣭
30,20,稯,20,稯,w112b0202,稯,20,335,稯
30,21,鬉,21,鬉,w112b0203,鬉,21,336,鬉
31,1,蓬,1,蓬,w112b0204,蓬,1,337,蓬
31,2,𥭗,2,𥭗,w112b0205,𥭗,2,338,𥭗
31,3,篷,3,篷,w112b0301,篷,3,339,篷
31,4,髼,4,髼,w112b0302,髼,4,340,髼
31,5,蜂,5,蜂,w112b0303,蜂,5,341,蜂
31,6,芃,6,芃,w112b0304,芃,6,342,芃
31,7,𧚋,7,𧚋,w112b0305,𧚋,7,343,𧚋
31,8,韸,8,韸,w112b0401,韸,8,344,韸
31,9,䮾,9,䮾,w112b0402,䮾,9,345,䮾
31,10,𩖛,10,𩖛,w112b0403,𩖛,10,346,𩖛
32,1,烘,1,烘,w112b0404,烘,1,347,烘
32,2,叿,2,叿,w112b0405,叿,2,348,叿
32,3,魟,3,魟,w112b0501,魟,3,349,魟
32,4,谾,4,谾,w112b0502,谾,4,350,谾
32,5,𩐠,5,𩐠,w112b0503,𩐠,5,351,𩐠
32,6,𩗄,6,𩗄,w112b0504,𩗄,6,352,𩗄
33,1,㟅,1,㟅,w112b0505,㟅,1,353,㟅
34,1,𣞷,1,𣞷,w112b0601,檧,1,354,檧
34,2,𢤄,2,𢤄,w112b0602,憽,2,355,憽
34,3,㬝,3,㬝,w112b0603,㬝〈𤾥〉,3,356,㬝
35,1,冬,1,冬,w112b0701,冬,1,357,冬
35,2,𠔙,2,𠔙,w112b0702,𠔙,2,358,𠔙
35,3,苳,3,苳,w112b0703,苳,3,359,苳
35,4,鴤,4,鴤,w112b0704,䳉,4,360,䳉
35,5,笗,5,笗,w112b0801,笗,5,361,笗
35,6,𩂓,6,𩂓,w112b0802,𩂓,6,362,𩂓
35,7,𧲴,7,𧲴,w112b0803,𧲴,7,363,𧲴
36,1,彤,1,彤,w112b0804,彤,1,364,彤
36,2,疼,2,疼,w112b0901,疼,2,365,疼
36,3,佟,3,佟,w112b0902,佟,3,366,佟
36,4,炵,4,炵,w112b0903,炵,4,367,炵
36,5,䳋,5,䳋,w112b0904,䳋,5,368,䳋
36,6,鼕,6,鼕,w112b1001,鼕,6,369,鼕
36,7,𢥞,7,𢥞,w112b1002,𢥞,7,370,𢥞
36,8,𢾮,8,𢾮,w112b1003,𢾮,8,371,𢾮
36,9,爞,9,爞,w112b1004,爞,9,372,爞
36,10,㤏,10,㤏,w112b1005,㤏,10,373,㤏
36,11,痋,11,痋,w112b1006,痋,11,374,痋
36,12,䂈,12,䂈,w112b1007,䂈,12,375,䂈
36,13,鉵,13,鉵,w112b1008,鉵,13,376,鉵
36,14,𧹝,14,𧹝,w113a0101,𧹝,14,377,𧹝
36,15,𩦶,15,𩦶,w113a0102,𩦶,15,378,𩦶
36,16,浵,16,浵,w113a0103,浵,16,379,浵
36,17,䶱,17,䶱,w113a0104,䶱,17,380,䶱
36,18,𠩁,18,𠩁,w113a0105,𠩁,18,381,𠩁
36,19,鉖,19,鉖,w113a0106,鉖,19,382,鉖
36,20,𨜳,20,𨜳,w113a0107,𨜳,20,383,𨜳
36,21,㠽,21,㠽,w113a0201,㠽,21,384,㠽
36,22,赨,22,赨,w113a0202,赨,22,385,赨
37,1,賨,1,賨,w113a0203,賨,1,386,賨
37,2,琮,2,琮,w113a0204,琮,2,387,琮
37,3,悰,3,悰,w113a0301,悰,3,388,悰
37,4,潀,4,潀,w113a0302,潨,4,389,潨
37,5,淙,5,淙,w113a0303,淙,5,390,淙
37,6,慒,6,慒,w113a0304,慒,6,391,慒
37,7,鬃,7,鬃,w113a0305,鬃,7,392,鬃
37,8,㼻,8,㼻,w113a0401,㼻,8,393,㼻
37,9,孮,9,孮,w113a0402,孮,9,394,孮
37,10,誴,10,誴,w113a0403,誴,10,395,誴
37,11,𢃏,11,𢃏,w113a0404,𢃏,11,396,𢃏
38,1,農,1,農,w113a0405,農,1,397,農
38,2,䢉,2,䢉,w113a0501,䢉,2,398,䢉
38,3,辳,3,辳,w113a0502,辳,3,399,辳
38,4,𨑋,4,𨑋,w113a0503,𨑋,4,400,𨑋
38,5,𩟊,5,𩟊,w113a0601,𩟊,5,401,𩟊
38,6,噥,6,噥,w113a0602,噥,6,402,噥
38,7,𩅽,7,𩅽,w113a0603,𩅽,7,403,𩅽
38,8,憹,8,憹,w113a0604,憹,8,404,憹
38,9,㺜,9,㺜,w113a0605,㺜,9,405,㺜
38,10,儂,10,儂,w113a0606,儂,10,406,儂
38,11,𧗕,11,𧗕,w113a0607,𧗕,11,407,𧗕
38,12,膿,12,膿,w113a0701,膿,12,408,膿
39,1,攻,1,攻,w113a0702,攻,1,409,攻
39,2,釭,2,釭,w113a0703,釭,2,410,釭
40,1,䃔,1,䃔,w113a0704,䃔,1,411,䃔
40,2,洚,2,洚,w113a0705,洚,2,412,洚
40,3,㗢,3,㗢,w113a0801,㗢,3,413,㗢
40,4,𩘎,4,𩘎,w113a0802,𩘎,4,414,𩘎
41,1,䃧,1,䃧,w113a0803,䃧,1,415,䃧
41,2,䥢〈𪔢〉,2,䥢〈𪔢〉,w113a0804,䥢〈⿱鼓釜〉,2,416,䥢
41,3,𣫣,3,𣫣,w113a0805,𣫣,3,417,𣫣
42,1,宗,1,宗,w113a0806,宗,1,418,宗
42,2,倧,2,倧,w113a1001,倧,2,419,倧
43,1,鬆,1,鬆,w113a1002,鬆,1,420,鬆
43,2,䯳,2,䯳,w113a1003,䯳,2,421,䯳
44,1,炵,1,炵,w113a1004,炵,1,422,炵
45,1,鍾,1,鍾,w113b0101,鍾,1,423,鍾
45,2,鐘,2,鐘,w113b0201,鐘,2,424,鐘
45,3,蚣,3,蚣,w113b0202,蚣,3,425,蚣
45,4,忪,4,忪,w113b0203,忪,4,426,忪
45,5,䇗,5,䇗,w113b0204,䇗,5,427,䇗
45,6,蹱,6,蹱,w113b0205,蹱,6,428,蹱
45,7,彸,7,彸,w113b0301,彸,7,429,彸
45,8,衳,8,衳,w113b0302,衳,8,430,衳
45,9,伀,9,伀,w113b0303,伀,9,431,伀
45,10,橦,10,橦,w113b0304,橦,10,432,橦
45,11,籦,11,籦,w113b0305,籦,11,433,籦
45,12,妐,12,妐,w113b0401,妐,12,434,妐
45,13,㕬,13,㕬,w113b0402,㕬,13,435,㕬
45,14,𧢸,14,𧢸,w113b0403,𧢸,14,436,𧢸
45,15,炂,15,炂,w113b0404,炂,15,437,炂
45,16,𦬘,16,𦬘,w113b0405,𦬘,16,438,𦬘
45,17,𨳗,17,𨳗,w113b0406,𨳗,17,439,𨳗
45,18,鈆,18,鈆,w113b0407,鈆,18,440,鈆
46,1,龍,1,龍,w113b0408,龍,1,441,龍
46,2,𪚝,2,𪚝,w113b0501,𪚝,2,442,𪚝
46,3,躘,3,躘,w113b0502,躘,3,443,躘
46,4,鸗,4,鸗,w113b0503,鸗,4,444,鸗
46,5,驡,5,驡,w113b0504,驡,5,445,驡
46,6,𪚠,6,𪚠,w113b0505,𪚠,6,446,𪚠
46,7,籠,7,籠,w113b0601,籠,7,447,籠
46,8,𦪽,8,𦪽,w113b0602,𦪽,8,448,𦪽
46,9,蘢,9,蘢,w113b0603,蘢,9,449,蘢
47,1,舂,1,舂,w113b0604,舂,1,450,舂
47,2,𧐍,2,𧐍,w113b0701,𧐍,2,451,𧐍
47,3,摏,3,摏,w113b0702,摏,3,452,摏
