小韻號,首字,音韻地位,反切,直音,細分轄字
755,倭,影合一歌平,烏禾,,
756,鞾,曉合三C歌平,許𦚢,,
757,𦚢,影合三C歌平,於靴,,
758,𩨷,溪合三C歌平,去靴,,
759,伽,羣開三C歌平,求迦,,
760,佉,溪開三C歌平,丘伽,,
761,迦,見開三C歌平,居伽,,
762,脞,清合一歌平,醋伽,,
763,侳,精合一歌平,子𩨷,,
764,瘸,羣合三C歌平,巨靴,,
765,𦣛,來合三歌平,縷𩨷,,
766,麻,明二麻平,莫霞,,
767,車,昌開三麻平,尺遮,,
768,奢,書開三麻平,式車,,
769,邪,以開三麻平,以遮,,
770,遮,章開三麻平,正奢,,
771,嗟,精開三麻平,子邪,,
772,蛇,船開三麻平,食遮,,
773,華,匣合二麻平,戶花,,
774,瓜,見合二麻平,古華,,
775,華,曉合二麻平,呼瓜,,
776,誇,溪合二麻平,苦瓜,,
777,拏,孃開二麻平,女加,,
778,嘉,見開二麻平,古牙,,
779,遐,匣開二麻平,胡加,,
780,葩,滂二麻平,普巴,,
781,鴉,影開二麻平,於加,,
782,巴,幫二麻平,伯加,,
783,叉,初開二麻平,初牙,,
784,鯊,生開二麻平,所加,,
785,牙,疑開二麻平,五加,,
786,樝,莊開二麻平,側加,,
787,𡨀,澄開二麻平,宅加,,
788,衺,邪開三麻平,似嗟,,
789,闍,常開三麻平,視遮,,
790,窊,影合二麻平,烏瓜,,
791,髽,莊合二麻平,莊華,,
792,檛,知合二麻平,陟瓜,,
793,爬,並二麻平,蒲巴,,
794,楂,崇開二麻平,鉏加,,
795,侘,徹開二麻平,敕加,,
796,奓,知開二麻平,陟加,,
797,煆,曉開二麻平,許加,,
798,䶗,溪開二麻平,苦加,,
799,㚗,從開三麻平,才邪,,
800,若,日開三麻平,人賒,,
801,些,心開三麻平,寫邪,,
802,爹,端開四麻平,陟邪,,
803,𣢉,疑合二麻平,五瓜,,
804,𣘟,溪開二麻平,乞加,,
805,陽,以開三陽平,與章,,
806,詳,邪開三陽平,似羊,,
807,良,來開三陽平,呂張,,
808,香,曉開三C陽平,許良,,
809,商,書開三陽平,式羊,,
810,房,並三C陽平,符方,,
811,章,章開三陽平,諸良,,
812,昌,昌開三陽平,尺良,,
813,羌,溪開三C陽平,去羊,,
814,薑,見開三C陽平,居良,,
815,長,澄開三陽平,直良,,
816,張,知開三陽平,陟良,,
817,穰,日開三陽平,汝陽,,
818,方,幫三C陽平,府良,,
819,襄,心開三陽平,息良,,
820,將,精開三陽平,即良,,
821,創,初開三陽平,初良,,
822,亡,明三C陽平,武方,,
823,孃,孃開三陽平,女良,,
824,牀,崇開三陽平,士莊,,
825,莊,莊開三陽平,側羊,,
826,常,常開三陽平,市羊,,
827,霜,生開三陽平,色莊,,
828,牆,從開三陽平,在良,,
829,鏘,清開三陽平,七羊,,
830,匡,溪合三C陽平,去王,,
831,王,云合三C陽平,雨方,,
832,央,影開三C陽平,於良,,
833,強,羣開三C陽平,巨良,,
834,𦳝,徹開三陽平,褚羊,,
835,芳,滂三C陽平,敷方,,
836,狂,羣合三C陽平,巨王,,
837,唐,定開一唐平,徒郎,,
838,郎,來開一唐平,魯當,,
839,當,端開一唐平,都郎,,
840,倉,清開一唐平,七岡,,
841,岡,見開一唐平,古郎,,
842,桑,心開一唐平,息郎,,
843,康,溪開一唐平,苦岡,,
844,荒,曉合一唐平,呼光,,
845,黃,匣合一唐平,胡光,,
846,光,見合一唐平,古黃,,
847,湯,透開一唐平,吐郎,,
848,滂,滂一唐平,普郎,,
849,汪,影合一唐平,烏光,,
850,鴦,影開一唐平,烏郎,,
851,炕,曉開一唐平,呼郎,,
852,航,匣開一唐平,胡郎,,
853,茫,明一唐平,莫郎,,
854,臧,精開一唐平,則郎,,
855,囊,泥開一唐平,奴當,,
856,傍,並一唐平,步光,,
857,卬,疑開一唐平,五剛,,
858,藏,從開一唐平,昨郎,,
859,䯑,溪合一唐平,苦光,,
860,幫,幫一唐平,博旁,,
861,庚,見開二庚平,古行,,
862,阬,溪開二庚平,客庚,,
863,盲,明二庚平,武庚,,
864,橫,匣合二庚平,戶盲,,
865,閍,幫二庚平,甫盲,,
866,諻,曉合二庚平,虎橫,,
867,觵,見合二庚平,古橫,,
868,彭,並二庚平,薄庚,,
869,脝,曉開二庚平,許庚,,
870,瞠,徹開二庚平,丑庚,,
871,鎗,初開二庚平,楚庚,,
872,傖,崇開二庚平,助庚,,
873,霙,影開三B庚平,於驚,,
874,磅,滂二庚平,撫庚,,
875,平,並三B庚平,符兵,,
876,驚,見開三B庚平,舉卿,,
877,明,明三B庚平,武兵,,
878,棖,澄開二庚平,直庚,,
879,趟,知開二庚平,竹盲,,
880,榮,云合三B庚平,永兵,,
881,兵,幫三B庚平,甫明,,
882,兄,曉合三B庚平,許榮,,
883,卿,溪開三B庚平,去京,,
884,生,生開三庚平,所庚,,
885,擎,羣開三B庚平,渠京,,
886,迎,疑開三B庚平,語京,,
887,行,匣開二庚平,戶庚,,
888,鬤,孃開二庚平,乃庚,,
889,耕,見開二耕平,古莖,,
890,鏗,溪開二耕平,口莖,,
891,甍,明二耕平,莫耕,,
892,浜,幫二耕平,布耕,,
893,宏,匣合二耕平,戶萌,,
894,莖,匣開二耕平,戶耕,,
895,朾,知開二耕平,中莖,,
896,甖,影開二耕平,烏莖,,
897,崢,崇開二耕平,士耕,,
898,琤,初開二耕平,楚耕,,
899,儜,孃開二耕平,女耕,,
900,怦,滂二耕平,普耕,,
901,轟,曉合二耕平,呼宏,,
902,繃,幫二耕平,北萌,,
903,橙,澄開二耕平,宅耕,,
904,泓,影合二耕平,烏宏,,
905,輣,並二耕平,薄萌,,
906,娙,疑開二耕平,五莖,,
907,爭,莊開二耕平,側莖,,
908,清,清開三清平,七情,,
909,情,從開三清平,疾盈,,
910,精,精開三清平,子盈,,
911,盈,以開三清平,以成,,
912,營,以合三清平,余傾,,
913,嬰,影開三A清平,於盈,,
914,貞,知開三清平,陟盈,,
915,檉,徹開三清平,丑貞,,
916,成,常開三清平,是征,,
917,呈,澄開三清平,直貞,,
918,聲,書開三清平,書盈,,
919,征,章開三清平,諸盈,,
920,輕,溪開三A清平,去盈,,
921,名,明三A清平,武并,,
922,跉,來開三清平,呂貞,,
923,并,幫三A清平,府盈,,
924,傾,溪合三A清平,去營,,
925,𩛿,邪開三清平,徐盈,,
926,縈,影合三A清平,於營,,
927,瓊,羣合三A清平,渠營,,
928,騂,心合三清平,息營,,
929,頸,羣開三A清平,巨成,,
930,𧵣,曉合三A清平,火營,,
931,青,清開四青平,倉經,,
932,經,見開四青平,古靈,,
933,㓝,匣開四青平,戶經,,
934,庭,定開四青平,特丁,,
935,丁,端開四青平,當經,,
936,馨,曉開四青平,呼刑,,
937,星,心開四青平,桑經,,
938,竮,滂四青平,普丁,,
939,靈,來開四青平,郎丁,,
940,寧,泥開四青平,奴丁,,
941,汀,透開四青平,他丁,,
942,冥,明四青平,莫經,,
943,瓶,並四青平,薄經,,
944,熒,匣合四青平,戶扃,,
945,扃,見合四青平,古螢,,
946,蒸,章開三蒸平,煑仍,,
947,承,常開三蒸平,署陵,,
948,澂,澄開三蒸平,直陵,,
949,陵,來開三蒸平,力膺,,
950,膺,影開三C蒸平,於陵,,
951,凭,並三B蒸平,扶冰,,
952,冫,幫三B蒸平,筆陵,,
953,蠅,以開三蒸平,余陵,,
954,繩,船開三蒸平,食陵,,
955,升,書開三蒸平,識蒸,,
956,仍,日開三蒸平,如乘,,
957,兢,見開三C蒸平,居陵,,
958,徵,知開三蒸平,陟陵,,
959,繒,從開三蒸平,疾陵,,
960,凝,疑開三C蒸平,魚陵,,
961,興,曉開三C蒸平,虛陵,,
962,稱,昌開三蒸平,處陵,,
963,殑,羣開三C蒸平,其矜,,
964,㱡,生開三蒸平,山矜,,
965,硱,溪開三B蒸平,綺兢,,
966,僜,徹開三蒸平,丑升,,
967,磳,崇開三蒸平,仕兢,,
968,砯,滂三B蒸平,披冰,,
969,登,端開一登平,都滕,,
970,楞,來開一登平,魯登,,
971,僧,心開一登平,蘇增,,
972,崩,幫一登平,北滕,,
973,增,精開一登平,作滕,,
974,瞢,明一登平,武登,,
975,層,從開一登平,昨棱,,
976,朋,並一登平,步崩,,
977,弘,匣合一登平,胡肱,,
978,肱,見合一登平,古弘,,
979,薨,曉合一登平,呼肱,,
980,能,泥開一登平,奴登,,
981,騰,定開一登平,徒登,,
982,恆,匣開一登平,胡登,,
983,揯,見開一登平,古恆,,
984,鼟,透開一登平,他登,,
985,漰,滂一登平,普朋,,
986,尤,云三C尤平,羽求,,
987,憂,影三C尤平,於求,,
988,劉,來三尤平,力求,,
989,秋,清三尤平,七由,,
990,猷,以三尤平,以周,,
991,牛,疑三C尤平,語求,,
992,遒,精三尤平,即由,,
993,酋,從三尤平,自秋,,
994,脩,心三尤平,息流,,
995,抽,徹三尤平,丑鳩,,
996,𠁫,溪開三B幽平,去秋,,
997,犫,昌三尤平,赤周,,
998,周,章三尤平,職流,,
999,讎,常三尤平,市流,,
1000,柔,日三尤平,耳由,,
1001,收,書三尤平,式州,,
1002,丘,溪三C尤平,去鳩,,
1003,䬌,滂三C尤平,匹尤,,
1004,鳩,見三C尤平,居求,,
1005,不,幫三C尤平,甫鳩,,
1006,𢯱,生三尤平,所鳩,,
1007,搊,初三尤平,楚鳩,,
1008,鄒,莊三尤平,側鳩,,
1009,愁,崇三尤平,士尤,,
1010,休,曉三C尤平,許尤,,
1011,囚,邪三尤平,似由,,
1012,儔,澄三尤平,直由,,
1013,輈,知三尤平,張流,,
1014,𧚍,羣三C尤平,巨鳩,,
1015,浮,並三C尤平,縛謀,,
1016,謀,明三C尤平,莫浮,,
1017,侯,匣一侯平,戶鉤,,
1018,謳,影一侯平,烏侯,,
1019,羺,泥一侯平,奴鉤,,
1020,樓,來一侯平,落侯,,
1021,涑,心一侯平,速侯,,
1022,彄,溪一侯平,恪侯,,
1023,齁,曉一侯平,呼侯,,
1024,𣠏,精一侯平,子侯,,
1025,偷,透一侯平,託侯,,
1026,頭,定一侯平,度侯,,
1027,齵,疑一侯平,五婁,,
1028,鉤,見一侯平,古侯,,
1029,兜,端一侯平,當侯,,
1030,㔌,從一侯平,徂鉤,,
1031,裒,並一侯平,薄侯,,
1032,䜅,清合三脂平,千侯〈隹〉,,
1033,呣,明一侯平,亡侯,,
1034,幽,影開三A幽平,於虯,,
1035,虯,羣開三A幽平,渠幽,,
1036,彪,幫三B幽平,甫烋,,
1037,鏐,來開三幽平,力幽,,
1038,樛,見開三A幽平,居虯,,
1039,淲,並三B幽平,皮彪,,
1040,稵,精開三之平,子幽〈絲〉,,
1041,犙,生開二咸平,山幽〈函〉,,
1042,聱,疑開三A幽平,語虯,,
1043a,飍,曉開三A幽平,香幽,,飍
1043b,烋,曉開三B幽平,香｟許｠幽〖彪〗,,烋
1044,繆,明三B幽平,武彪,,
1045,侵,清開三侵平,七林,,
1046,尋,邪開三侵平,徐林,,
1047,林,來開三侵平,力尋,,
1048,琛,徹開三侵平,丑林,,
1049,斟,章開三侵平,職深,,
1050,沈,澄開三侵平,直深,,
1051,碪,知開三侵平,知林,,
1052,諶,常開三侵平,氏任,,
1053,任,日開三侵平,如林,,
1054,深,書開三侵平,式針,,
1055,淫,以開三侵平,餘針,,
1056,心,心開三侵平,息林,,
1057,愔,影開三A侵平,挹淫,,
1058,祲,精開三侵平,子心,,
1059,𩷒,從開三侵平,昨淫,,
1060,䛘,孃開三侵平,女心,,
1061,琴,羣開三B侵平,巨金,,
1062,欽,溪開三B侵平,去金,,
1063,吟,疑開三B侵平,魚金,,
1064,歆,曉開三B侵平,許金,,
1065,金,見開三B侵平,居吟,,
1066,音,影開三B侵平,於金,,
1067,森,生開三侵平,所今,,
1068,岑,崇開三侵平,鋤（鉏）針,,
1069,兂,莊開三侵平,側吟,,
1070,嵾,初開三侵平,楚簪,,
1071,𧡪,昌開三侵平,充針,,
1072,覃,定開一覃平,徒含,,
1073,參,清開一覃平,倉含,,
1074,南,泥開一覃平,那含,,
1075,諳,影開一覃平,烏含,,
1076,含,匣開一覃平,胡男,,
1077,婪,來開一覃平,盧含,,
1078,蠶,從開一覃平,昨含,,
1079,簪,精開一覃平,作含,,
1080,探,透開一覃平,他含,,
1081,耽,端開一覃平,丁含,,
1082,龕,溪開一覃平,口含,,
1083,㟏,曉開一覃平,火含,,
1084,毿,心開一覃平,蘇含,,
1085,弇,見開一覃平,古南,,
1086,䜙,疑開一覃平,五含,,
1087,談,定開一談平,徒甘,,
1088,甘,見開一談平,古三,,
1089,擔,端開一談平,都甘,,
1090,三,心開一談平,蘇甘,,
1091,藍,來開一談平,魯甘,,
1092,坩,溪開一談平,苦甘,,
1093,舑,透開一談平,他酣,,
1094,慙,從開一談平,昨甘,,
1095,酣,匣開一談平,胡甘,,
1096,姏,明一談平,武酣,,
1097,𩈻,精開一談平,昨〈作〉三,,
1098,蚶,曉開一談平,呼談,,
1099,鹽,以開三鹽平,余廉,,
1100,廉,來開三鹽平,力鹽,,
1101,砭,幫三B鹽平,府廉,,
1102,銛,心開三鹽平,息廉,,
1103,籤,清開三鹽平,七廉,,
1104,詹,章開三鹽平,職廉,,
1105,棎,常開三鹽平,視占,,
1106,苫,書開三鹽平,失廉,,
1107,䪜,昌開三鹽平,處占,,
1108,𩓾,日開三鹽平,汝鹽,,
1109,黏,孃開三鹽平,女廉,,
1110,炎,云開三B鹽平,于廉,,
1111,霑,知開三鹽平,張廉,,
1112,覘,徹開三鹽平,丑廉,,
1113,淹,影開三B鹽平,央炎,,
1114,𢜩,溪開三B鹽平,丘廉,,
1115,𪙊,疑開三B鹽平,語廉,,
1116,尖,精開三鹽平,子廉,,
1117,潛,從開三鹽平,昨鹽,,
1118,箝,羣開三B鹽平,巨淹,,
1119,懕,影開三A鹽平,一鹽,,
1120,燅,邪開三鹽平,徐鹽,,
1121,襳,生開三鹽平,史炎,,
1122,㶣,澄開三鹽平,直廉,,
1123,鍼,羣開三A鹽平,巨鹽,,
1124,添,透開四添平,他兼,,
1125,𩬑,端開四添平,丁兼,,
1126,甜,定開四添平,徒兼,,
1127,鬑,來開四添平,勒兼,,
1128,謙,溪開四添平,苦兼,,
1129,兼,見開四添平,古甜,,
1130,嫌,匣開四添平,戶兼,,
1131,鮎,泥開四添平,奴兼,,
1132,馦,曉開四添平,許兼,,
1133,咸,匣開二咸平,胡讒,,
1134,緘,見開二咸平,古咸,,
1135,攕,生開二咸平,所咸,,
1136,𤟟,影開二咸平,乙咸,,
1137,嵒,疑開二咸平,五咸,,
1138,㰹,曉開二咸平,許咸,,
1139,詀,知開二咸平,竹咸,,
1140,諵,孃開二咸平,女咸,,
1141,讒,崇開二咸平,士咸,,
1142,鵮,溪開二咸平,苦咸,,
1143,銜,匣開二銜平,戶監,,
1144,巉,崇開二銜平,鋤（鉏）銜,,
1145,巖,疑開二銜平,五銜,,
1146,攙,初開二銜平,楚銜,,
1147,衫,生開二銜平,所銜,,
1148,監,見開二銜平,古銜,,
1149,𨂝,並二銜平,白銜,,
1150,嵌,溪開二銜平,口銜,,
1151,嚴,疑開三C嚴平,語𩏩,,
1152,𩏩,曉開三C嚴平,虛嚴,,
1153,醃,影開三C嚴平,於嚴,,
1154,㪁,溪開三C嚴平,丘嚴,,
1155,凡,並三C凡平,符咸〖䒦〗,,
1156,䒦,滂三C凡平,匹凡,,
1157,董,端一東上,多動,,
1158,蠓,明一東上,莫孔,,
1159,孔,溪一東上,康董,,
1160,㪌,心一東上,先孔,,
1161,侗,透一東上,他孔,,
1162,總,精一東上,作孔,,
1163,澒,匣一東上,胡孔,,
1164,蓊,影一東上,烏孔,,
1165,𨑊,泥一東上,奴動,,
1166,琫,幫一東上,邊孔,,
1167,曨,來一東上,力董,,
1168,嗊,曉一東上,呼孔,,
1169,動,定一東上,徒摠,,
1170,菶,並一東上,蒲蠓,,
1171,腫,章三鍾上,之隴,,
1172,寵,徹三鍾上,丑隴,,
1173,隴,來三鍾上,力踵,,
1174,擁,影三C鍾上,於隴,,
1175,宂,日三鍾上,而隴,,
1176,重,澄三鍾上,直隴,,
1177,冢,知三鍾上,知隴,,
1178,奉,並三C鍾上,扶隴,,
1179,捧,滂三C鍾上,敷奉,,
1180,勇,以三鍾上,余隴,,
1181,恐,溪三C鍾上,丘隴,,
1182,尰,常三鍾上,時宂,,
1183,拱,見三C鍾上,居悚,,
1184,悚,心三鍾上,息拱,,
1185,洶,曉三C鍾上,許拱,,
1186,覂,幫三C鍾上,方勇,,
1187,湩,端一冬上,都𪁪,,
1188,𪁪,明一冬上,莫湩,,
1189,䅃,羣三C鍾上,渠隴,,
1190,𨿿,昌三鍾上,充隴,,
1191,幒,清三鍾上,職〘且〙勇,,
1192,䙕,精三鍾上,子冢,,
1193,講,見二江上,古項,,
1194,㭋,並二江上,步項,,
1195,慃,影二江上,烏項,,
1196,𠈵,明二江上,武項,,
1197,項,匣二江上,胡講,,
1198,𦂌,幫二江上,巴講,,
1199,傋,曉二江上,虛慃,,
1200,紙,章開三支上,諸氏,,
1201,是,常開三支上,承紙,,
1202,靡,明三B支上,文彼,,
1203,彼,幫三B支上,甫委,,
1204,被,並三B支上,皮彼,,
1205,毀,曉合三B支上,許委,,
1206,委,影合三B支上,於詭,,
1207,跪,溪合三B支上,去委,,
1208,詭,見合三B支上,過委,,
1209,髓,心合三支上,息委,,
1210,絫,來合三支上,力委,,
1211,技,羣開三B支上,渠綺,,
1212,倚,影開三B支上,於綺,,
1213,掎,見開三B支上,居綺,,
1214,綺,溪開三B支上,墟彼,,
1215,螘,疑開三B支上,魚倚,,
1216,蔿,云合三B支上,韋委,,
1217,觜,精合三支上,即委,,
1218,蘂,日合三支上,如累,,
1219,此,清開三支上,雌氏,,
1220,豸,澄開三支上,池爾,,
1221,徙,心開三支上,斯氏,,
1222,酏,以開三支上,移爾,,
1223,邐,來開三支上,力紙,,
1224,躧,生開三支上,所綺,,
1225,𢔌,幫三A支上,并弭,,
1226,爾,日開三支上,兒氏,,
1227,渳,明三A支上,綿婢,,
1228,婢,並三A支上,便俾,,
1229,侈,昌開三支上,尺氏,,
1230,弛,書開三支上,施是,,
1231,紫,精開三支上,將此,,
1232,捶,章合三支上,之累,,
1233,揣,初合三支上,初委,,
1234,𤢍,邪合三支上,隨婢,,
1235,舓,船開三支上,神帋（紙）,,
1236,㧗,莊開三支上,側氏,,
1237,㱟,滂三B支上,匹靡,,
1238,諀,滂三A支上,匹婢,,
1239,䓈,以合三支上,羊捶,,
1240,惢,從合三支上,才捶,,
1241,跬,溪合三A支上,丘弭,,
1242,狔,孃開三支上,女氏,,
1243,硊,疑合三B支上,魚毀,,
1244,跪,羣合三B支上,渠委,,
1245,褫,徹開三支上,敕豸,,
1246,㨖,知開三支上,陟侈,,
1247,𪖥,曉開三B支上,興倚,,
1248,企,溪開三A支上,丘弭,,
1249,菙,常合三支上,時髓,,
1250,枳,見開三A支上,居帋（紙）,,
1251,旨,章開三脂上,職雉,,
1252,視,常開三脂上,承矢,,
1253,美,明三B脂上,無鄙,,
1254,鄙,幫三B脂上,方美,,
1255,兕,邪開三脂上,徐姊,,
1256,几,見開三B脂上,居履,,
1257,姊,精開三脂上,將几,,
1258,匕,幫三A脂上,卑履,,
1259,軌,見合三B脂上,居洧,,
1260,洧,云合三B脂上,榮美,,
1261,矢,書開三脂上,式視,,
1262,雉,澄開三脂上,直几,,
1263,死,心開三脂上,息姊,,
1264,牝,並三A脂上,扶履,,
1265,履,來開三脂上,力几,,
1266,水,書合三脂上,式軌,,
1267,壘,來合三脂上,力軌,,
1268,揆,羣合三A脂上,求癸,,
1269,趡,清合三脂上,千水,,
1270,柅,孃開三脂上,女履,,
1271,癸,見合三A脂上,居誄,,
1272,否,並三B脂上,符鄙,,
1273,㠑,從合三脂上,徂累〖壘〗,,
1274,嚭,滂三B脂上,匹鄙,,
1275,蕊,日合三脂上,如壘,,
1276,唯,以合三脂上,以水,,
1277,㰻,影開三B脂上,於几,,
1278,濢,精合三脂上,遵誄,,
1279,黹,知開三脂上,豬几,,
1280,𡳭,徹開三脂上,楮几,,
1281,𧿲,莊開三之上,止姊,,
1282,䁤,曉合三A脂上,火癸,,
1283,䣀,羣合三B脂上,暨軌,,
1284,跽,羣開三B脂上,暨几,,
1285,巋,溪合三B脂上,丘軌,,
1286,止,章開三之上,諸市,,
1287,市,常開三之上,時止,,
1288,徵,知開三之上,陟里,,
1289,喜,曉開三C之上,虛里,,
1290,紀,見開三C之上,居理,,
1291,以,以開三之上,羊己,,
1292,似,邪開三之上,詳里,,
1293,史,生開三之上,疎士,,
1294,耳,日開三之上,而止,,
1295,里,來開三之上,良士,,
1296,枲,心開三之上,胥里,,
1297,始,書開三之上,詩止,,
1298,歭,澄開三之上,直里,,
1299,起,溪開三C之上,墟里,,
1300,士,崇開三之上,鉏里,,
1301,俟,俟開三之上,牀史,,
1302,子,精開三之上,即里,,
1303,矣,云開三C之上,于紀,,
1304,擬,疑開三C之上,魚紀,,
1305,齒,昌開三之上,昌里,,
1306,恥,徹開三之上,敕里,,
1307a,㓼,初開三臻入,初紀｟己｠〈乙〉,,㓼
1307b,欼,初合二夬去,初紀｟史｠〈夬〉,,欼㱀
1308,滓,莊開三之上,阻史,,
1309,譩,影開三C之上,於擬,,
1310,伱,孃開三之上,乃里,,
1311,尾,明三C微上,無匪,,
1312,扆,影開三C微上,於豈,,
1313,豈,溪開三C微上,袪狶（豨）,,
1314,蟣,見開三C微上,居狶（豨）,,
1315,斐,滂三C微上,敷尾,,
1316,匪,幫三C微上,府尾,,
1317,韙,云合三C微上,于鬼,,
1318,鬼,見合三C微上,居偉,,
1319,虺,曉合三C微上,許偉,,
1320,顗,疑開三C微上,魚豈,,
1321,豨,曉開三C微上,虛豈,,
1322,磈,影合三C微上,於鬼,,
1323,膹,並三C微上,浮鬼,,
1324,語,疑開三C魚上,魚巨,,
1325,呂,來開三魚上,力舉,,
1326,佇,澄開三魚上,直呂,,
1327,與,以開三魚上,余呂,,
1328,䰞,章開三魚上,章与（與）,,
1329,汝,日開三魚上,人渚,,
1330,暑,書開三魚上,舒呂,,
1331,杵,昌開三魚上,昌與,,
1332,貯,知開三魚上,丁呂,,
1333,諝,心開三魚上,私呂,,
1334,楮,徹開三魚上,丑呂,,
1335,女,孃開三魚上,尼呂,,
1336,許,曉開三C魚上,虛呂,,
1337,巨,羣開三C魚上,其呂,,
1338,所,生開三魚上,疎舉,,
1339,楚,初開三魚上,創舉,,
1340,阻,莊開三魚上,側呂,,
1341,齟,崇開三魚上,牀呂,,
1342,咀,從開三魚上,慈呂,,
1343,𢮁,影開三C魚上,於許,,
1344,舉,見開三C魚上,居許,,
1345,敘,邪開三魚上,徐呂,,
1346,去,溪開三C魚上,羌舉,,
1347,紓,船開三魚上,神與,,
1348,野,常開三魚上,承與,,
1349,𤿚,清開三魚上,七與,,
1350,苴,精開三魚上,子與,,
1351,麌,疑合三C虞上,虞矩,,
1352,羽,云合三C虞上,王矩,,
1353,聚,從合三虞上,慈庾,,
1354,甫,幫三C虞上,方矩,,
1355,武,明三C虞上,文甫,,
1356,父,並三C虞上,扶雨,,
1357,撫,滂三C虞上,芳武,,
1358,柱,澄合三虞上,直主,,
1359,詡,曉合三C虞上,況羽,,
1360,豎,常合三虞上,臣庾,,
1361,庾,以合三虞上,以主,,
1362,主,章合三虞上,之庾,,
1363,傴,影合三C虞上,於武,,
1364,齲,溪合三C虞上,驅雨,,
1365,拄,知合三虞上,知庾,,
1366,乳,日合三虞上,而主,,
1367,窶,羣合三C虞上,其矩,,
1368,數,生合三虞上,所矩,,
1369,矩,見合三C虞上,俱雨,,
1370,取,清合三虞上,七庾,,
1371,縷,來合三虞上,力主,,
1372,𦄼,心合三虞上,相庾,,
1373,䝒,崇合三虞上,鶵（雛）禹,,
1374,姥,明一模上,莫補,,
1375,土,透一模上,他魯,,
1376,杜,定一模上,徒古,,
1377,魯,來一模上,郎古,,
1378,蔖,清一模上,采古,,
1379,覩,端一模上,當古,,
1380,古,見一模上,公戶,,
1381,五,疑一模上,疑古,,
1382,簿,並一模上,裴古,,
1383,粗,從一模上,徂古,,
1384,祖,精一模上,則古,,
1385,虎,曉一模上,呼古,,
1386,隖,影一模上,安古,,
1387,苦,溪一模上,康杜,,
1388,怒,泥一模上,奴古,,
1389,戶,匣一模上,侯古,,
1390,普,滂一模上,滂古,,
1391,補,幫一模上,博古,,
1392,薺,從開四齊上,徂禮,,
1393,禮,來開四齊上,盧啓,,
1394,體,透開四齊上,他禮,,
1395,䫌,滂四齊上,匹米,,
1396,濟,精開四齊上,子禮,,
1397,邸,端開四齊上,都禮,,
1398,弟,定開四齊上,徒禮,,
1399,禰,泥開四齊上,奴禮,,
1400,洗,心開四齊上,先禮,,
1401,泚,清開四齊上,千禮,,
1402,啓,溪開四齊上,康禮,,
1403,徯,匣開四齊上,胡禮,,
1404,米,明四齊上,莫禮,,
1405,陛,並四齊上,傍禮,,
1406,𠯋,影開四齊上,烏弟,,
1407,堄,疑開四齊上,研啓,,
1408,㪏,幫四齊上,補米,,
1409,蟹,匣開二佳上,胡買,,
1410,買,明二佳上,莫蟹,,
1411,䒓,溪開二佳上,苦蟹,,
1412,廌,澄開二佳上,宅買,,
1413,嬭,孃開二佳上,奴蟹,,
1414,罷,並二佳上,薄蟹,,
1415,矮,影開二佳上,烏蟹,,
1416,擺,幫二佳上,北買,,
1417,解,見開二佳上,佳買,,
1418,灑,生開二佳上,所蟹,,
1419,𠁥,見合二佳上,乖買,,
1420,㧳,見開二山入,丈〈？〉夥〈黠〉,,
1421,夥,匣合二佳上,懷𠁥,,
1422,扮,見開二山入,花〈？〉夥〈黠〉,,
1423a,箉,定開二佳上,求〈？〉蟹,,箉
1423b,拐,見合二佳上,求〈乖〉蟹,,拐
1424,駭,匣開二皆上,侯楷,,
1425,楷,溪開二皆上,苦駭,,
1426,騃,疑開二皆上,五駭,,
1427,挨,影開二皆上,於駭,,
1428,賄,曉合一灰上,呼罪,,
1429,猥,影合一灰上,烏賄,,
1430,磥,來合一灰上,落猥,,
1431,錞,定合一灰上,徒猥,,
1432,辠,從合一灰上,徂賄,,
1433,浼,明一灰上,武罪,,
1434,骽,透合一灰上,吐猥,,
1435,瘣,匣合一灰上,胡罪,,
1436,䫥,溪合一灰上,口猥,,
1437,𦞙,端合一灰上,都罪,,
1438,餧,泥合一灰上,奴罪,,
1439,𩬳,端合一灰上,陟賄,,
1440,頠,疑合一灰上,五罪,,
1441,皠,清合一灰上,七罪,,
1442,琲,並一灰上,蒲罪,,
1443,嶊,精合一灰上,子罪,,
1444,倄,云合三C廢上,于罪,,
1445,海,曉開一咍上,呼改,,
1446,愷,溪開一咍上,苦亥,,
1447,宰,精開一咍上,作亥,,
1448,駘,定開一咍上,徒亥,,
1449,乃,泥開一咍上,奴亥,,
1450,改,見開一咍上,古亥,,
1451,亥,匣開一咍上,胡改,,
1452,啡,滂一灰上,匹愷,,
1453,采,清開一咍上,倉宰,,
1454,茝,昌開三廢上,昌紿,,
1455,等,端開一咍上,多改,,
1456,䆀,明一灰上,莫亥,,
1457,在,從開一咍上,昨宰,,
1458,俖,滂一灰上,普乃,,
1459,欸,影開一咍上,於改,,
1460,佁,以開三廢上,夷在,,
1461,㘆,透開一咍上,他亥,,
1462,疓,泥開一咍上,如亥,,
1463,𨦂,來開一咍上,來改,,
1464,䑂,以開三廢上,與改,,
1465,倍,並一灰上,薄亥,,
1466,軫,章開三真上,章忍,,
1467,辴,徹開三真上,丑忍,,
1468,腎,常開三真上,時忍,,
1469,忍,日開三真上,而軫,,
1470,矤,書開三真上,式忍,,
1471,嶙,來開三真上,良忍,,
1472,紖,澄開三真上,直引,,
