小韻號,首字,音韻地位,反切,直音,細分轄字
178,鎚,澄合三脂平,直追,,
179,推,昌合三脂平,叉〈尺〉隹,,
180,胝,知開三脂平,丁尼,,
181,紕,滂三A脂平,匹夷,,
182,嶉,精合三脂平,醉綏,,
183,巋,溪合三B脂平,丘追,,
184,狋,疑開三B脂平,牛肌,,
185,咦,曉開三A脂平,喜夷,,
186,之,章開三之平,止而,,
187,飴,以開三之平,與之,,
188,時,常開三之平,市之,,
189,疑,疑開三C之平,語其,,
190,思,心開三之平,息兹,,
191,輜,初開三之平,楚持,,
192,其,羣開三C之平,渠之,,
193,詩,書開三之平,書之,,
194,而,日開三之平,如之,,
195,欺,溪開三C之平,去其,,
196,姬,見開三C之平,居之,,
197,詞,邪開三之平,似兹,,
198,釐,來開三之平,里之,,
199,菑,莊開三之平,側持,,
200,僖,曉開三C之平,許其,,
201,醫,影開三C之平,於其,,
202,癡,徹開三之平,丑之,,
203,治,澄開三之平,直之,,
204,蚩,昌開三之平,赤之,,
205,慈,從開三之平,疾之,,
206,兹,精開三之平,子之,,
207,茬,崇開三之平,士之,,
208,漦,俟開三之平,俟甾,,
209,抾,溪開三C嚴入,丘之〈乏〉,,
210,䀵,書開三之平,式其,,
211,微,明三C微平,無非,,
212,揮,曉合三C微平,許歸,,
213,幃,云合三C微平,雨非,,
214,霏,滂三C微平,芳非,,
215,猆,幫三C微平,甫微,,
216,肥,並三C微平,符非,,
217,威,影合三C微平,於非,,
218,祈,羣開三C微平,渠希,,
219,機,見開三C微平,居依,,
220,希,曉開三C微平,香衣,,
221,依,影開三C微平,於希,,
222,沂,疑開三C微平,魚衣,,
223,巍,疑合三C微平,語韋,,
224,歸,見合三C微平,舉韋,,
225,蘬,溪合三C微平,丘韋,,
226,魚,疑開三C魚平,語居,,
227,初,初開三魚平,楚居,,
228,書,書開三魚平,傷魚,,
229,居,見開三C魚平,九魚,,
230,渠,羣開三C魚平,強魚,,
231,余,以開三魚平,以諸,,
232,胥,心開三魚平,相居,,
233,疽,清開三魚平,七余,,
234,鉏,崇開三魚平,士魚,,
235,攄,徹開三魚平,丑居,,
236,疏,生開三魚平,所葅（菹）,,
237,虛,曉開三C魚平,朽居,,
238,徐,邪開三魚平,似魚,,
239,於,影開三C魚平,央居,,
240,豬,知開三魚平,陟魚,,
241,臚,來開三魚平,力居,,
242,諸,章開三魚平,章魚,,
243,除,澄開三魚平,直魚,,
244,如,日開三魚平,人諸,,
245,且,精開三魚平,子魚,,
246,虛,溪開三C魚平,去魚,,
247,菹,莊開三魚平,側魚,,
248,蜍,常開三魚平,署魚,,
249,袽,孃開三魚平,女余,,
250,虞,疑合三C虞平,遇俱,,
251,芻,初合三虞平,測隅,,
252,無,明三C虞平,武夫,,
253,于,云合三C虞平,羽俱,,
254,訏,曉合三C虞平,況于,,
255,衢,羣合三C虞平,其俱,,
256,儒,日合三虞平,人朱,,
257,須,心合三虞平,相俞,,
258,株,知合三虞平,陟輸,,
259,貙,徹合三虞平,敕俱,,
260,殊,常合三虞平,市朱,,
261,逾,以合三虞平,羊朱,,
262,區,溪合三C虞平,豈俱,,
263,朱,章合三虞平,章俱,,
264,趨,清合三虞平,七逾,,
265,慺,來合三虞平,力朱,,
266,扶,並三C虞平,防無,,
267,䅳,崇合三虞平,仕于,,
268,㑳,莊合三虞平,莊俱,,
269,敷,滂三C虞平,芳無,,
270,諏,精合三虞平,子于,,
271,跗,幫三C虞平,甫無,,
272,紆,影合三C虞平,憶俱,,
273,輸,書合三虞平,式朱,,
274,樞,昌合三虞平,昌朱,,
275,廚,澄合三虞平,直誅,,
276,拘,見合三C虞平,舉朱,,
277,毹,生合三虞平,山芻,,
278,模,明一模平,莫胡,,
279,酺,並一模平,薄胡,,
280,胡,匣一模平,戶吳,,
281,孤,見一模平,古胡,,
282,徒,定一模平,同都,,
283,奴,泥一模平,乃都,,
284,呼,曉一模平,荒烏,,
285,吾,疑一模平,五乎,,
286,租,精一模平,則吾,,
287,盧,來一模平,落胡,,
288,蘇,心一模平,素姑,,
289,徂,從一模平,昨胡,,
290,烏,影一模平,哀都,,
291,逋,幫一模平,博孤,,
292,枯,溪一模平,苦胡,,
293,麤,清一模平,倉胡,,
294,㻌,透一模平,他胡,,
295,都,端一模平,當孤,,
296,𥠵,滂一模平,普胡,,
297,齊,從開四齊平,徂奚,,
298,黎,來開四齊平,郎奚,,
299,妻,清開四齊平,七稽,,
300,低,端開四齊平,都奚,,
301,嗁,定開四齊平,杜奚,,
302,豍,幫四齊平,邊兮,,
303,雞,見開四齊平,古奚,,
304,奚,匣開四齊平,胡雞,,
305,鷖,影開四齊平,烏奚,,
306,倪,疑開四齊平,五稽,,
307,醯,曉開四齊平,呼雞,,
308,西,心開四齊平,先稽,,
309,梯,透開四齊平,土雞,,
310,鼙,並四齊平,部迷,,
311,磇,滂四齊平,匹迷,,
312,齎,精開四齊平,祖稽,,
313,迷,明四齊平,莫兮,,
314,泥,泥開四齊平,奴低,,
315,谿,溪開四齊平,苦奚,,
316,圭,見合四齊平,古攜,,
317,睽,溪合四齊平,苦圭,,
318,攜,匣合四齊平,戶圭,,
319,臡,日開三祭平,人兮,,
320,栘,常開三祭平,成臡,,
321,烓,影合四齊平,烏攜,,
322,睳,曉合四齊平,呼攜,,
323,佳,見開二佳平,古膎,,
324,㥟,匣開二佳平,戶佳,,
325,牌,並二佳平,薄佳,,
326,媧,見合二佳平,古蛙,,
327,蛙,影合二佳平,烏媧,,
328,咼,溪合二佳平,苦緺,,
329,柴,崇開二佳平,士佳,,
330,釵,初開二佳平,楚佳,,
331,竵,曉合二佳平,火媧,,
332,䍲,孃開二佳平,㚷佳,,
333,崖,疑開二佳平,五佳,,
334,娃,影開二佳平,於佳,,
335,崽,生開二佳平,山佳,,
336,㗨,曉開二佳平,火佳,,
337,扠,徹開二佳平,丑佳,,
338,䁲,明二佳平,莫佳,,
339,鼃,匣合二佳平,戶媧,,
340,皆,見開二皆平,古諧,,
341,𢰇,影開二皆平,乙諧,,
342,諧,匣開二皆平,戶皆,,
343,排,並二皆平,步皆,,
344,乖,見合二皆平,古懷,,
345,懷,匣合二皆平,戶乖,,
346,匯,溪合二皆平,苦淮,,
347,豺,崇開二皆平,士皆,,
348,差,初開二皆平,楚皆,,
349,虺,曉合二皆平,呼懷,,
350,尵,澄合二皆平,杜懷,,
351,埋,明二皆平,莫皆,,
352,齋,莊開二皆平,側皆,,
353,崴,影合二皆平,乙皆〖乖〗,,
354,𪘨,知開二皆平,卓皆,,
355,唻,來開一咍平,賴諧,,
356,揩,溪開二皆平,口皆,,
357,搱,孃開二皆平,諧〈諾〉皆,,
358,崽,生開二皆平,山皆,,
359,𩂢,疑開二皆平,擬皆,,
360,搋,徹開二皆平,丑皆,,
361,俙,曉開二皆平,喜皆,,
362,䐯,來合二皆平,力懷,,
363,膗,崇合二皆平,仕懷,,
364,灰,曉合一灰平,呼恢,,
365,恢,溪合一灰平,苦回,,
366,隈,影合一灰平,烏恢,,
367,回,匣合一灰平,戶恢,,
368,枚,明一灰平,莫杯,,
369,傀,見合一灰平,公回,,
370,雷,來合一灰平,魯回,,
371,穨,定合一灰平,杜回,,
372,崔,清合一灰平,倉回,,
373,磓,端合一灰平,都回,,
374,𤗯,心合一灰平,素回,,
375,摧,從合一灰平,昨回,,
376,裴,並一灰平,薄回,,
377,桮,幫一灰平,布回,,
378,肧,滂一灰平,芳杯,,
379,鮠,疑合一灰平,五灰,,
380,𨌴,透合一灰平,他回,,
381,𢆃,泥合一灰平,乃回,,
382,嗺,精合一灰平,臧回,,
383,咍,曉開一咍平,呼來,,
384,開,溪開一咍平,苦哀,,
385,哀,影開一咍平,烏開,,
386,臺,定開一咍平,徒哀,,
387,該,見開一咍平,古哀,,
388,裁,從開一咍平,昨哉,,
389,來,來開一咍平,落哀,,
390,烖,精開一咍平,祖才,,
391,猜,清開一咍平,倉才,,
392,𤗏,並一灰平,扶來,,
393,胎,透開一咍平,土來,,
394,孩,匣開一咍平,戶來,,
395,鰓,心開一咍平,蘇來,,
396,皚,疑開一咍平,五來,,
397,能,泥開一咍平,奴來,,
398,𪒴,端開一咍平,丁來,,
399,㹗,昌三尤平,昌來〈求〉,,
400,𡜊,滂三C尤平,普才｟來｠〈求〉,,
401,真,章開三真平,側〖職〗鄰,,
402,𤣆,徹開三真平,丑人,,
403,因,影開三A真平,於真,,
404,新,心開三真平,息鄰,,
405,辰,常開三真平,植鄰,,
406,仁,日開三真平,如鄰,,
407,神,船開三真平,食鄰,,
408,親,清開三真平,七人,,
409,礥,匣開四先上,下珍〈殄〉,,
410,申,書開三真平,失人,,
411,賓,幫三A真平,必鄰,,
412,㷠,來開三真平,力珍,,
413,𥎊,羣開三B真平,巨巾,,
414,珍,知開三真平,陟鄰,,
415,陳,澄開三真平,直珍,,
416,津,精開三真平,將鄰,,
417,瞋,昌開三真平,昌真,,
418,秦,從開三真平,匠鄰,,
419,寅,以開三真平,翼真,,
420,紉,孃開三真平,女鄰,,
421,繽,滂三A真平,匹賓,,
422,頻,並三A真平,符真,,
423,銀,疑開三B真平,語巾,,
424,巾,見開三B真平,居銀,,
425,麏,見合三B真平,居筠,,
426,筠,云合三B真平,爲贇,,
427,囷,溪合三B真平,去倫,,
428,珉,明三B真平,武巾,,
429,貧,並三B真平,符巾,,
430,𪔗,影開三B真平,於巾,,
431,贇,影合三B真平,於倫,,
432,彬,幫三B真平,府巾,,
433,民,明三A真平,彌鄰,,
434,諄,章合三真平,章倫,,
435,椿,徹合三真平,丑倫,,
436,䣩,澄合三真平,直倫,,
437,荀,心合三真平,相倫,,
438,純,常合三真平,常倫,,
439,犉,日合三真平,如勻,,
440,脣,船合三真平,食倫,,
441,淪,來合三真平,力迍,,
442,屯,知合三真平,陟綸,,
443,逡,清合三真平,七倫,,
444,遵,精合三真平,將倫,,
445,春,昌合三真平,昌脣,,
446,鷷,從合三真平,昨旬,,
447,勻,以合三真平,羊倫,,
448,旬,邪合三真平,詳遵,,
449,均,見合三A真平,居勻,,
450,𧼒,羣開三A真平,渠人,,
451,砏,滂三B真平,普巾,,
452,臻,莊開三臻平,側詵,,
453,莘,生開三臻平,所臻,,
454,𦿒,崇開三臻平,士臻,,
455,文,明三C文平,無分,,
456,雲,云合三C文平,王分,,
457,熅,影合三C文平,於云,,
458,汾,並三C文平,符分,,
459,分,幫三C文平,府文,,
460,羣,羣合三C文平,渠云,,
461,薰,曉合三C文平,許云,,
462,君,見合三C文平,舉云,,
463,芬,滂三C文平,府〖撫〗文,,
464,欣,曉開三C殷平,許斤,,
465,殷,影開三C殷平,於斤,,
466,勤,羣開三C殷平,巨斤,,
467,斤,見開三C殷平,舉欣,,
468,䖐,疑開三C殷平,語斤,,
469,元,疑合三C元平,愚袁,,
470,袁,云合三C元平,雨元,,
471,煩,並三C元平,附袁,,
472,飜,滂三C元平,孚袁,,
473,暄,曉合三C元平,況袁,,
474,鴛,影合三C元平,於袁,,
475,言,疑開三C元平,語軒,,
476,攑,溪開三C元平,丘言,,
477,軒,曉開三C元平,虛言,,
478,𢳚,見開三C元平,居言,,
479,蔫,影開三C元平,謁言,,
480,蕃,幫三C元平,甫煩,,
481,𥴤,羣開三C元平,巨言,,
482,樠,明三C元平,武元,,
483,䰟,匣合一魂平,戶昆,,
484,昆,見合一魂平,古渾,,
485,𥁕,影合一魂平,烏渾,,
486,門,明一魂平,莫奔,,
487,孫,心合一魂平,思渾,,
488,尊,精合一魂平,祖昆,,
489,存,從合一魂平,徂尊,,
490,敦,端合一魂平,都昆,,
491,暾,透合一魂平,他昆,,
492,屯,定合一魂平,徒渾,,
493,村,清合一魂平,此尊,,
494,㑮,疑合一魂平,牛昆,,
495,盆,並一魂平,蒲奔,,
496,奔,幫一魂平,博昆,,
497,論,來合一魂平,盧昆,,
498,坤,溪合一魂平,苦昆,,
499,昏,曉合一魂平,呼昆,,
500,濆,滂一魂平,普魂,,
501,黁,泥合一魂平,奴昆,,
502,痕,匣開一痕平,戶恩,,
503,根,見開一痕平,古痕,,
504,恩,影開一痕平,烏痕,,
505,吞,透開一痕平,吐根,,
506,垠,疑開一痕平,五根,,
507,寒,匣開一寒平,胡安,,
508,豻,疑開一寒平,俄寒,,
509,單,端開一寒平,都寒,,
510,安,影開一寒平,烏寒,,
511,難,泥開一寒平,那干,,
512,餐,清開一寒平,七安,,
513,灘,透開一寒平,他干,,
514,𦙱,心開一寒平,蘇干,,
515,壇,定開一寒平,徒干,,
516,殘,從開一寒平,昨干,,
517,干,見開一寒平,古寒,,
518,蘭,來開一寒平,落干,,
519,看,溪開一寒平,苦寒,,
520,頇,曉開一寒平,許干,,
521,濡,泥合一寒平,乃官,,
522,桓,匣合一寒平,胡官,,
523,岏,疑合一寒平,五丸,,
524,端,端合一寒平,多官,,
525,剜,影合一寒平,一丸,,
526,湍,透合一寒平,他端,,
527,酸,心合一寒平,素官,,
528,團,定合一寒平,度官,,
529,欑,從合一寒平,在丸,,
530,官,見合一寒平,古丸,,
531,鑾,來合一寒平,落官,,
532,歡,曉合一寒平,呼官,,
533,寬,溪合一寒平,苦官,,
