小韻號	首字	反切	音韻地位	細分轄字
188	時	市之	常開三之平	
189	疑	語其	疑開三C之平	
190	思	息兹	心開三之平	
191	輜	楚持	初開三之平	
192	其	渠之	羣開三C之平	
193	詩	書之	書開三之平	
194	而	如之	日開三之平	
195	欺	去其	溪開三C之平	
196	姬	居之	見開三C之平	
197	詞	似兹	邪開三之平	
198	釐	里之	來開三之平	
199	菑	側持	莊開三之平	
200	僖	許其	曉開三C之平	
201	醫	於其	影開三C之平	
202	癡	丑之	徹開三之平	
203	治	直之	澄開三之平	
204	蚩	赤之	昌開三之平	
205	慈	疾之	從開三之平	
206	兹	子之	精開三之平	
207	茬	士之	崇開三之平	
208	漦	俟甾	俟開三之平	
209	抾	丘之〈乏〉	溪開三C嚴入	
210	䀵	式其	書開三之平	
211	微	無非	明三C微平	
212	揮	許歸	曉合三C微平	
213	幃	雨非	云合三C微平	
214	霏	芳非	滂三C微平	
215	猆	甫微	幫三C微平	
216	肥	符非	並三C微平	
217	威	於非	影合三C微平	
218	祈	渠希	羣開三C微平	
219	機	居依	見開三C微平	
220	希	香衣	曉開三C微平	
221	依	於希	影開三C微平	
222	沂	魚衣	疑開三C微平	
223	巍	語韋	疑合三C微平	
224	歸	舉韋	見合三C微平	
225	蘬	丘韋	溪合三C微平	
226	魚	語居	疑開三C魚平	
227	初	楚居	初開三魚平	
228	書	傷魚	書開三魚平	
229	居	九魚	見開三C魚平	
230	渠	強魚	羣開三C魚平	
231	余	以諸	以開三魚平	
232	胥	相居	心開三魚平	
233	疽	七余	清開三魚平	
234	鉏	士魚	崇開三魚平	
235	攄	丑居	徹開三魚平	
236	疏	所菹	生開三魚平	
237	虛	朽居	曉開三C魚平	
238	徐	似魚	邪開三魚平	
239	於	央居	影開三C魚平	
240	豬	陟魚	知開三魚平	
241	臚	力居	來開三魚平	
242	諸	章魚	章開三魚平	
243	除	直魚	澄開三魚平	
244	如	人諸	日開三魚平	
245	且	子魚	精開三魚平	
246	虛	去魚	溪開三C魚平	
247	菹	側魚	莊開三魚平	
248	蜍	署魚	常開三魚平	
249	袽	女余	孃開三魚平	
250	虞	遇俱	疑合三C虞平	
251	芻	測隅	初合三虞平	
252	無	武夫	明三C虞平	
253	于	羽俱	云合三C虞平	
254	訏	況于	曉合三C虞平	
255	衢	其俱	羣合三C虞平	
256	儒	人朱	日合三虞平	
257	須	相俞	心合三虞平	
258	株	陟輸	知合三虞平	
259	貙	敕俱	徹合三虞平	
260	殊	市朱	常合三虞平	
261	逾	羊朱	以合三虞平	
262	區	豈俱	溪合三C虞平	
263	朱	章俱	章合三虞平	
264	趨	七逾	清合三虞平	
265	慺	力朱	來合三虞平	
266	扶	防無	並三C虞平	
267	䅳	仕于	崇合三虞平	
268	㑳	莊俱	莊合三虞平	
269	敷	芳無	滂三C虞平	
270	諏	子于	精合三虞平	
271	跗	甫無	幫三C虞平	
272	紆	憶俱	影合三C虞平	
273	輸	式朱	書合三虞平	
274	樞	昌朱	昌合三虞平	
275	廚	直誅	澄合三虞平	
276	拘	舉朱	見合三C虞平	
277	毹	山芻	生合三虞平	
278	模	莫胡	明一模平	
279	酺	薄胡	並一模平	
280	胡	戶吳	匣一模平	
281	孤	古胡	見一模平	
282	徒	同都	定一模平	
283	奴	乃都	泥一模平	
284	呼	荒烏	曉一模平	
285	吾	五乎	疑一模平	
286	租	則吾	精一模平	
287	盧	落胡	來一模平	
288	蘇	素姑	心一模平	
289	徂	昨胡	從一模平	
290	烏	哀都	影一模平	
291	逋	博孤	幫一模平	
292	枯	苦胡	溪一模平	
293	麤	倉胡	清一模平	
294	㻌	他胡	透一模平	
295	都	當孤	端一模平	
296	𥠵	普胡	滂一模平	
297	齊	徂奚	從開四齊平	
298	黎	郎奚	來開四齊平	
