小韻號	首字	反切	音韻地位	細分轄字
794	楂	鉏加	崇開二麻平	
795	侘	敕加	徹開二麻平	
796	奓	陟加	知開二麻平	
797	煆	許加	曉開二麻平	
798	䶗	苦加	溪開二麻平	
799	㚗	才邪	從開三麻平	
800	若	人賒	日開三麻平	
801	些	寫邪	心開三麻平	
802	爹	陟邪	端開四麻平	
803	𣢉	五瓜	疑合二麻平	
804	𣘟	乞加	溪開二麻平	
805	陽	與章	以開三陽平	
806	詳	似羊	邪開三陽平	
807	良	呂張	來開三陽平	
808	香	許良	曉開三C陽平	
809	商	式羊	書開三陽平	
810	房	符方	並三C陽平	
811	章	諸良	章開三陽平	
812	昌	尺良	昌開三陽平	
813	羌	去羊	溪開三C陽平	
814	薑	居良	見開三C陽平	
815	長	直良	澄開三陽平	
816	張	陟良	知開三陽平	
817	穰	汝陽	日開三陽平	
818	方	府良	幫三C陽平	
819	襄	息良	心開三陽平	
820	將	即良	精開三陽平	
821	創	初良	初開三陽平	
822	亡	武方	明三C陽平	
823	孃	女良	孃開三陽平	
824	牀	士莊	崇開三陽平	
825	莊	側羊	莊開三陽平	
826	常	市羊	常開三陽平	
827	霜	色莊	生開三陽平	
828	牆	在良	從開三陽平	
829	鏘	七羊	清開三陽平	
830	匡	去王	溪合三C陽平	
831	王	雨方	云合三C陽平	
832	央	於良	影開三C陽平	
833	強	巨良	羣開三C陽平	
834	𦳝	褚羊	徹開三陽平	
835	芳	敷方	滂三C陽平	
836	狂	巨王	羣合三C陽平	
837	唐	徒郎	定開一唐平	
838	郎	魯當	來開一唐平	
839	當	都郎	端開一唐平	
840	倉	七岡	清開一唐平	
841	岡	古郎	見開一唐平	
842	桑	息郎	心開一唐平	
843	康	苦岡	溪開一唐平	
844	荒	呼光	曉合一唐平	
845	黃	胡光	匣合一唐平	
846	光	古黃	見合一唐平	
847	湯	吐郎	透開一唐平	
848	滂	普郎	滂一唐平	
849	汪	烏光	影合一唐平	
850	鴦	烏郎	影開一唐平	
851	炕	呼郎	曉開一唐平	
852	航	胡郎	匣開一唐平	
853	茫	莫郎	明一唐平	
854	臧	則郎	精開一唐平	
855	囊	奴當	泥開一唐平	
856	傍	步光	並一唐平	
857	卬	五剛	疑開一唐平	
858	藏	昨郎	從開一唐平	
859	䯑	苦光	溪合一唐平	
860	幫	博旁	幫一唐平	
861	庚	古行	見開二庚平	
862	阬	客庚	溪開二庚平	
863	盲	武庚	明二庚平	
864	橫	戶盲	匣合二庚平	
865	閍	甫盲	幫二庚平	
866	諻	虎橫	曉合二庚平	
867	觵	古橫	見合二庚平	
868	彭	薄庚	並二庚平	
869	脝	許庚	曉開二庚平	
870	瞠	丑庚	徹開二庚平	
871	鎗	楚庚	初開二庚平	
872	傖	助庚	崇開二庚平	
873	霙	於驚	影開三B庚平	
874	磅	撫庚	滂二庚平	
875	平	符兵	並三B庚平	
876	驚	舉卿	見開三B庚平	
877	明	武兵	明三B庚平	
878	棖	直庚	澄開二庚平	
879	趟	竹盲	知開二庚平	
880	榮	永兵	云合三B庚平	
881	兵	甫明	幫三B庚平	
882	兄	許榮	曉合三B庚平	
883	卿	去京	溪開三B庚平	
884	生	所庚	生開三庚平	
885	擎	渠京	羣開三B庚平	
886	迎	語京	疑開三B庚平	
887	行	戶庚	匣開二庚平	
888	鬤	乃庚	孃開二庚平	
889	耕	古莖	見開二耕平	
890	鏗	口莖	溪開二耕平	
891	甍	莫耕	明二耕平	
892	浜	布耕	幫二耕平	
893	宏	戶萌	匣合二耕平	
894	莖	戶耕	匣開二耕平	
895	朾	中莖	知開二耕平	
896	甖	烏莖	影開二耕平	
897	崢	士耕	崇開二耕平	
898	琤	楚耕	初開二耕平	
899	儜	女耕	孃開二耕平	
900	怦	普耕	滂二耕平	
901	轟	呼宏	曉合二耕平	
902	繃	北萌	幫二耕平	
903	橙	宅耕	澄開二耕平	
904	泓	烏宏	影合二耕平	
905	輣	薄萌	並二耕平	
906	娙	五莖	疑開二耕平	
907	爭	側莖	莊開二耕平	
908	清	七情	清開三清平	
909	情	疾盈	從開三清平	
910	精	子盈	精開三清平	
911	盈	以成	以開三清平	
912	營	余傾	以合三清平	
913	嬰	於盈	影開三A清平	
914	貞	陟盈	知開三清平	
915	檉	丑貞	徹開三清平	
916	成	是征	常開三清平	
917	呈	直貞	澄開三清平	
918	聲	書盈	書開三清平	
919	征	諸盈	章開三清平	
920	輕	去盈	溪開三A清平	
921	名	武并	明三A清平	
922	跉	呂貞	來開三清平	
923	并	府盈	幫三A清平	
924	傾	去營	溪合三A清平	
925	𩛿	徐盈	邪開三清平	
926	縈	於營	影合三A清平	
927	瓊	渠營	羣合三A清平	
928	騂	息營	心合三清平	
929	頸	巨成	羣開三A清平	
930	𧵣	火營	曉合三A清平	
931	青	倉經	清開四青平	
932	經	古靈	見開四青平	
933	㓝	戶經	匣開四青平	
934	庭	特丁	定開四青平	
935	丁	當經	端開四青平	
936	馨	呼刑	曉開四青平	
937	星	桑經	心開四青平	
938	竮	普丁	滂四青平	
939	靈	郎丁	來開四青平	
940	寧	奴丁	泥開四青平	
941	汀	他丁	透開四青平	
942	冥	莫經	明四青平	
943	瓶	薄經	並四青平	
944	熒	戶扃	匣合四青平	
945	扃	古螢	見合四青平	
946	蒸	煑仍	章開三蒸平	
947	承	署陵	常開三蒸平	
948	澂	直陵	澄開三蒸平	
949	陵	力膺	來開三蒸平	
950	膺	於陵	影開三C蒸平	
951	凭	扶冰	並三B蒸平	
952	冫	筆陵	幫三B蒸平	
953	蠅	余陵	以開三蒸平	
954	繩	食陵	船開三蒸平	
955	升	識蒸	書開三蒸平	
956	仍	如乘	日開三蒸平	
957	兢	居陵	見開三C蒸平	
958	徵	陟陵	知開三蒸平	
959	繒	疾陵	從開三蒸平	
960	凝	魚陵	疑開三C蒸平	
961	興	虛陵	曉開三C蒸平	
962	稱	處陵	昌開三蒸平	
963	殑	其矜	羣開三C蒸平	
964	㱡	山矜	生開三蒸平	
965	硱	綺兢	溪開三B蒸平	
966	僜	丑升	徹開三蒸平	
967	磳	仕兢	崇開三蒸平	
968	砯	披冰	滂三B蒸平	
969	登	都滕	端開一登平	
970	楞	魯登	來開一登平	
971	僧	蘇增	心開一登平	
972	崩	北滕	幫一登平	
973	增	作滕	精開一登平	
974	瞢	武登	明一登平	
975	層	昨棱	從開一登平	
976	朋	步崩	並一登平	
977	弘	胡肱	匣合一登平	
978	肱	古弘	見合一登平	
979	薨	呼肱	曉合一登平	
980	能	奴登	泥開一登平	
981	騰	徒登	定開一登平	
982	恆	胡登	匣開一登平	
983	揯	古恆	見開一登平	
984	鼟	他登	透開一登平	
985	漰	普朋	滂一登平	
986	尤	羽求	云三C尤平	
987	憂	於求	影三C尤平	
988	劉	力求	來三尤平	
989	秋	七由	清三尤平	
990	猷	以周	以三尤平	
991	牛	語求	疑三C尤平	
992	遒	即由	精三尤平	
993	酋	自秋	從三尤平	
994	脩	息流	心三尤平	
995	抽	丑鳩	徹三尤平	
996	𠁫	去秋	溪開三B幽平	
997	犫	赤周	昌三尤平	
998	周	職流	章三尤平	
999	讎	市流	常三尤平	
1000	柔	耳由	日三尤平	
1001	收	式州	書三尤平	
1002	丘	去鳩	溪三C尤平	
1003	䬌	匹尤	滂三C尤平	
1004	鳩	居求	見三C尤平	
1005	不	甫鳩	幫三C尤平	
1006	𢯱	所鳩	生三尤平	
1007	搊	楚鳩	初三尤平	
1008	鄒	側鳩	莊三尤平	
1009	愁	士尤	崇三尤平	
1010	休	許尤	曉三C尤平	
1011	囚	似由	邪三尤平	
1012	儔	直由	澄三尤平	
1013	輈	張流	知三尤平	
1014	𧚍	巨鳩	羣三C尤平	
1015	浮	縛謀	並三C尤平	
1016	謀	莫浮	明三C尤平	
1017	侯	戶鉤	匣一侯平	
1018	謳	烏侯	影一侯平	
1019	羺	奴鉤	泥一侯平	
1020	樓	落侯	來一侯平	
1021	涑	速侯	心一侯平	
1022	彄	恪侯	溪一侯平	
1023	齁	呼侯	曉一侯平	
1024	𣠏	子侯	精一侯平	
1025	偷	託侯	透一侯平	
1026	頭	度侯	定一侯平	
1027	齵	五婁	疑一侯平	
1028	鉤	古侯	見一侯平	
1029	兜	當侯	端一侯平	
1030	㔌	徂鉤	從一侯平	
1031	裒	薄侯	並一侯平	
1032	䜅	千侯〈隹〉	清合三脂平	
1033	呣	亡侯	明一侯平	
1034	幽	於虯	影開三A幽平	
1035	虯	渠幽	羣開三A幽平	
1036	彪	甫烋	幫三B幽平	
1037	鏐	力幽	來開三幽平	
1038	樛	居虯	見開三A幽平	
1039	淲	皮彪	並三B幽平	
1040	稵	子幽〈絲〉	精開三之平	
1041	犙	山幽〈函〉	心開一覃平	
1042	聱	語虯	疑開三A幽平	
1043a	飍	香幽	曉開三A幽平	飍
1043b	烋	香｟許｠幽（彪）	曉開三B幽平	烋
1044	繆	武彪	明三B幽平	
1045	侵	七林	清開三侵平	
1046	尋	徐林	邪開三侵平	
1047	林	力尋	來開三侵平	
1048	琛	丑林	徹開三侵平	
1049	斟	職深	章開三侵平	
1050	沈	直深	澄開三侵平	
1051	碪	知林	知開三侵平	
1052	諶	氏任	常開三侵平	
1053	任	如林	日開三侵平	
1054	深	式針	書開三侵平	
1055	淫	餘針	以開三侵平	
1056	心	息林	心開三侵平	
1057	愔	挹淫	影開三A侵平	
1058	祲	子心	精開三侵平	
1059	𩷒	昨淫	從開三侵平	
1060	䛘	女心	孃開三侵平	
1061	琴	巨金	羣開三B侵平	
1062	欽	去金	溪開三B侵平	
1063	吟	魚金	疑開三B侵平	
1064	歆	許金	曉開三B侵平	
1065	金	居吟	見開三B侵平	
1066	音	於金	影開三B侵平	
1067	森	所今	生開三侵平	
1068	岑	鋤針	崇開三侵平	
1069	兂	側吟	莊開三侵平	
1070	嵾	楚簪	初開三侵平	
1071	𧡪	充針	昌開三侵平	
1072	覃	徒含	定開一覃平	
1073	參	倉含	清開一覃平	
1074	南	那含	泥開一覃平	
1075	諳	烏含	影開一覃平	
1076	含	胡男	匣開一覃平	
1077	婪	盧含	來開一覃平	
1078	蠶	昨含	從開一覃平	
1079	簪	作含	精開一覃平	
1080	探	他含	透開一覃平	
1081	耽	丁含	端開一覃平	
1082	龕	口含	溪開一覃平	
1083	㟏	火含	曉開一覃平	
1084	毿	蘇含	心開一覃平	
1085	弇	古南	見開一覃平	
1086	䜙	五含	疑開一覃平	
1087	談	徒甘	定開一談平	
1088	甘	古三	見開一談平	
1089	擔	都甘	端開一談平	
1090	三	蘇甘	心開一談平	
1091	藍	魯甘	來開一談平	
1092	坩	苦甘	溪開一談平	
1093	舑	他酣	透開一談平	
1094	慙	昨甘	從開一談平	
1095	酣	胡甘	匣開一談平	
1096	姏	武酣	明一談平	
1097	𩈻	昨〈作〉三	精開一談平	
1098	蚶	呼談	曉開一談平	
1099	鹽	余廉	以開三鹽平	
1100	廉	力鹽	來開三鹽平	
1101	砭	府廉	幫三B鹽平	
1102	銛	息廉	心開三鹽平	
1103	籤	七廉	清開三鹽平	
1104	詹	職廉	章開三鹽平	
1105	棎	視占	常開三鹽平	
1106	苫	失廉	書開三鹽平	
1107	䪜	處占	昌開三鹽平	
1108	𩓾	汝鹽	日開三鹽平	
1109	黏	女廉	孃開三鹽平	
1110	炎	于廉	云開三B鹽平	
1111	霑	張廉	知開三鹽平	
1112	覘	丑廉	徹開三鹽平	
1113	淹	央炎	影開三B鹽平	
1114	𢜩	丘廉	溪開三B鹽平	
1115	𪙊	語廉	疑開三B鹽平	
1116	尖	子廉	精開三鹽平	
1117	潛	昨鹽	從開三鹽平	
1118	箝	巨淹	羣開三B鹽平	
1119	懕	一鹽	影開三A鹽平	
1120	燅	徐鹽	邪開三鹽平	
1121	襳	史炎	生開三鹽平	
1122	㶣	直廉	澄開三鹽平	
1123	鍼	巨鹽	羣開三A鹽平	
1124	添	他兼	透開四添平	
1125	𩬑	丁兼	端開四添平	
1126	甜	徒兼	定開四添平	
1127	鬑	勒兼	來開四添平	
1128	謙	苦兼	溪開四添平	
1129	兼	古甜	見開四添平	
1130	嫌	戶兼	匣開四添平	
1131	鮎	奴兼	泥開四添平	
1132	馦	許兼	曉開四添平	
1133	咸	胡讒	匣開二咸平	
1134	緘	古咸	見開二咸平	
1135	攕	所咸	生開二咸平	
1136	𤟟	乙咸	影開二咸平	
1137	嵒	五咸	疑開二咸平	
1138	㰹	許咸	曉開二咸平	
1139	詀	竹咸	知開二咸平	
1140	諵	女咸	孃開二咸平	
1141	讒	士咸	崇開二咸平	
1142	鵮	苦咸	溪開二咸平	
1143	銜	戶監	匣開二銜平	
1144	巉	鋤銜	崇開二銜平	
1145	巖	五銜	疑開二銜平	
1146	攙	楚銜	初開二銜平	
1147	衫	所銜	生開二銜平	
1148	監	古銜	見開二銜平	
1149	𨂝	白銜	並二銜平	
1150	嵌	口銜	溪開二銜平	
1151	嚴	語𩏩	疑開三C嚴平	
1152	𩏩	虛嚴	曉開三C嚴平	
1153	醃	於嚴	影開三C嚴平	
1154	㪁	丘嚴	溪開三C嚴平	
1155	凡	符咸（䒦）	並三C凡平	
1156	䒦	匹凡	滂三C凡平	
1157	董	多動	端一東上	
1158	蠓	莫孔	明一東上	
1159	孔	康董	溪一東上	
1160	㪌	先孔	心一東上	
1161	侗	他孔	透一東上	
1162	總	作孔	精一東上	
1163	澒	胡孔	匣一東上	
1164	蓊	烏孔	影一東上	
1165	𨑊	奴動	泥一東上	
1166	琫	邊孔	幫一東上	
1167	曨	力董	來一東上	
1168	嗊	呼孔	曉一東上	
1169	動	徒摠	定一東上	
1170	菶	蒲蠓	並一東上	
1171	腫	之隴	章三鍾上	
1172	寵	丑隴	徹三鍾上	
1173	隴	力踵	來三鍾上	
1174	擁	於隴	影三C鍾上	
1175	宂	而隴	日三鍾上	
1176	重	直隴	澄三鍾上	
1177	冢	知隴	知三鍾上	
1178	奉	扶隴	並三C鍾上	
1179	捧	敷奉	滂三C鍾上	
1180	勇	余隴	以三鍾上	
1181	恐	丘隴	溪三C鍾上	
1182	尰	時宂	常三鍾上	
1183	拱	居悚	見三C鍾上	
1184	悚	息拱	心三鍾上	
1185	洶	許拱	曉三C鍾上	
1186	覂	方勇	幫三C鍾上	
1187	湩	都𪁪	端一冬上	
1188	𪁪	莫湩	明一冬上	
1189	䅃	渠隴	羣三C鍾上	
1190	𨿿	充隴	昌三鍾上	
1191	幒	職〘且〙勇	清三鍾上	
1192	䙕	子冢	精三鍾上	
1193	講	古項	見二江上	
1194	㭋	步項	並二江上	
1195	慃	烏項	影二江上	
1196	𠈵	武項	明二江上	
1197	項	胡講	匣二江上	
1198	𦂌	巴講	幫二江上	
1199	傋	虛慃	曉二江上	
1200	紙	諸氏	章開三支上	
1201	是	承紙	常開三支上	
1202	靡	文彼	明三B支上	
1203	彼	甫委	幫三B支上	
1204	被	皮彼	並三B支上	
1205	毀	許委	曉合三B支上	
1206	委	於詭	影合三B支上	
1207	跪	去委	溪合三B支上	
1208	詭	過委	見合三B支上	
1209	髓	息委	心合三支上	
1210	絫	力委	來合三支上	
1211	技	渠綺	羣開三B支上	
1212	倚	於綺	影開三B支上	
1213	掎	居綺	見開三B支上	
1214	綺	墟彼	溪開三B支上	
1215	螘	魚倚	疑開三B支上	
1216	蔿	韋委	云合三B支上	
1217	觜	即委	精合三支上	
1218	蘂	如累	日合三支上	
1219	此	雌氏	清開三支上	
1220	豸	池爾	澄開三支上	
1221	徙	斯氏	心開三支上	
1222	酏	移爾	以開三支上	
1223	邐	力紙	來開三支上	
1224	躧	所綺	生開三支上	
1225	𢔌	并弭	幫三A支上	
1226	爾	兒氏	日開三支上	
1227	渳	綿婢	明三A支上	
1228	婢	便俾	並三A支上	
1229	侈	尺氏	昌開三支上	
1230	弛	施是	書開三支上	
1231	紫	將此	精開三支上	
1232	捶	之累	章合三支上	
1233	揣	初委	初合三支上	
1234	𤢍	隨婢	邪合三支上	
1235	舓	神帋	船開三支上	
1236	㧗	側氏	莊開三支上	
1237	㱟	匹靡	滂三B支上	
1238	諀	匹婢	滂三A支上	
1239	䓈	羊捶	以合三支上	
1240	惢	才捶	從合三支上	
1241	跬	丘弭	溪合三A支上	
1242	狔	女氏	孃開三支上	
1243	硊	魚毀	疑合三B支上	
1244	跪	渠委	羣合三B支上	
1245	褫	敕豸	徹開三支上	
1246	㨖	陟侈	知開三支上	
1247	𪖥	興倚	曉開三B支上	
1248	企	丘弭	溪開三A支上	
1249	菙	時髓	常合三支上	
1250	枳	居帋	見開三A支上	
1251	旨	職雉	章開三脂上	
1252	視	承矢	常開三脂上	
1253	美	無鄙	明三B脂上	
1254	鄙	方美	幫三B脂上	
1255	兕	徐姊	邪開三脂上	
1256	几	居履	見開三B脂上	
1257	姊	將几	精開三脂上	
1258	匕	卑履	幫三A脂上	
1259	軌	居洧	見合三B脂上	
1260	洧	榮美	云合三B脂上	
1261	矢	式視	書開三脂上	
1262	雉	直几	澄開三脂上	
1263	死	息姊	心開三脂上	
1264	牝	扶履	並三A脂上	
1265	履	力几	來開三脂上	
1266	水	式軌	書合三脂上	
1267	壘	力軌	來合三脂上	
1268	揆	求癸	羣合三A脂上	
1269	趡	千水	清合三脂上	
1270	柅	女履	孃開三脂上	
1271	癸	居誄	見合三A脂上	
1272	否	符鄙	並三B脂上	
1273	㠑	徂累（壘）	從合三脂上	
1274	嚭	匹鄙	滂三B脂上	
1275	蕊	如壘	日合三脂上	
1276	唯	以水	以合三脂上	
1277	㰻	於几	影開三B脂上	
1278	濢	遵誄	精合三脂上	
1279	黹	豬几	知開三脂上	
1280	𡳭	楮几	徹開三脂上	
1281	𧿲	止姊	莊開三之上	
1282	䁤	火癸	曉合三A脂上	
1283	䣀	暨軌	羣合三B脂上	
1284	跽	暨几	羣開三B脂上	
1285	巋	丘軌	溪合三B脂上	
1286	止	諸市	章開三之上	
1287	市	時止	常開三之上	
1288	徵	陟里	知開三之上	
1289	喜	虛里	曉開三C之上	
1290	紀	居理	見開三C之上	
1291	以	羊己	以開三之上	
1292	似	詳里	邪開三之上	
1293	史	疎士	生開三之上	
1294	耳	而止	日開三之上	
1295	里	良士	來開三之上	
1296	枲	胥里	心開三之上	
1297	始	詩止	書開三之上	
1298	歭	直里	澄開三之上	
1299	起	墟里	溪開三C之上	
1300	士	鉏里	崇開三之上	
1301	俟	牀史	俟開三之上	
1302	子	即里	精開三之上	
1303	矣	于紀	云開三C之上	
1304	擬	魚紀	疑開三C之上	
1305	齒	昌里	昌開三之上	
1306	恥	敕里	徹開三之上	
1307a	㓼	初紀｟己｠〈乙〉	初開三臻入	㓼
1307b	欼	初紀｟史｠〈夬〉	初合二夬去	欼㱀
1308	滓	阻史	莊開三之上	
1309	譩	於擬	影開三C之上	
1310	伱	乃里	孃開三之上	
1311	尾	無匪	明三C微上	
1312	扆	於豈	影開三C微上	
1313	豈	袪豨	溪開三C微上	
1314	蟣	居豨	見開三C微上	
1315	斐	敷尾	滂三C微上	
1316	匪	府尾	幫三C微上	
1317	韙	于鬼	云合三C微上	
1318	鬼	居偉	見合三C微上	
1319	虺	許偉	曉合三C微上	
1320	顗	魚豈	疑開三C微上	
1321	豨	虛豈	曉開三C微上	
1322	磈	於鬼	影合三C微上	
1323	膹	浮鬼	並三C微上	
1324	語	魚巨	疑開三C魚上	
1325	呂	力舉	來開三魚上	
1326	佇	直呂	澄開三魚上	
1327	與	余呂	以開三魚上	
1328	䰞	章与	章開三魚上	
1329	汝	人渚	日開三魚上	
1330	暑	舒呂	書開三魚上	
1331	杵	昌與	昌開三魚上	
1332	貯	丁呂	知開三魚上	
1333	諝	私呂	心開三魚上	
1334	楮	丑呂	徹開三魚上	
1335	女	尼呂	孃開三魚上	
1336	許	虛呂	曉開三C魚上	
1337	巨	其呂	羣開三C魚上	
1338	所	疎舉	生開三魚上	
1339	楚	創舉	初開三魚上	
1340	阻	側呂	莊開三魚上	
1341	齟	牀呂	崇開三魚上	
1342	咀	慈呂	從開三魚上	
1343	𢮁	於許	影開三C魚上	
1344	舉	居許	見開三C魚上	
1345	敘	徐呂	邪開三魚上	
1346	去	羌舉	溪開三C魚上	
1347	紓	神與	船開三魚上	
1348	野	承與	常開三魚上	
1349	𤿚	七與	清開三魚上	
1350	苴	子與	精開三魚上	
1351	麌	虞矩	疑合三C虞上	
1352	羽	王矩	云合三C虞上	
1353	聚	慈庾	從合三虞上	
1354	甫	方矩	幫三C虞上	
1355	武	文甫	明三C虞上	
1356	父	扶雨	並三C虞上	
1357	撫	芳武	滂三C虞上	
1358	柱	直主	澄合三虞上	
1359	詡	況羽	曉合三C虞上	
1360	豎	臣庾	常合三虞上	
1361	庾	以主	以合三虞上	
1362	主	之庾	章合三虞上	
1363	傴	於武	影合三C虞上	
1364	齲	驅雨	溪合三C虞上	
1365	拄	知庾	知合三虞上	
1366	乳	而主	日合三虞上	
1367	窶	其矩	羣合三C虞上	
1368	數	所矩	生合三虞上	
1369	矩	俱雨	見合三C虞上	
1370	取	七庾	清合三虞上	
1371	縷	力主	來合三虞上	
1372	𦄼	相庾	心合三虞上	
1373	䝒	鶵禹	崇合三虞上	
1374	姥	莫補	明一模上	
1375	土	他魯	透一模上	
1376	杜	徒古	定一模上	
1377	魯	郎古	來一模上	
1378	蔖	采古	清一模上	
1379	覩	當古	端一模上	
1380	古	公戶	見一模上	
1381	五	疑古	疑一模上	
1382	簿	裴古	並一模上	
1383	粗	徂古	從一模上	
1384	祖	則古	精一模上	
1385	虎	呼古	曉一模上	
1386	隖	安古	影一模上	
1387	苦	康杜	溪一模上	
1388	怒	奴古	泥一模上	
1389	戶	侯古	匣一模上	
1390	普	滂古	滂一模上	
1391	補	博古	幫一模上	
1392	薺	徂禮	從開四齊上	
1393	禮	盧啓	來開四齊上	
1394	體	他禮	透開四齊上	
1395	䫌	匹米	滂四齊上	
1396	濟	子禮	精開四齊上	
1397	邸	都禮	端開四齊上	
1398	弟	徒禮	定開四齊上	
1399	禰	奴禮	泥開四齊上	
1400	洗	先禮	心開四齊上	
1401	泚	千禮	清開四齊上	
1402	啓	康禮	溪開四齊上	
1403	徯	胡禮	匣開四齊上	
1404	米	莫禮	明四齊上	
1405	陛	傍禮	並四齊上	
1406	𠯋	烏弟	影開四齊上	
1407	堄	研啓	疑開四齊上	
1408	㪏	補米	幫四齊上	
1409	蟹	胡買	匣開二佳上	
1410	買	莫蟹	明二佳上	
1411	䒓	苦蟹	溪開二佳上	
1412	廌	宅買	澄開二佳上	
1413	嬭	奴蟹	孃開二佳上	
1414	罷	薄蟹	並二佳上	
1415	矮	烏蟹	影開二佳上	
1416	擺	北買	幫二佳上	
1417	解	佳買	見開二佳上	
1418	灑	所蟹	生開二佳上	
1419	𠁥	乖買	見合二佳上	
1420	㧳	丈〈？〉夥〈黠〉	見開二山入	
1421	夥	懷𠁥	匣合二佳上	
1422	扮	花〈？〉夥〈黠〉	見開二山入	
1423a	箉	求〈？〉蟹	定開二佳上	箉
1423b	拐	求〈乖〉蟹	見合二佳上	拐
1424	駭	侯楷	匣開二皆上	
1425	楷	苦駭	溪開二皆上	
1426	騃	五駭	疑開二皆上	
1427	挨	於駭	影開二皆上	
1428	賄	呼罪	曉合一灰上	
1429	猥	烏賄	影合一灰上	
1430	磥	落猥	來合一灰上	
1431	錞	徒猥	定合一灰上	
1432	辠	徂賄	從合一灰上	
1433	浼	武罪	明一灰上	
1434	骽	吐猥	透合一灰上	
1435	瘣	胡罪	匣合一灰上	
1436	䫥	口猥	溪合一灰上	
1437	𦞙	都罪	端合一灰上	
1438	餧	奴罪	泥合一灰上	
1439	𩬳	陟賄	端合一灰上	
1440	頠	五罪	疑合一灰上	
1441	皠	七罪	清合一灰上	
1442	琲	蒲罪	並一灰上	
1443	嶊	子罪	精合一灰上	
1444	倄	于罪	云合三C廢上	
1445	海	呼改	曉開一咍上	
1446	愷	苦亥	溪開一咍上	
1447	宰	作亥	精開一咍上	
1448	駘	徒亥	定開一咍上	
1449	乃	奴亥	泥開一咍上	
1450	改	古亥	見開一咍上	
1451	亥	胡改	匣開一咍上	
1452	啡	匹愷	滂一灰上	
1453	采	倉宰	清開一咍上	
1454	茝	昌紿	昌開三廢上	
1455	等	多改	端開一咍上	
1456	䆀	莫亥	明一灰上	
1457	在	昨宰	從開一咍上	
1458	俖	普乃	滂一灰上	
1459	欸	於改	影開一咍上	
1460	佁	夷在	以開三廢上	
1461	㘆	他亥	透開一咍上	
1462	疓	如亥	泥開一咍上	
1463	𨦂	來改	來開一咍上	
1464	䑂	與改	以開三廢上	
1465	倍	薄亥	並一灰上	
1466	軫	章忍	章開三真上	
1467	辴	丑忍	徹開三真上	
1468	腎	時忍	常開三真上	
1469	忍	而軫	日開三真上	
1470	矤	式忍	書開三真上	
1471	嶙	良忍	來開三真上	
1472	紖	直引	澄開三真上	
1473	緊	居忍	見開三A真上	
1474	盡	慈忍	從開三真上	
1475	㯸	即忍	精開三真上	
1476	牝	毗忍	並三A真上	
1477	釿	宜引	疑開三B真上	
1478	笉	士〈于〉忍	云合三B真上	
1479	窘	渠殞	羣合三B真上	
1480	引	余忍	以開三真上	
1481	愍	眉殞	明三B真上	
1482	泯	武盡	明三A真上	
1483	殞	于敏	云合三B真上	
1484	準	之尹	章合三真上	
1485	尹	余準	以合三真上	
1486	筍	思尹	心合三真上	
1487	蝡	而允〈兗〉	日合三仙上	
1488	蠢	尺尹	昌合三真上	
1489	盾	食尹	船合三真上	
1490	偆	癡準	徹合三真上	
1491	耣	力準	來合三真上	
1492	𣯍	而尹	日合三真上	
1493	𦃢	丘尹	溪合三B真上	
1494	螼	弃忍	溪開三A真上	
1495	賰	式允	書合三真上	
1496	脪	興腎	曉開三B真上	
1497	濜	鉏紖	崇開三臻上	
1498	屒	珍忍	知開三真上	
1499	吻	武粉	明三C文上	
1500	粉	方吻	幫三C文上	
1501	憤	房吻	並三C文上	
1502	忿	敷粉	滂三C文上	
1503	惲	於粉	影合三C文上	
1504	齳	魚吻	疑合三C文上	
1505	抎	云粉	云合三C文上	
1506	𧼐	丘粉	溪合三C文上	
1507	隱	於謹	影開三C殷上	
1508	謹	居隱	見開三C殷上	
1509	𧤛	仄謹	莊開三臻上	
1510	赾	丘謹	溪開三C殷上	
1511	近	其謹	羣開三C殷上	
1512	齔	初謹	初開三臻上	
1513	听	牛謹	疑開三C殷上	
1514	䘆	休謹	曉開三C殷上	
1515	阮	虞遠	疑合三C元上	
1516	遠	雲阮	云合三C元上	
1517	偃	於幰	影開三C元上	
1518	湕	居偃	見開三C元上	
1519	寋	其偃	羣開三C元上	
1520	𧥛	去偃	溪開三C元上	
1521	𧥜	語偃	疑開三C元上	
1522	幰	虛偃	曉開三C元上	
1523	晚	無遠	明三C元上	
1524	反	府遠	幫三C元上	
1525	𧯦	求晚	羣合三C元上	
1526	婉	於阮	影合三C元上	
1527	䅚	去阮	溪合三C元上	
1528	暅	況晚	曉合三C元上	
1529	飯	扶晚	並三C元上	
1530	混	胡本	匣合一魂上	
1531	翉	普本	滂一魂上	
1532	忖	倉本	清合一魂上	
1533	本	布忖	幫一魂上	
1534	損	蘇本	心合一魂上	
1535	𠟃	兹損	精合一魂上	
1536	穩	烏本	影合一魂上	
1537	囤	徒損	定合一魂上	
1538	鱒	才本	從合一魂上	
1539	𩩌	古本	見合一魂上	
1540	畽	他袞	透合一魂上	
1541	閫	苦本	溪合一魂上	
1542	㤻	盧本	來合一魂上	
1543	獖	蒲本	並一魂上	
1544	懣	模本	明一魂上	
1545	㶧	乃本	泥合一魂上	
1546	𦃕	虛本	曉合一魂上	
1547	很	胡墾	匣開一痕上	
1548	墾	康很	溪開一痕上	
1549	䫀	古很	見開一痕上	
1550	旱	胡笴	匣開一寒上	
1551	亶	多旱	端開一寒上	
